NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,6 ,"$500,000","$800,750","$799,000","$999,000",,
HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,102 ,"$150,000","$560,384","$600,000","$1,069,162",,
HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,36 ,"$210,000","$657,926","$665,000","$920,000",,
HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,7 ,"$550,000","$679,800","$710,000","$750,000",,
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,118 ,"$289,000","$610,343","$600,000","$1,690,000",,
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,116 ,"$175,000","$692,948","$697,500","$996,100",,
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,61 ,"$250,000","$829,255","$850,000","$1,825,000",,
JAMAICA                  ,01 ONE FAMILY HOMES                        ,50 ,"$285,600","$516,534","$495,340","$875,000",,
JAMAICA                  ,02 TWO FAMILY HOMES                        ,59 ,"$200,000","$614,805","$590,000","$1,390,000",,
JAMAICA                  ,03 THREE FAMILY HOMES                      ,26 ,"$390,000","$833,336","$860,625","$985,800",,
JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,6 ,"$156,250","$354,208","$375,000","$470,000",,
JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,1 ,"$195,000","$195,000","$195,000","$195,000",,
JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,66 ,"$250,000","$924,422","$865,000","$2,276,000",,
JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,6 ,"$650,000","$917,500","$932,500","$1,250,000",,
JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,6 ,"$910,000","$953,057","$967,337","$995,000",,
JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,27 ,"$180,000","$618,472","$602,299","$820,000",,
JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,18 ,"$500,000","$745,063","$768,750","$950,000",,
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,3 ,"$740,000","$908,529","$992,793","$992,793",,
KEW GARDENS              ,01 ONE FAMILY HOMES                        ,30 ,"$325,000","$786,489","$639,150","$3,000,000",,
KEW GARDENS              ,02 TWO FAMILY HOMES                        ,10 ,"$563,000","$756,399","$730,000","$995,292",,
KEW GARDENS              ,03 THREE FAMILY HOMES                      ,8 ,"$550,000","$853,000","$890,000","$999,000",,
LAURELTON                ,01 ONE FAMILY HOMES                        ,178 ,"$165,000","$431,991","$447,000","$726,500",,
LAURELTON                ,02 TWO FAMILY HOMES                        ,63 ,"$185,000","$534,222","$551,200","$695,000",,
LAURELTON                ,03 THREE FAMILY HOMES                      ,3 ,"$578,000","$639,667","$626,000","$715,000",,
LITTLE NECK              ,01 ONE FAMILY HOMES                        ,104 ,"$155,000","$702,766","$680,000","$2,150,000",,
LITTLE NECK              ,02 TWO FAMILY HOMES                        ,12 ,"$710,000","$901,811","$916,425","$1,240,228",,
LITTLE NECK              ,03 THREE FAMILY HOMES                      ,3 ,"$682,000","$754,000","$700,000","$880,000",,
LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        ,13 ,"$286,850","$792,450","$610,000","$2,900,000",,
LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        ,29 ,"$200,000","$780,481","$750,000","$1,525,000",,
LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      ,15 ,"$325,000","$793,100","$800,000","$1,130,000",,
MASPETH                  ,01 ONE FAMILY HOMES                        ,113 ,"$167,500","$517,591","$515,000","$1,007,106",,
MASPETH                  ,02 TWO FAMILY HOMES                        ,122 ,"$170,000","$603,605","$617,500","$900,000",,
MASPETH                  ,03 THREE FAMILY HOMES                      ,34 ,"$200,800","$772,789","$767,500","$1,950,000",,
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        ,156 ,"$198,894","$534,953","$525,500","$1,250,000",,
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        ,96 ,"$150,000","$634,446","$640,000","$977,520",,
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      ,27 ,"$180,000","$772,913","$820,000","$1,235,000",,
NEPONSIT                 ,01 ONE FAMILY HOMES                        ,9 ,"$400,000","$1,361,556","$1,180,000","$4,425,000",,
NEPONSIT                 ,02 TWO FAMILY HOMES                        ,2 ,"$825,000","$900,000","$900,000","$975,000",,
OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        ,84 ,"$214,000","$689,140","$666,833","$1,350,000",,
OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        ,7 ,"$400,000","$764,714","$830,000","$988,000",,
OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      ,4 ,"$403,000","$712,750","$786,500","$875,000",,
OZONE PARK               ,01 ONE FAMILY HOMES                        ,107 ,"$165,000","$446,744","$440,000","$800,000",,
OZONE PARK               ,02 TWO FAMILY HOMES                        ,188 ,"$215,000","$578,846","$580,450","$865,512",,
OZONE PARK               ,03 THREE FAMILY HOMES                      ,31 ,"$167,000","$688,531","$675,000","$900,000",,
QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        ,313 ,"$157,500","$450,858","$455,000","$820,000",,
QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        ,97 ,"$177,333","$557,359","$550,000","$875,000",,
QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      ,6 ,"$556,000","$650,167","$655,000","$730,000",,
REGO PARK                ,01 ONE FAMILY HOMES                        ,78 ,"$268,750","$662,685","$605,500","$1,350,000",,
REGO PARK                ,02 TWO FAMILY HOMES                        ,25 ,"$400,000","$750,500","$750,000","$980,000",,
REGO PARK                ,03 THREE FAMILY HOMES                      ,10 ,"$655,000","$805,500","$812,500","$970,000",,
RICHMOND HILL            ,01 ONE FAMILY HOMES                        ,215 ,"$162,240","$482,136","$477,000","$1,007,000",,
RICHMOND HILL            ,02 TWO FAMILY HOMES                        ,268 ,"$265,000","$607,703","$615,500","$999,975",,
RICHMOND HILL            ,03 THREE FAMILY HOMES                      ,27 ,"$499,999","$712,231","$732,000","$850,000",,
RIDGEWOOD                ,01 ONE FAMILY HOMES                        ,26 ,"$240,000","$451,839","$419,605","$795,000",,
RIDGEWOOD                ,02 TWO FAMILY HOMES                        ,116 ,"$171,616","$591,708","$600,000","$980,000",,
RIDGEWOOD                ,03 THREE FAMILY HOMES                      ,35 ,"$171,616","$625,242","$690,000","$865,587",,
ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        ,10 ,"$250,000","$425,949","$412,000","$700,000",,
ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        ,14 ,"$150,000","$567,218","$585,625","$655,000",,
ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      ,9 ,"$495,000","$704,592","$715,000","$930,000",,
ROSEDALE                 ,01 ONE FAMILY HOMES                        ,188 ,"$175,000","$453,160","$448,525","$725,000",,
ROSEDALE                 ,02 TWO FAMILY HOMES                        ,146 ,"$165,000","$618,767","$650,000","$749,000",,
ROSEDALE                 ,03 THREE FAMILY HOMES                      ,6 ,"$505,000","$609,000","$628,500","$667,000",,
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        ,387 ,"$175,000","$393,389","$389,000","$730,000",,
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        ,159 ,"$197,000","$521,048","$533,180","$777,000",,
SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES                      ,7 ,"$395,000","$567,857","$575,000","$735,000",,
SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        ,273 ,"$155,000","$413,719","$403,000","$760,000",,
SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        ,223 ,"$191,000","$555,553","$569,000","$3,510,000",,
SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      ,26 ,"$200,000","$540,555","$605,000","$699,600",,
SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        ,268 ,"$170,000","$469,427","$460,000","$880,000",,
SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        ,167 ,"$150,000","$597,318","$610,000","$849,590",,
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      ,8 ,"$560,000","$670,275","$687,500","$750,000",,
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        ,262 ,"$210,000","$420,404","$409,050","$730,340",,
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        ,172 ,"$288,000","$572,094","$585,000","$785,000",,
