NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
HOLLIS                   ,02 TWO FAMILY HOMES                        , 	90 ,"$155,000","$456,221","$432,500","$720,000",,
HOLLIS                   ,03 THREE FAMILY HOMES                      , 	9 ,"$560,000","$700,592","$755,000","$794,235",,
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        , 	17 ,"$440,000","$725,076","$695,000","$1,525,000",,
HOLLISWOOD               ,01 ONE FAMILY HOMES                        , 	37 ,"$461,000","$746,050","$732,500","$1,560,000",,
HOLLISWOOD               ,02 TWO FAMILY HOMES                        , 	2 ,"$499,000","$689,500","$689,500","$880,000",,
HOWARD BEACH             ,01 ONE FAMILY HOMES                        , 	71 ,"$165,000","$562,207","$572,400","$1,480,000",,
HOWARD BEACH             ,02 TWO FAMILY HOMES                        , 	34 ,"$175,000","$558,633","$570,000","$753,382",,
HOWARD BEACH             ,03 THREE FAMILY HOMES                      , 	2 ,"$525,000","$637,500","$637,500","$750,000",,
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        , 	89 ,"$200,000","$539,703","$530,000","$995,000",,
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        , 	98 ,"$150,000","$634,882","$647,073","$1,100,000",,
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      , 	41 ,"$190,722","$784,757","$799,326","$1,094,618",,
JAMAICA                  ,01 ONE FAMILY HOMES                        , 	37 ,"$165,000","$383,695","$367,000","$750,000",,
JAMAICA                  ,02 TWO FAMILY HOMES                        , 	43 ,"$230,000","$509,552","$525,000","$725,000",,
JAMAICA                  ,03 THREE FAMILY HOMES                      , 	17 ,"$375,000","$731,747","$765,000","$977,520",,
JAMAICA BAY              ,01 ONE FAMILY HOMES                        , 	6 ,"$290,000","$367,878","$337,500","$550,000",,
JAMAICA BAY              ,02 TWO FAMILY HOMES                        , 	1 ,"$606,709","$606,709","$606,709","$606,709",,
JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        , 	35 ,"$230,366","$780,502","$780,000","$1,125,000",,
JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        , 	1 ,"$800,000","$800,000","$800,000","$800,000",,
JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      , 	6 ,"$832,928","$858,059","$859,403","$875,000",,
JAMAICA HILLS            ,01 ONE FAMILY HOMES                        , 	26 ,"$375,000","$523,297","$480,803","$800,000",,
JAMAICA HILLS            ,02 TWO FAMILY HOMES                        , 	30 ,"$300,000","$614,884","$648,087","$875,000",,
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      , 	4 ,"$523,000","$709,500","$727,500","$860,000",,
KEW GARDENS              ,01 ONE FAMILY HOMES                        , 	13 ,"$430,000","$724,568","$610,000","$1,380,000",,
KEW GARDENS              ,02 TWO FAMILY HOMES                        , 	9 ,"$500,500","$755,000","$633,266","$1,215,000",,
