NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES     ,99 ,"$150,000","$473,079","$485,000","$780,000"
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES     ,65 ,"$162,500","$533,612","$520,000","$958,668"
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES   ,20 ,"$312,000","$653,800","$692,750","$910,000"
NEPONSIT                 ,01 ONE FAMILY HOMES     ,16 ,"$191,967","$998,685","$842,500","$2,600,000"
NEPONSIT                 ,02 TWO FAMILY HOMES     ,1 ,"$706,300","$706,300","$706,300","$706,300"
OAKLAND GARDENS          ,01 ONE FAMILY HOMES     ,55 ,"$200,000","$618,818","$637,000","$990,000"
OAKLAND GARDENS          ,02 TWO FAMILY HOMES     ,16 ,"$722,000","$1,046,444","$1,069,163","$1,532,466"
OAKLAND GARDENS          ,03 THREE FAMILY HOMES   ,3 ,"$770,000","$808,333","$810,000","$845,000"
OZONE PARK               ,01 ONE FAMILY HOMES     ,78 ,"$158,000","$332,743","$345,000","$500,000"
OZONE PARK               ,02 TWO FAMILY HOMES     ,124 ,"$170,908","$382,702","$370,900","$645,000"
OZONE PARK               ,03 THREE FAMILY HOMES   ,16 ,"$320,000","$482,803","$498,000","$680,000"
QUEENS VILLAGE           ,01 ONE FAMILY HOMES     ,192 ,"$155,000","$331,645","$332,900","$620,000"
QUEENS VILLAGE           ,02 TWO FAMILY HOMES     ,56 ,"$180,000","$387,923","$382,831","$642,500"
QUEENS VILLAGE           ,03 THREE FAMILY HOMES   ,3 ,"$325,000","$475,000","$550,000","$550,000"
QUEENS-UNKNOWN           ,02 TWO FAMILY HOMES     ,1 ,"$620,000","$620,000","$620,000","$620,000"
REGO PARK                ,01 ONE FAMILY HOMES     ,56 ,"$240,000","$565,878","$559,600","$990,000"
REGO PARK                ,02 TWO FAMILY HOMES     ,19 ,"$250,000","$628,380","$595,000","$1,100,000"
REGO PARK                ,03 THREE FAMILY HOMES   ,5 ,"$650,000","$798,200","$850,000","$870,000"
RICHMOND HILL            ,01 ONE FAMILY HOMES     ,141 ,"$150,500","$341,605","$336,500","$715,000"
RICHMOND HILL            ,02 TWO FAMILY HOMES     ,141 ,"$170,000","$383,845","$375,000","$717,000"
RICHMOND HILL            ,03 THREE FAMILY HOMES   ,23 ,"$281,000","$554,893","$550,000","$792,072"
RIDGEWOOD                ,01 ONE FAMILY HOMES     ,12 ,"$276,000","$376,787","$373,500","$493,000"
RIDGEWOOD                ,02 TWO FAMILY HOMES     ,85 ,"$183,333","$516,725","$499,900","$1,350,000"
RIDGEWOOD                ,03 THREE FAMILY HOMES   ,22 ,"$250,000","$537,283","$577,500","$695,000"
ROCKAWAY PARK            ,01 ONE FAMILY HOMES     ,5 ,"$320,000","$392,900","$340,000","$527,500"
ROCKAWAY PARK            ,02 TWO FAMILY HOMES     ,6 ,"$351,000","$489,667","$487,500","$745,000"
ROCKAWAY PARK            ,03 THREE FAMILY HOMES   ,3 ,"$410,000","$1,486,667","$750,000","$3,300,000"
ROSEDALE                 ,01 ONE FAMILY HOMES     ,123 ,"$150,000","$333,893","$333,900","$587,500"
ROSEDALE                 ,02 TWO FAMILY HOMES     ,85 ,"$150,000","$420,143","$440,000","$677,260"
ROSEDALE                 ,03 THREE FAMILY HOMES   ,4 ,"$241,000","$417,838","$462,675","$505,000"
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES     ,181 ,"$150,000","$263,334","$247,000","$777,600"
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES     ,105 ,"$160,000","$358,280","$345,000","$768,000"
SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES   ,1 ,"$350,000","$350,000","$350,000","$350,000"
SOUTH JAMAICA            ,01 ONE FAMILY HOMES     ,135 ,"$150,000","$308,021","$275,000","$5,000,000"
SOUTH JAMAICA            ,02 TWO FAMILY HOMES     ,149 ,"$150,000","$324,408","$325,699","$575,000"
SOUTH JAMAICA            ,03 THREE FAMILY HOMES   ,17 ,"$185,000","$368,836","$390,000","$513,100"
