Seven Major Felony Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,GRAND LARCENY                         ,184,180,210,197,236,238,237,245,243,292,274,292,321,403,378,334,336,288
,GRAND LARCENY OF MOTOR VEHICLE                                  ,216,193,237,216,171,176,161,147,135,89,80,93,57,76,80,67,75,64
,TOTAL SEVEN MAJOR FELONY OFFENSES,1834,1440,1405,1372,1320,1322,1277,1276,1279,1243,1271,1342,1488,1760,1291,1164,1142,908
42,MURDER & NON NEGL. MANSLAUGHTER                                ,12,18,18,10,10,7,17,8,14,15,13,10,8,12,5,6,8,8
,RAPE                                  ,40,44,47,32,37,33,20,23,23,24,20,28,30,24,30,33,37,31
,ROBBERY                               ,424,345,387,409,373,456,396,380,348,267,324,325,334,320,307,329,321,244
,FELONY ASSAULT                        ,491,469,373,340,386,381,354,321,291,303,318,316,340,405,424,379,489,437
,BURGLARY                              ,412,355,345,367,333,327,334,319,190,164,150,178,165,177,163,185,174,187
,GRAND LARCENY                         ,207,220,204,231,226,254,339,354,322,251,230,247,288,320,305,299,300,410
,GRAND LARCENY OF MOTOR VEHICLE                                  ,252,235,258,250,227,226,208,158,163,118,123,139,112,77,100,112,85,95
,TOTAL SEVEN MAJOR FELONY OFFENSES,1838,1686,1632,1639,1592,1684,1668,1563,1351,1142,1178,1243,1277,1335,1334,1343,1414,1412
43,MURDER & NON NEGL. MANSLAUGHTER                                ,16,14,28,10,15,14,12,6,13,13,14,19,18,9,9,8,8,10
,RAPE                                  ,67,67,79,61,49,36,37,37,32,47,35,22,38,26,36,44,43,33
,ROBBERY                               ,730,602,609,620,592,577,521,514,584,503,537,534,584,586,546,560,547,393
,FELONY ASSAULT                        ,639,633,606,509,521,533,535,525,475,491,509,537,541,600,667,632,566,587
,BURGLARY                              ,767,727,613,547,499,459,441,402,390,418,384,385,348,361,327,322,312,185
,GRAND LARCENY                         ,514,533,574,638,624,705,699,706,688,631,574,601,687,708,693,710,692,680
,GRAND LARCENY OF MOTOR VEHICLE                                  ,843,753,711,699,657,516,464,402,392,320,253,284,221,190,174,215,174,172
,TOTAL SEVEN MAJOR FELONY OFFENSES,3576,3329,3220,3084,2957,2840,2709,2592,2574,2423,2306,2382,2437,2480,2452,2491,2342,2060
44,MURDER & NON NEGL. MANSLAUGHTER                                ,25,30,26,23,17,16,13,21,20,11,14,19,8,9,15,11,13,9
,RAPE                                  ,62,65,89,82,50,40,31,40,49,32,33,34,33,30,33,34,29,32
,ROBBERY                               ,866,720,669,528,543,571,501,474,520,408,515,473,452,420,415,556,483,377
,FELONY ASSAULT                        ,789,701,670,583,605,525,586,530,491,585,558,557,670,709,687,703,649,583
,BURGLARY                              ,829,506,494,462,382,352,349,355,291,308,276,342,291,255,270,287,218,221
,GRAND LARCENY                         ,534,420,344,376,430,417,485,531,529,501,396,446,598,642,712,730,744,774
,GRAND LARCENY OF MOTOR VEHICLE                                  ,580,453,472,451,413,429,324,266,267,201,202,201,152,126,174,148,124,116
