NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
MORRIS PARK/VAN NEST     ,03 THREE FAMILY HOMES                      ,35,"$230,000.00 ","$495,895.00 ","$515,000.00 ","$665,000.00 "
MORRISANIA/LONGWOOD      ,01 ONE FAMILY HOMES                        ,44,"$170,000.00 ","$256,007.00 ","$255,000.00 ","$425,000.00 "
MORRISANIA/LONGWOOD      ,02 TWO FAMILY HOMES                        ,111,"$176,000.00 ","$363,145.00 ","$371,480.00 ","$700,000.00 "
MORRISANIA/LONGWOOD      ,03 THREE FAMILY HOMES                      ,106,"$190,000.00 ","$438,272.00 ","$462,500.00 ","$610,000.00 "
MOTT HAVEN/PORT MORRIS   ,01 ONE FAMILY HOMES                        ,16,"$204,000.00 ","$367,205.00 ","$326,500.00 ","$1,064,280.00 "
MOTT HAVEN/PORT MORRIS   ,02 TWO FAMILY HOMES                        ,18,"$200,000.00 ","$364,966.00 ","$398,750.00 ","$498,106.00 "
MOTT HAVEN/PORT MORRIS   ,03 THREE FAMILY HOMES                      ,18,"$190,000.00 ","$393,487.00 ","$396,250.00 ","$570,220.00 "
MOUNT HOPE/MOUNT EDEN    ,01 ONE FAMILY HOMES                        ,8,"$150,000.00 ","$318,803.00 ","$300,213.00 ","$600,000.00 "
MOUNT HOPE/MOUNT EDEN    ,02 TWO FAMILY HOMES                        ,26,"$150,000.00 ","$385,925.00 ","$402,970.00 ","$565,000.00 "
MOUNT HOPE/MOUNT EDEN    ,03 THREE FAMILY HOMES                      ,16,"$212,500.00 ","$430,722.00 ","$445,000.00 ","$499,000.00 "
PARKCHESTER              ,01 ONE FAMILY HOMES                        ,16,"$190,000.00 ","$379,088.00 ","$361,000.00 ","$625,000.00 "
PARKCHESTER              ,02 TWO FAMILY HOMES                        ,69,"$240,000.00 ","$423,363.00 ","$420,000.00 ","$850,000.00 "
PARKCHESTER              ,03 THREE FAMILY HOMES                      ,24,"$158,000.00 ","$464,167.00 ","$452,500.00 ","$700,000.00 "
PELHAM GARDENS           ,01 ONE FAMILY HOMES                        ,30,"$275,000.00 ","$466,433.00 ","$462,000.00 ","$692,000.00 "
PELHAM GARDENS           ,02 TWO FAMILY HOMES                        ,18,"$395,000.00 ","$509,139.00 ","$499,750.00 ","$700,000.00 "
PELHAM GARDENS           ,03 THREE FAMILY HOMES                      ,1,"$499,000.00 ","$499,000.00 ","$499,000.00 ","$499,000.00 "
PELHAM PARKWAY NORTH     ,01 ONE FAMILY HOMES                        ,40,"$155,000.00 ","$394,245.00 ","$405,000.00 ","$635,000.00 "
PELHAM PARKWAY NORTH     ,02 TWO FAMILY HOMES                        ,73,"$175,000.00 ","$485,979.00 ","$489,000.00 ","$770,000.00 "
PELHAM PARKWAY NORTH     ,03 THREE FAMILY HOMES                      ,11,"$430,000.00 ","$574,045.00 ","$580,000.00 ","$750,000.00 "
PELHAM PARKWAY SOUTH     ,01 ONE FAMILY HOMES                        ,16,"$150,000.00 ","$461,078.00 ","$454,175.00 ","$800,000.00 "
PELHAM PARKWAY SOUTH     ,02 TWO FAMILY HOMES                        ,31,"$160,000.00 ","$488,504.00 ","$471,250.00 ","$742,500.00 "
PELHAM PARKWAY SOUTH     ,03 THREE FAMILY HOMES                      ,5,"$490,000.00 ","$578,600.00 ","$543,000.00 ","$725,000.00 "
RIVERDALE                ,01 ONE FAMILY HOMES                        ,55,"$250,000.00 ","$948,745.00 ","$750,000.00 ","$3,000,000.00 "
RIVERDALE                ,02 TWO FAMILY HOMES                        ,13,"$150,000.00 ","$647,600.00 ","$590,000.00 ","$1,475,000.00 "
SCHUYLERVILLE/PELHAM BAY ,01 ONE FAMILY HOMES                        ,65,"$150,000.00 ","$399,966.00 ","$400,000.00 ","$599,000.00 "
SCHUYLERVILLE/PELHAM BAY ,02 TWO FAMILY HOMES                        ,100,"$245,000.00 ","$503,379.00 ","$501,501.00 ","$750,000.00 "
SCHUYLERVILLE/PELHAM BAY ,03 THREE FAMILY HOMES                      ,25,"$150,000.00 ","$549,760.00 ","$589,000.00 ","$830,000.00 "
SOUNDVIEW                ,01 ONE FAMILY HOMES                        ,62,"$170,200.00 ","$313,744.00 ","$302,500.00 ","$628,300.00 "
SOUNDVIEW                ,02 TWO FAMILY HOMES                        ,155,"$150,000.00 ","$415,830.00 ","$400,000.00 ","$2,000,000.00 "
SOUNDVIEW                ,03 THREE FAMILY HOMES                      ,90,"$164,003.00 ","$440,802.00 ","$450,000.00 ","$692,410.00 "
THROGS NECK              ,01 ONE FAMILY HOMES                        ,129,"$190,000.00 ","$403,861.00 ","$390,000.00 ","$998,000.00 "
THROGS NECK              ,02 TWO FAMILY HOMES                        ,122,"$162,000.00 ","$516,061.00 ","$502,500.00 ","$950,000.00 "
