NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES     ,70," $	200,000.00 "," $	980,685.00 "," $	776,000.00 "," $	4,900,000.00 "
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES     ,57," $	300,000.00 "," $	980,500.00 "," $	860,000.00 "," $	3,500,000.00 "
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES   ,12," $	575,000.00 "," $	1,147,833.00 "," $	1,075,000.00 "," $	2,450,000.00 "
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES     ,31," $	375,000.00 "," $	1,637,661.00 "," $	875,000.00 "," $	4,400,000.00 "
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES     ,53," $	308,000.00 "," $	943,104.00 "," $	675,000.00 "," $	4,200,000.00 "
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES   ,21," $	200,000.00 "," $	828,633.00 "," $	825,000.00 "," $	1,150,000.00 "
OLD MILL BASIN           ,01 ONE FAMILY HOMES     ,57," $	219,000.00 "," $	397,361.00 "," $	412,000.00 "," $	545,000.00 "
OLD MILL BASIN           ,02 TWO FAMILY HOMES     ,34," $	250,000.00 "," $	484,959.00 "," $	469,275.00 "," $	720,000.00 "
OLD MILL BASIN           ,03 THREE FAMILY HOMES   ,2," $	587,500.00 "," $	587,500.00 "," $	587,500.00 "," $	587,500.00 "
PARK SLOPE               ,01 ONE FAMILY HOMES     ,13," $	805,000.00 "," $	3,275,269.00 "," $	2,887,500.00 "," $	10,775,000.00 "
PARK SLOPE               ,02 TWO FAMILY HOMES     ,43," $	551,921.00 "," $	2,706,239.00 "," $	2,583,750.00 "," $	4,850,000.00 "
PARK SLOPE               ,03 THREE FAMILY HOMES   ,34," $	925,536.00 "," $	2,569,167.00 "," $	2,461,250.00 "," $	5,380,336.00 "
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES     ,11," $	594,000.00 "," $	1,294,182.00 "," $	1,275,000.00 "," $	2,210,000.00 "
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES     ,35," $	281,250.00 "," $	1,731,772.00 "," $	1,675,000.00 "," $	3,035,000.00 "
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES   ,14," $	250,000.00 "," $	1,760,000.00 "," $	2,087,500.00 "," $	2,525,000.00 "
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES     ,2," $	300,000.00 "," $	1,620,500.00 "," $	1,620,500.00 "," $	2,941,000.00 "
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES     ,17," $	975,000.00 "," $	2,215,639.00 "," $	2,085,000.00 "," $	3,500,000.00 "
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES   ,8," $	400,000.00 "," $	1,754,250.00 "," $	1,857,000.00 "," $	2,710,000.00 "
RED HOOK                 ,01 ONE FAMILY HOMES     ,1," $	660,000.00 "," $	660,000.00 "," $	660,000.00 "," $	660,000.00 "
RED HOOK                 ,02 TWO FAMILY HOMES     ,15," $	550,000.00 "," $	1,123,152.00 "," $	1,200,000.00 "," $	1,850,000.00 "
RED HOOK                 ,03 THREE FAMILY HOMES   ,4," $	610,000.00 "," $	1,216,250.00 "," $	1,252,500.00 "," $	1,750,000.00 "
SEAGATE                  ,01 ONE FAMILY HOMES     ,12," $	350,000.00 "," $	648,750.00 "," $	525,000.00 "," $	1,400,000.00 "
SEAGATE                  ,02 TWO FAMILY HOMES     ,17," $	200,000.00 "," $	531,477.00 "," $	450,000.00 "," $	1,450,000.00 "
SEAGATE                  ,03 THREE FAMILY HOMES   ,4," $	460,000.00 "," $	662,500.00 "," $	615,000.00 "," $	960,000.00 "
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES     ,80," $	224,173.00 "," $	514,587.00 "," $	516,500.00 "," $	870,000.00 "
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES     ,126," $	225,000.00 "," $	636,356.00 "," $	639,500.00 "," $	1,300,000.00 "
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES   ,11," $	320,000.00 "," $	730,221.00 "," $	725,000.00 "," $	950,000.00 "
