NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
NAVY YARD                ,03 THREE FAMILY HOMES                      ,3 ,"$490,000","$715,000","$555,000","$1,100,000"
OCEAN HILL               ,01 ONE FAMILY HOMES                        ,27 ,"$284,000","$460,927","$445,000","$700,000"
OCEAN HILL               ,02 TWO FAMILY HOMES                        ,237 ,"$155,000","$503,624","$530,000","$740,000"
OCEAN HILL               ,03 THREE FAMILY HOMES                      ,182 ,"$150,000","$544,002","$586,248","$805,000"
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES                        ,86 ,"$400,000","$829,573","$652,500","$3,225,000"
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES                        ,85 ,"$175,000","$896,644","$800,000","$2,700,000"
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES                      ,24 ,"$600,000","$961,146","$897,750","$1,580,000"
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES                        ,31 ,"$220,000","$1,577,480","$950,500","$5,000,000"
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES                        ,67 ,"$170,000","$1,002,676","$700,000","$5,679,000"
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES                      ,17 ,"$670,000","$1,023,362","$900,000","$2,000,000"
OLD MILL BASIN           ,01 ONE FAMILY HOMES                        ,132 ,"$160,250","$429,564","$435,000","$765,000"
OLD MILL BASIN           ,02 TWO FAMILY HOMES                        ,87 ,"$295,000","$546,267","$538,000","$1,050,500"
OLD MILL BASIN           ,03 THREE FAMILY HOMES                      ,9 ,"$430,000","$639,044","$650,000","$731,400"
PARK SLOPE               ,01 ONE FAMILY HOMES                        ,11 ,"$300,000","$2,278,186","$1,795,000","$6,050,000"
PARK SLOPE               ,02 TWO FAMILY HOMES                        ,62 ,"$450,000","$1,639,919","$1,638,000","$2,850,000"
PARK SLOPE               ,03 THREE FAMILY HOMES                      ,42 ,"$375,000","$1,571,735","$1,387,500","$2,860,000"
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES                        ,13 ,"$240,000","$802,346","$750,000","$1,875,000"
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES                        ,43 ,"$187,500","$990,774","$1,045,000","$1,750,000"
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES                      ,10 ,"$170,000","$1,021,253","$905,000","$2,075,000"
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES                        ,3 ,"$803,400","$1,041,133","$870,000","$1,450,000"
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES                        ,17 ,"$550,000","$1,219,774","$1,230,000","$2,236,000"
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES                      ,13 ,"$350,000","$1,160,192","$1,100,000","$1,920,000"
RED HOOK                 ,01 ONE FAMILY HOMES                        ,6 ,"$375,000","$522,500","$532,500","$630,000"
RED HOOK                 ,02 TWO FAMILY HOMES                        ,12 ,"$280,000","$754,625","$725,250","$1,300,000"
RED HOOK                 ,03 THREE FAMILY HOMES                      ,10 ,"$397,991","$714,779","$775,000","$850,000"
SEAGATE                  ,01 ONE FAMILY HOMES                        ,11 ,"$385,000","$602,592","$465,000","$1,700,000"
SEAGATE                  ,02 TWO FAMILY HOMES                        ,15 ,"$475,000","$664,756","$615,000","$1,100,000"
SEAGATE                  ,03 THREE FAMILY HOMES                      ,5 ,"$610,000","$747,200","$721,000","$880,000"
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES                        ,100 ,"$170,000","$506,160","$504,250","$980,000"
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES                        ,119 ,"$249,950","$630,688","$600,000","$1,500,000"
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES                      ,16 ,"$200,000","$777,656","$782,500","$1,237,000"
