NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
OCEAN HILL               ,01 ONE FAMILY HOMES                        , 	9 ,"$160,000","$364,461","$300,000","$828,300"
OCEAN HILL               ,02 TWO FAMILY HOMES                        , 	91 ,"$150,000","$471,732","$475,000","$760,000"
OCEAN HILL               ,03 THREE FAMILY HOMES                      , 	85 ,"$157,500","$538,332","$568,727","$825,000"
OCEAN PARKWAY-NORTH      ,01 ONE FAMILY HOMES                        , 	59 ,"$230,000","$896,905","$659,200","$3,600,000"
OCEAN PARKWAY-NORTH      ,02 TWO FAMILY HOMES                        , 	54 ,"$400,000","$925,391","$770,000","$3,200,000"
OCEAN PARKWAY-NORTH      ,03 THREE FAMILY HOMES                      , 	14 ,"$150,000","$741,071","$770,000","$1,750,000"
OCEAN PARKWAY-SOUTH      ,01 ONE FAMILY HOMES                        , 	28 ,"$285,500","$983,625","$840,000","$3,015,000"
OCEAN PARKWAY-SOUTH      ,02 TWO FAMILY HOMES                        , 	53 ,"$150,000","$820,731","$675,000","$3,300,000"
OCEAN PARKWAY-SOUTH      ,03 THREE FAMILY HOMES                      , 	12 ,"$495,000","$812,041","$833,824","$999,900"
OLD MILL BASIN           ,01 ONE FAMILY HOMES                        , 	61 ,"$230,000","$415,595","$425,000","$718,500"
OLD MILL BASIN           ,02 TWO FAMILY HOMES                        , 	39 ,"$415,000","$567,080","$535,000","$835,000"
OLD MILL BASIN           ,03 THREE FAMILY HOMES                      , 	3 ,"$565,000","$651,833","$600,000","$790,500"
PARK SLOPE               ,01 ONE FAMILY HOMES                        , 	11 ,"$1,550,000","$3,152,182","$2,599,000","$8,450,000"
PARK SLOPE               ,02 TWO FAMILY HOMES                        , 	34 ,"$225,000","$1,792,960","$1,801,250","$3,755,000"
PARK SLOPE               ,03 THREE FAMILY HOMES                      , 	27 ,"$820,500","$1,551,540","$1,500,000","$2,730,000"
PARK SLOPE SOUTH         ,01 ONE FAMILY HOMES                        , 	3 ,"$755,000","$953,333","$955,000","$1,150,000"
PARK SLOPE SOUTH         ,02 TWO FAMILY HOMES                        , 	30 ,"$489,980","$1,128,925","$1,097,500","$1,995,000"
PARK SLOPE SOUTH         ,03 THREE FAMILY HOMES                      , 	5 ,"$935,000","$1,359,800","$1,269,000","$1,995,000"
PROSPECT HEIGHTS         ,01 ONE FAMILY HOMES                        , 	3 ,"$420,916","$1,280,972","$1,602,000","$1,820,000"
PROSPECT HEIGHTS         ,02 TWO FAMILY HOMES                        , 	6 ,"$275,000","$1,031,833","$928,000","$2,250,000"
PROSPECT HEIGHTS         ,03 THREE FAMILY HOMES                      , 	6 ,"$800,000","$1,648,333","$1,762,500","$2,400,000"
RED HOOK                 ,01 ONE FAMILY HOMES                        , 	2 ,"$700,000","$875,000","$875,000","$1,050,000"
RED HOOK                 ,02 TWO FAMILY HOMES                        , 	7 ,"$695,000","$855,000","$755,000","$1,265,000"
RED HOOK                 ,03 THREE FAMILY HOMES                      , 	3 ,"$750,000","$878,333","$910,000","$975,000"
SEAGATE                  ,01 ONE FAMILY HOMES                        , 	10 ,"$255,000","$482,950","$422,500","$765,000"
SEAGATE                  ,02 TWO FAMILY HOMES                        , 	7 ,"$325,000","$677,143","$725,000","$895,000"
SEAGATE                  ,03 THREE FAMILY HOMES                      , 	5 ,"$399,000","$567,800","$550,000","$767,000"
SHEEPSHEAD BAY           ,01 ONE FAMILY HOMES                        , 	56 ,"$263,000","$518,976","$498,975","$1,200,000"
SHEEPSHEAD BAY           ,02 TWO FAMILY HOMES                        , 	77 ,"$240,000","$596,367","$600,000","$960,000"
SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES                      , 	12 ,"$675,000","$787,208","$810,000","$862,500"
SPRING CREEK             ,01 ONE FAMILY HOMES                        , 	19 ,"$205,116","$207,865","$205,118","$231,222"
SUNSET PARK              ,01 ONE FAMILY HOMES                        , 	26 ,"$340,000","$658,321","$635,000","$1,109,000"
SUNSET PARK              ,02 TWO FAMILY HOMES                        , 	136 ,"$165,000","$704,119","$741,500","$1,300,000"
SUNSET PARK              ,03 THREE FAMILY HOMES                      , 	52 ,"$210,000","$744,207","$764,000","$1,050,000"
WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES                        , 	1 ,"$550,000","$550,000","$550,000","$550,000"
WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES                        , 	2 ,"$492,750","$641,375","$641,375","$790,000"
WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES                      , 	6 ,"$400,000","$624,998","$550,000","$999,990"
WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES                        , 	6 ,"$360,000","$810,000","$787,500","$1,280,000"
WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES                        , 	29 ,"$162,000","$782,103","$785,000","$1,350,000"
WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES                      , 	10 ,"$160,000","$572,500","$477,500","$999,999"
WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES                        , 	15 ,"$210,000","$846,642","$899,000","$1,499,000"
WILLIAMSBURG-NORTH       ,03 THREE FAMILY HOMES                      , 	2 ,"$999,000","$1,174,500","$1,174,500","$1,350,000"
WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES                        , 	2 ,"$599,900","$973,950","$973,950","$1,348,000"
WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES                      , 	5 ,"$420,000","$1,113,000","$1,235,000","$1,485,000"
WINDSOR TERRACE          ,01 ONE FAMILY HOMES                        , 	16 ,"$652,000","$954,750","$822,500","$1,497,000"
WINDSOR TERRACE          ,02 TWO FAMILY HOMES                        , 	20 ,"$200,000","$884,368","$861,500","$1,490,000"
WINDSOR TERRACE          ,03 THREE FAMILY HOMES                      , 	9 ,"$399,000","$841,300","$860,000","$1,330,000"
WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES                        , 	1 ,"$465,000","$465,000","$465,000","$465,000"
WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES                        , 	8 ,"$445,266","$547,200","$505,417","$750,000"
WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES                      , 	9 ,"$150,000","$483,767","$523,500","$669,500"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
