Neighborhood,Weight_2015,Weight_2016,Weight_2017,Variance,Variance_prediction
Flatiron District,2.4833333333333334,2.473464912280701,2.48640350877193,0.003219262656553311,-0.003989715400301739
Alley Pond Park,2.235164835164835,2.3883458646616544,2.3669172932330826,0.023305395367021694,0.0641368705275522
Glen Oaks,2.2,2.3,2.2,-0.022727272727272645,0.043478260869565064
Bath Beach,2.5416666666666665,2.5749999999999997,2.5416666666666665,-0.006557377049180305,0.012944983818770182
Holliswood,2.2125,2.25,2.2,-0.014204545454545454,0.016666666666666705
Cunningham Park,2.4,2.45,2.4,-0.01041666666666663,0.02040816326530623
Richmond Hill,2.3637362637362638,2.5593984962406013,2.5466165413533832,0.03339692489382483,0.07644852210069594
Canarsie,2.254320987654321,2.3611111111111107,2.351851851851852,0.01876640419947527,0.04522875816993453
Ferry Point Park,2.3333333333333335,2.5,2.7333333333333334,0.11585365853658527,0.06666666666666661
Fort Hamilton,2.65,2.75,2.6,-0.03846153846153849,0.0363636363636364
Sheepshead Bay,2.41,2.52,2.46,-0.002032520325203209,0.0436507936507936
Arrochar,2.5,2.4,2.6,0.057692307692307654,-0.041666666666666706
Bensonhurst,2.2899999999999996,2.3975,2.470789473684211,0.0514165512834169,0.044838373305526744
Concourse,2.4079670329670333,2.4535714285714287,2.5035714285714286,0.02907933721057819,0.018586944351136423
Flatlands,2.45,2.4642857142857144,2.4071428571428575,-0.02077151335311565,0.005797101449275342
Hunts Point,2.3465277777777778,2.334375,2.3,-0.017587560386473525,-0.005206009222073437
Coney Island,2.4200000000000004,2.5300000000000002,2.4899999999999998,0.006024096385541863,0.04347826086956516
Jamaica Estates,2.3850877192982454,2.3333333333333335,2.4499999999999997,0.03705692803437165,-0.022180451127819377
Graniteville,2.375,2.55,2.4,-0.026041666666666668,0.0686274509803921
New Springville,2.441666666666667,2.516666666666667,2.408333333333333,-0.029411764705882526,0.029801324503311324
Parkchester,2.3295424836601306,2.451666666666667,2.3319047619047617,-0.02517247454423893,0.04981271910531739
East Harlem,2.357410573551232,2.3130836203597402,2.2593929277059677,-0.033572809899221734,-0.01916357575719546
Astoria,2.249298526765632,2.384461805555556,2.3523437499999997,0.01507585098453648,0.056685025725724404
Floral Park,2.45,2.55,2.5,0.0,0.039215686274509665
City Island,2.25,2.35,2.55,0.09803921568627452,0.042553191489361736
Cobble Hill,2.15,2.4,2.4135746606334845,0.057414698162729816,0.10416666666666667
Lower East Side,2.3061728395061727,2.404166666666667,2.301388888888889,-0.02336887279554758,0.040759997432441214
Carroll Gardens,2.4625,2.5015384615384613,2.569342105263158,0.033986472379466795,0.015605781057810507
East Village,2.6325490196078434,2.6700000000000004,2.6700000000000004,0.007013292208269182,0.0140265844165382
Gowanus,2.5833333333333335,2.4000000000000004,2.3166666666666664,-0.07553956834532405,-0.0763888888888888
Fort Greene,2.4799999999999995,2.54,2.49,-0.008032128514056052,0.023622047244094682
Eastchester,2.575,2.625,2.525,-0.029702970297029774,0.01904761904761898
Randall's Island,2.425,2.5749999999999997,2.6125,0.04306220095693773,0.058252427184465994
Mott Haven,2.406911916953468,2.6556642111351256,2.666337719298246,0.05064986864810682,0.0936685794607038
Gramercy,2.374696356275303,2.465789473684211,2.4628808864265928,0.017312234498152917,0.03694277973893805
West Farms,2.3309584178498985,2.4327586206896554,2.4063660477453577,0.010184455726735013,0.04184558302413819
Morris Heights,2.4958333333333336,2.5614583333333334,2.525,-0.0014438943894390377,0.025620170801138605
Sunset Park,2.512753036437247,2.55,2.480769230769231,-0.020399836801305537,0.014606652377550123
Williamsburg,2.512466772993088,2.5427609427609426,2.5348484848484856,0.0028540668267605317,0.011913888269402519
Gerritsen Beach,2.1911111111111112,2.4464912280701756,2.37,0.021602882029264425,0.10438627943109838
Middle Village,2.229166666666667,2.340625,2.1875,-0.04452380952380963,0.04761904761904757
St. George,2.3,2.45,2.375,0.0,0.061224489795918505
Morris Park,2.45,2.4,2.3,-0.05434782608695653,-0.020833333333333447
Battery Park City,2.45,2.5,2.4,-0.031250000000000076,0.019999999999999928
Cypress Hills,2.4862637362637368,2.5500000000000003,2.5428571428571423,0.009723422644770578,0.024994613229907255
Throgs Neck,2.7,2.75,2.65,-0.028301886792452897,0.01818181818181812
Edgemere,2.2750000000000004,2.475,2.325,-0.021505376344085943,0.0808080808080807
Glendale,2.2427884615384612,2.4763157894736847,2.507236842105263,0.058903376864541855,0.09430434071773103
NoHo,2.3899999999999997,2.44,2.3521052631578945,-0.02673976281047227,0.020491803278688634
Sunnyside,2.55,2.65,2.7,0.03703703703703723,0.03773584905660381
College Point,2.6,2.7,2.55,-0.03921568627451002,0.03703703703703707
Manhattan Beach,2.3361111111111112,2.3499999999999996,2.1500000000000004,-0.08979328165374655,0.0059101654846333606
Long Island City,2.23697270471464,2.4103500065299728,2.333870967741935,0.004374540092722818,0.07193034262477625
Sea Gate,2.4,2.5,2.3,-0.06521739130434799,0.040000000000000036
Queens Village,2.2750000000000004,2.35,2.273214285714286,-0.017282010997643298,0.03191489361702116
Chinatown,2.585,2.635,2.565,-0.01754385964912278,0.01897533206831113
Ridgewood,2.3347503373819163,2.4596153846153843,2.4211538461538464,0.009900645179270933,0.05076608644363048
Bronxdale,2.216666666666667,2.4833333333333334,2.3666666666666667,0.007042253521126736,0.10738255033557044
Tompkinsville,2.5833333333333335,2.6166666666666667,2.6666666666666665,0.02499999999999991,0.012738853503184667
East Flatbush,2.314595660749507,2.335576923076923,2.3634615384615385,0.01623688218480728,0.008983331749902346
Upper West Side,2.4534532031436056,2.4956555590158827,2.4565934065934063,-0.007311333832506115,0.016910328718967454
West Brighton,2.2666666666666666,2.466666666666667,2.4833333333333334,0.04697986577181209,0.08108108108108115
West Village,2.2835913312693497,2.2794117647058822,2.4411764705882355,0.0654090044388081,-0.0018336162988115078
Schuylerville,2.3899999999999997,2.3600000000000003,2.3600000000000003,-0.006355932203389694,-0.012711864406779388
East Morrisania,2.5166666666666666,2.5,2.5,-0.0033333333333333214,-0.006666666666666643
Kips Bay,2.5166666666666666,2.6166666666666667,2.6,0.012820512820512945,0.03821656050955417
Laurelton,2.1999999999999997,2.2375,2.2625,0.01933701657458571,0.01675977653631289
Woodlawn,2.4749999999999996,2.4,2.4,-0.015625000000000038,-0.03124999999999989
Bull's Head,2.425,2.425,2.375,-0.021052631578947295,0.0
Huguenot,2.35,2.4499999999999997,2.3833333333333333,-0.006993006993006968,0.0408163265306121
Flushing Meadows Corona Park,2.3,2.5,2.4,0.0,0.08000000000000007
Port Richmond,2.4819444444444443,2.534375,2.55,0.016407952069716774,0.020687765447321545
Bedford-Stuyvesant,2.412676113975704,2.4072858241309896,2.4532949659479644,0.017655437888970164,-0.0022391565599237
Cambria Heights,2.085897435897436,2.2978070175438594,2.2188596491228068,0.012171757872489248,0.09222253219199186
Arverne,2.3,2.1,2.3088235294117645,0.047133757961783276,-0.09523809523809511
Jamaica Hills,2.2937499999999997,2.4,2.415625,0.028460543337645576,0.04427083333333341
Roosevelt Island,2.251014957264957,2.3796875,2.341666666666667,0.011237909480791985,0.05407119327014283
Eltingville,2.25,2.4,2.275,-0.021978021978022098,0.062499999999999965
Prospect-Lefferts Gardens,2.282808048433048,2.4453124999999996,2.4064331501831506,0.01760816666085328,0.06645549457051057
Rockaway Beach,2.456666666666666,2.533333333333333,2.5033333333333334,0.0033288948069242668,0.030263157894737016
Bayswater,2.275308641975309,2.3902777777777775,2.4092592592592594,0.031738406354086604,0.04809865065530359
Woodhaven,2.4299999999999997,2.4699999999999998,2.4,-0.02083333333333326,0.016194331983805686
Downtown Brooklyn,2.3804152637485974,2.5040598290598286,2.5006485230169435,0.02335833127890351,0.049377640213035444
Emerson Hill,2.4,2.7,2.625,0.02857142857142864,0.1111111111111112
Bloomfield,2.311111111111111,2.48125,2.3125,-0.03618618618618618,0.0685698292751191
Woodside,2.5488235294117647,2.6584615384615384,2.6049999999999995,5.211002162564175E-4,0.041241149237472755
University Heights,2.566666666666667,2.6083333333333334,2.6125,0.009569377990430419,0.015974440894568634
Belmont,2.4666666666666663,2.4976190476190476,2.535714285714286,0.021126760563380555,0.012392755004766578
Midwood,2.4214285714285713,2.4857142857142853,2.485714285714286,0.01293103448275893,0.025862068965517154
