NEIGHBORHOOD,BOROUGH,2015,2016,2017,BUILDING_CLASS_CATEGORY,Avg,Diff,Variance,Variance_prediction,Variance_Test
Sunnyside,QUEENS,870890.3333333334,943757.6666666666,1075807.1010101011,Condo_Elevator,907324.0,168483.10101010115,0.15661088391395475,0.0772097922030125,0.12274452754536583
Whitestone,QUEENS,919105.6666666666,1026562.6666666666,1090330.4931636727,Condo_Elevator,972834.1666666666,117496.32649700611,0.10776212096580187,0.10467651268570063,0.05848486022983651
Woodhaven,QUEENS,514089.6666666667,574799.6666666666,641781.1254090696,Condo_Elevator,544444.6666666666,97336.45874240296,0.15166612866709187,0.10561940710937541,0.10436807205838151
Woodside,QUEENS,761024.0,917701.6666666666,891721.2560076662,Condo_Elevator,839362.8333333333,52358.42267433298,0.058716131662877896,0.1707283231115413,-0.029135125448637996
Arden Heights,STATEN ISLAND,417386.0,450819.5,507337.4996859296,Condo_Elevator,434102.75,73234.74968592962,0.14435114638926955,0.07416161013443295,0.11140118702228287
Arrochar,STATEN ISLAND,499979.0,613366.6666666666,575069.3333333333,Condo_Elevator,556672.8333333333,18396.5,0.031990055691835426,0.1848611488506059,-0.06659602784128066
Bay Terrace,STATEN ISLAND,482648.0,526240.5,605633.1799999999,Condo_Elevator,504444.25,101188.92999999993,0.16707956786647646,0.08283759991866836,0.13109037387944952
Bloomfield,STATEN ISLAND,null,499900.0,null,Condo_Elevator,null,null,0.0,0.0,0.0
Bull's Head,STATEN ISLAND,393577.6666666667,504666.6666666667,581058.1796728345,Condo_Elevator,449122.1666666667,131936.01300616778,0.22706162243590566,0.2201235138705416,0.13146964568880196
Castleton Corners,STATEN ISLAND,529372.3333333334,512389.0,573775.0595238095,Condo_Elevator,520880.6666666667,52894.39285714278,0.09218663652101083,-0.03314539018857425,0.10698628060751773
Charleston,STATEN ISLAND,578525.0,595835.0,512173.5238095238,Condo_Elevator,587180.0,-75006.47619047621,-0.1464473907838527,0.029051666988344087,-0.16334596050222566
Clifton,STATEN ISLAND,414897.5,552514.6666666666,512575.15,Condo_Elevator,483706.0833333333,28869.06666666671,0.0563216275050921,0.24907423272021734,-0.07791933859194423
Concord,STATEN ISLAND,319055.0,412420.6666666667,379171.4917582418,Condo_Elevator,365737.8333333334,13433.658424908412,0.03542897796091078,0.22638454910924286,-0.08768901573862109
Dongan Hills,STATEN ISLAND,486370.0,653855.0,700013.9653299917,Condo_Elevator,570112.5,129901.46532999165,0.18556981969460445,0.2561500638520773,0.065940063507493
Eltingville,STATEN ISLAND,500046.0,561955.5,593034.2149122807,Condo_Elevator,531000.75,62033.46491228067,0.10460351755835272,0.11016797593403749,0.05240627628353234
Emerson Hill,STATEN ISLAND,1259089.0,908923.5,652933.75,Condo_Elevator,1084006.25,-431072.5,-0.6602086352558739,-0.38525299433890753,-0.3920608331243407
Freshkills Park,STATEN ISLAND,null,309003.0,328536.0,Condo_Elevator,null,null,0.0,0.0,0.059454671634158816
Grant City,STATEN ISLAND,564363.6666666666,547865.5,624518.3012820513,Condo_Elevator,556114.5833333333,68403.717948718,0.10953036573675176,-0.030113534556687048,0.12273907926267887
Great Kills,STATEN ISLAND,501504.6666666667,539532.6666666666,576215.2789902756,Condo_Elevator,520518.6666666666,55696.61232360895,0.09665938123197337,0.07048322066380895,0.06366129754124068
Grymes Hill,STATEN ISLAND,526539.0,590630.5,591102.8318965517,Condo_Elevator,558584.75,32518.081896551652,0.05501256319855123,0.1085136984967759,7.99068911641273E-4
