PCT,CRIME,2013,2014,2015,2016,2017,Weight
18,MISDEMEANOR DANGEROUS WEAPONS (5),45,38,19,38,37,8
18,PETIT LARCENY,2071,2073,1961,1965,2079,8
18,ASSAULT 3 AND RELATED OFFENSES,619,593,600,632,601,8
18,INTOXICATED & IMPAIRED DRIVING,55,36,28,32,28,8
18,VEHICLE AND TRAFFIC LAWS,96,95,93,69,89,8
18,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,212,265,249,252,311,8
18,CRIMINAL TRESPASS,120,207,161,141,119,8
18,UNAUTHORIZED USE OF A VEHICLE,8,14,9,11,15,8
18,OFFENSES AGAINST THE PERSON (7),24,28,25,18,38,8
18,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),128,149,127,98,81,8
18,ADMINISTRATIVE CODE (6),2,9,2,2,10,8
18,FRAUDS (3),120,105,103,87,87,8
18,AGGRAVATED HARASSMENT 2,397,219,265,295,317,8
18,OTHER MISDEMEANORS (8),539,935,757,911,865,8
18,TOTAL MISDEMEANOR OFFENSES,5005,5163,4891,5182,5348,8
19,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,25,23,20,15,7,8
19,MISDEMEANOR SEX CRIMES (4),37,79,66,72,92,8
19,MISDEMEANOR DANGEROUS DRUGS  (1),105,50,31,31,80,8
19,MISDEMEANOR DANGEROUS WEAPONS (5),23,12,16,15,15,8
19,PETIT LARCENY,1637,1566,1586,1678,1832,8
19,ASSAULT 3 AND RELATED OFFENSES,321,355,295,331,371,8
19,INTOXICATED & IMPAIRED DRIVING,177,196,107,54,51,8
19,VEHICLE AND TRAFFIC LAWS,100,67,59,101,110,8
19,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,266,318,348,373,389,8
19,CRIMINAL TRESPASS,41,71,46,68,58,8
19,UNAUTHORIZED USE OF A VEHICLE,6,6,6,6,16,8
19,OFFENSES AGAINST THE PERSON (7),7,15,8,9,13,8
19,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),68,53,63,54,46,8
19,ADMINISTRATIVE CODE (6),1,1,6,4,3,8
19,FRAUDS (3),108,84,59,90,50,8
19,AGGRAVATED HARASSMENT 2,329,210,182,196,230,8
19,OTHER MISDEMEANORS (8),276,214,354,487,469,8
19,TOTAL MISDEMEANOR OFFENSES,3527,3320,3252,3584,3832,8
20,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,27,13,11,6,5,8
20,MISDEMEANOR SEX CRIMES (4),43,38,36,64,79,8
20,MISDEMEANOR DANGEROUS DRUGS  (1),86,55,67,68,178,8
20,MISDEMEANOR DANGEROUS WEAPONS (5),24,22,17,17,11,8
20,PETIT LARCENY,1182,1221,1171,1218,1406,8
20,ASSAULT 3 AND RELATED OFFENSES,244,261,192,189,167,8
20,INTOXICATED & IMPAIRED DRIVING,29,27,6,20,16,8
20,VEHICLE AND TRAFFIC LAWS,36,21,28,37,31,8
20,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,214,228,288,328,332,8
20,CRIMINAL TRESPASS,83,60,67,52,39,8
20,UNAUTHORIZED USE OF A VEHICLE,10,5,6,12,14,8
20,OFFENSES AGAINST THE PERSON (7),9,9,4,8,14,8
20,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),72,77,53,62,57,8
20,ADMINISTRATIVE CODE (6),3,1,0,3,2,8
20,FRAUDS (3),118,95,158,109,120,8
20,AGGRAVATED HARASSMENT 2,231,124,127,112,101,8
20,OTHER MISDEMEANORS (8),225,290,236,307,374,8
20,TOTAL MISDEMEANOR OFFENSES,2636,2547,2467,2612,2946,8
22,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,2,0,2,1,0,8
22,MISDEMEANOR SEX CRIMES (4),13,6,5,9,10,8
22,MISDEMEANOR DANGEROUS DRUGS  (1),96,60,103,27,11,8
22,MISDEMEANOR DANGEROUS WEAPONS (5),9,7,4,6,8,8
22,PETIT LARCENY,110,83,90,69,57,8
22,ASSAULT 3 AND RELATED OFFENSES,30,33,20,32,24,8
22,INTOXICATED & IMPAIRED DRIVING,1,3,3,1,2,8
22,VEHICLE AND TRAFFIC LAWS,3,4,6,1,1,8
22,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,10,20,31,27,16,8
22,CRIMINAL TRESPASS,1,0,1,1,5,8
22,UNAUTHORIZED USE OF A VEHICLE,3,0,0,0,1,8
22,OFFENSES AGAINST THE PERSON (7),3,4,1,1,1,8
22,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),13,8,7,6,10,8
22,ADMINISTRATIVE CODE (6),1,0,2,0,1,8
22,FRAUDS (3),5,2,0,2,3,8
22,AGGRAVATED HARASSMENT 2,1,8,2,2,3,8
22,OTHER MISDEMEANORS (8),44,52,50,21,20,8
22,TOTAL MISDEMEANOR OFFENSES,345,290,327,206,173,8
23,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,36,22,20,40,12,8
23,MISDEMEANOR SEX CRIMES (4),42,66,67,73,72,8
23,MISDEMEANOR DANGEROUS DRUGS  (1),732,773,952,910,939,8
23,MISDEMEANOR DANGEROUS WEAPONS (5),91,107,136,121,69,8
23,PETIT LARCENY,743,718,688,686,821,8
23,ASSAULT 3 AND RELATED OFFENSES,735,715,669,622,649,8
23,INTOXICATED & IMPAIRED DRIVING,67,67,44,23,20,8
23,VEHICLE AND TRAFFIC LAWS,30,39,37,40,44,8
23,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,480,514,607,581,556,8
23,CRIMINAL TRESPASS,656,643,385,398,234,8
23,UNAUTHORIZED USE OF A VEHICLE,9,12,9,13,9,8
23,OFFENSES AGAINST THE PERSON (7),34,26,19,19,23,8
23,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),272,247,212,225,197,8
23,ADMINISTRATIVE CODE (6),2,5,10,6,5,8
23,FRAUDS (3),59,84,49,54,34,8
23,AGGRAVATED HARASSMENT 2,406,255,301,385,327,8
23,OTHER MISDEMEANORS (8),536,454,539,635,461,8
23,TOTAL MISDEMEANOR OFFENSES,4930,4747,4744,4831,4472,8
24,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,16,11,6,9,6,8
24,MISDEMEANOR SEX CRIMES (4),34,37,29,56,55,8
24,MISDEMEANOR DANGEROUS DRUGS  (1),347,337,324,383,238,8
24,MISDEMEANOR DANGEROUS WEAPONS (5),22,40,45,46,27,8
24,PETIT LARCENY,1051,977,1094,1106,1350,8
24,ASSAULT 3 AND RELATED OFFENSES,383,358,282,277,256,8
24,INTOXICATED & IMPAIRED DRIVING,23,34,19,21,31,8
24,VEHICLE AND TRAFFIC LAWS,33,27,28,31,32,8
24,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,396,389,494,494,426,8
24,CRIMINAL TRESPASS,165,128,128,85,77,8
24,UNAUTHORIZED USE OF A VEHICLE,11,5,9,6,5,8
24,OFFENSES AGAINST THE PERSON (7),11,13,9,11,13,8
