Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,rank_pred_eval,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Cobble Hill,Coops-Elevator,BROOKLYN,76,0.07689580056962886,-0.013355793526651316,0.057414698162729816,-0.22741371892681073,0.04450292171355598,0.10416666666666667,0.1711425752777247,0.04660952215071308,65.09065914034286,-0.07135430364313947,47.92046288961019,76.56408000640589,28.643617116795696,350000.0,816000.0,660250.0,6
Sheepshead Bay,Coops-Elevator,BROOKLYN,61,0.1349071908221123,0.012301951550465047,-0.002032520325203209,0.04743184332263882,-0.0915909571096556,0.0436507936507936,0.11389233075479878,0.04178860608625248,63.841484175511475,0.06415022641948423,77.49418389529188,73.16179214745291,-4.332391747838969,110000.0,650000.0,243759.85945945946,185
Bellerose,Coops-Elevator,QUEENS,105,0.09038768335683992,-0.053001226290391966,-0.010101010101010065,0.018996795444782125,-0.0514101331016721,0.019801980198019906,0.08166497201867011,0.05031092716579824,-1.0,-1.0,-1.0,-1.0,0.7334746933961753,-1.0,-1.0,-1.0,null
Bloomfield,Three_Family,STATEN ISLAND,121,0.0,-0.09269450240992776,-0.03618618618618618,0.0,-0.048095394679912015,0.0685698292751191,0.0,0.02803125441742456,-1.0,-1.0,-1.0,-1.0,-5.040137208432469,-1.0,-1.0,-1.0,null
Crown Heights,Coops-Walkup,BROOKLYN,77,0.12003678863760871,-0.06301534286608913,0.01448513324344184,0.07922599652499215,-0.03261375731772225,0.07360917402758445,0.08374102338912566,0.07084029648045917,71.36923281108868,0.05917689521773227,76.40875959721498,71.36994954771154,-5.038810049503439,140000.0,875000.0,332636.36363636365,11
Cypress Hills,Two_Family,BROOKLYN,75,0.12549287594814737,-0.08579150635103522,0.009723422644770578,0.07052449213732964,-0.08745498742782319,0.024994613229907255,0.09352866052125575,0.08066996478345831,73.91625403952756,0.06591422052667147,77.879173751775,71.95161272242774,-5.92756102934726,157268.0,935000.0,582075.112,125
Eltingville,Condos-Walkup,STATEN ISLAND,122,0.10460351755835272,-0.04834150701809471,-0.021978021978022098,0.11016797593403749,0.008673106486473918,0.062499999999999965,0.05240627628353234,0.05045332845815582,-1.0,-1.0,-1.0,-1.0,-5.054084370915845,-1.0,-1.0,-1.0,null
Emerson Hill,One_Family,STATEN ISLAND,122,-0.6602086352558739,-0.04834150701809471,0.02857142857142864,-0.38525299433890753,0.008673106486473918,0.1111111111111112,-0.3920608331243407,-0.20459356238946078,0.0,-0.11053001283542939,39.37040560874242,43.09382787918676,3.7234222704443383,580000.0,1350000.0,987367.5,12
Maspeth,Condos-Elevator,QUEENS,104,0.1732154566760323,0.005564017561150304,0.010362694300517915,0.12701733240358154,-0.027196347031963233,0.06091370558375631,0.1171466157933296,0.06099047638728066,-1.0,-1.0,-1.0,-1.0,-5.538582908413062,-1.0,-1.0,-1.0,null
Co-op City,Three_Family,BRONX,45,0.0,-0.04420403652649316,-0.017921146953404955,0.0,-0.011165048543689354,-0.007067137809187444,-0.30303030303030304,0.013201327872246024,-1.0,-1.0,-1.0,-1.0,-15.697803882596787,-1.0,-1.0,-1.0,null
Flatlands,Condos-Walkup,BROOKLYN,63,0.1540410219303845,-0.08564491113879623,-0.02077151335311565,-0.06876005285588356,-0.014840155715465292,0.005797101449275342,0.18215843649747074,0.08297944379287414,-1.0,-1.0,-1.0,-1.0,17.36581102330605,-1.0,-1.0,-1.0,null
Longwood,Coops-Elevator,BRONX,41,0.31470106100448736,-0.15905770288988824,0.030263974414053266,0.10524219427664565,0.007973519436472678,0.045695045695045705,0.2766369011116028,0.1813344461110392,100.0,0.04506912164599833,73.3297528700674,82.83343425919516,9.503681389127763,163725.0,163725.0,163725.0,1
Lower East Side,Coops-Elevator,MANHATTAN,7,0.0,-0.002726294990120216,-0.02336887279554758,0.0,0.018975144537233934,0.040759997432441214,0.0,-0.004751700202838809,51.782160865466984,0.00259994154321673,64.06089903086911,66.39335827640221,2.3324592455331015,388000.0,2200000.0,820936.5853658536,123
Manhattan Beach,Coops-Elevator,BROOKLYN,61,-0.015097154566381521,0.012301951550465047,-0.08979328165374655,-0.1898831468285502,-0.0915909571096556,0.0059101654846333606,0.0729211683861091,-0.03265310513185619,-1.0,-1.0,-1.0,-1.0,13.419783908348428,-1.0,-1.0,-1.0,null
Mount Hope,Condos-Elevator,BRONX,46,0.13675475573645357,-0.09706208223247645,0.010894401827974267,-0.025535062550283264,-0.022944894087536506,0.021465883121122988,0.14763732287441797,0.08941259785774289,-1.0,-1.0,-1.0,-1.0,10.449980987064848,-1.0,-1.0,-1.0,null
East New York,Condos-Elevator,BROOKLYN,75,0.13986368099708044,-0.08579150635103522,0.007887327300000259,0.08768946128466053,-0.08745498742782319,0.05786216518778204,0.10042192249722608,0.0852407227143923,75.10060910841551,0.08013884771770596,80.98368365829305,72.3612679426781,-8.622415715614949,133000.0,378000.0,275675.0,29
