Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,rank_pred_eval,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Cobble Hill,Coops-Elevator,BROOKLYN,76,0.07689580057,-0.01335579353,0.05741469816,-0.2274137189,0.04450292171,0.1041666667,0.1711425753,0.05296352286,66.14822748,-0.08964538336,48.84937818,48.84937818,0,350000,816000,660250,6
Sheepshead Bay,Coops-Elevator,BROOKLYN,61,0.1349071908,0.01230195155,-0.002032520325,0.04743184332,-0.09159095711,0.04365079365,0.1138923308,0.05650952032,66.86245648,0.05973431504,74.29153111,74.29153111,0,110000,650000,243759.8595,185
Bellerose,Coops-Elevator,QUEENS,105,0.09038768336,-0.05300122629,-0.0101010101,0.01899679544,-0.0514101331,0.0198019802,0.08166497202,0.05404957287,-1,-1,-1,-1,0,-1,-1,-1,null
Bloomfield,Three_Family,STATEN ISLAND,121,0,-0.09269450241,-0.03618618619,0,-0.04809539468,0.06856982928,0,0.01876180418,-1,-1,-1,-1,0,-1,-1,-1,null
Crown Heights,Coops-Walkup,BROOKLYN,77,0.1200367886,-0.06301534287,0.01448513324,0.07922599652,-0.03261375732,0.07360917403,0.08374102339,0.07654244106,70.89745458,0.06383811914,74.99048561,74.99048561,0,140000,875000,332636.3636,11
Cypress Hills,Two_Family,BROOKLYN,75,0.1254928759,-0.08579150635,0.009723422645,0.07052449214,-0.08745498743,0.02499461323,0.09352866052,0.08464010174,72.52847214,0.064221171,75.0557265,75.0557265,0,157268,935000,582075.112,125
Eltingville,Condos-Walkup,STATEN ISLAND,122,0.1046035176,-0.04834150702,-0.02197802198,0.1101679759,0.008673106486,0.0625,0.05240627628,0.05607952951,-1,-1,-1,-1,0,-1,-1,-1,null
Emerson Hill,One_Family,STATEN ISLAND,122,-0.6602086353,-0.04834150702,0.02857142857,-0.3852529943,0.008673106486,0.1111111111,-0.3920608331,-0.2754485766,0,-0.1481880016,38.87847676,38.87847676,0,580000,1350000,987367.5,12
Maspeth,Condos-Elevator,QUEENS,104,0.1732154567,0.005564017561,0.0103626943,0.1270173324,-0.02719634703,0.06091370558,0.1171466158,0.07886842381,-1,-1,-1,-1,0,-1,-1,-1,null
Co-op City,Three_Family,BRONX,45,0,-0.04420403653,-0.01792114695,0,-0.01116504854,-0.007067137809,-0.303030303,0.00878092422,-1,-1,-1,-1,0,-1,-1,-1,null
Flatlands,Condos-Walkup,BROOKLYN,63,0.1540410219,-0.08564491114,-0.02077151335,-0.06876005286,-0.01484015572,0.005797101449,0.1821584365,0.08981905487,-1,-1,-1,-1,0,-1,-1,-1,null
Longwood,Coops-Elevator,BRONX,41,0.314701061,-0.1590577029,0.03026397441,0.1052421943,0.007973519436,0.0456950457,0.2766369011,0.1968987819,95.13943174,0.05639069302,73.72204983,73.72204983,0,163725,163725,163725,1
Lower East Side,Coops-Elevator,MANHATTAN,7,0,-0.00272629499,-0.0233688728,0,0.01897514454,0.04075999743,0,-0.005024329702,54.46840914,0.004497455997,64.88366224,64.88366224,0,388000,2200000,820936.5854,123
Manhattan Beach,Coops-Elevator,BROOKLYN,61,-0.01509715457,0.01230195155,-0.08979328165,-0.1898831468,-0.09159095711,0.005910165485,0.07292116839,-0.03293262543,-1,-1,-1,-1,0,-1,-1,-1,null
Mount Hope,Condos-Elevator,BRONX,46,0.1367547557,-0.09706208223,0.01089440183,-0.02553506255,-0.02294489409,0.02146588312,0.1476373229,0.09338186521,-1,-1,-1,-1,0,-1,-1,-1,null
East New York,Condos-Elevator,BROOKLYN,75,0.139863681,-0.08579150635,0.0078873273,0.08768946128,-0.08745498743,0.05786216519,0.1004219225,0.09064794018,73.73856112,0.0801622951,77.7707977,77.7707977,0,133000,378000,275675,29
Gowanus,Coops-Walkup,BROOKLYN,76,0.1393566134,-0.01335579353,-0.07553956835,0.1859661097,0.04450292171,-0.07638888889,0.05112755479,0.04783232201,65.1147094,0.05123665065,72.84422014,72.84422014,0,385000,720000,484000,6
Morris Heights,Coops-Walkup,BRONX,46,0.1357072862,-0.09706208223,-0.001443894389,0.1240913611,-0.02294489409,0.0256201708,0.07853432102,0.08982592986,-1,-1,-1,-1,0,-1,-1,-1,null
Stapleton,Coops-Walkup,STATEN ISLAND,120,0.07397858418,-0.007894660392,-0.007010597761,-0.03940848545,0.04688049766,0.02944688783,0.09187254793,0.03390611156,-1,-1,-1,-1,0,-1,-1,-1,null
Flatiron District,Three_Family,MANHATTAN,13,0,-0.06703331144,0.003219262657,0,-0.08380938502,-0.0039897154,0,0.0209148091,-1,-1,-1,-1,0,-1,-1,-1,null
Fordham,Condos-Walkup,BRONX,52,0.1949466391,-0.006578378845,7.56E-04,0.2436768358,-0.05481868598,0.008446717195,0.08325144564,0.08988849604,-1,-1,-1,-1,0,-1,-1,-1,null
Fort Greene,Coops-Walkup,BROOKLYN,88,0.2079826214,-0.09118344794,-0.008032128514,0.09374448382,0.001842126969,0.02362204724,0.1690333517,0.1189391819,79.43693672,0.04753789144,72.21425236,72.21425236,0,405000,1655000,903818.1818,11
Grant City,Condos-Walkup,STATEN ISLAND,122,0.1095303657,-0.04834150702,0.006802721088,-0.03011353456,0.008673106486,0.02702702703,0.1227390793,0.06549179696,-1,-1,-1,-1,0,-1,-1,-1,null
New Dorp,Two_Family,STATEN ISLAND,122,0.08221469577,-0.04834150702,0.03921568627,0.007560155431,0.008673106486,0.04,0.07873223201,0.06130298677,67.82794865,0.010800138,65.95712671,65.95712671,0,170000,950000,616127.75,36
Westerleigh,One_Family,STATEN ISLAND,121,0.1236206163,-0.09269450241,-0.01,0.05752361578,-0.04809539468,0.01960784314,0.09766791416,0.08093762804,71.78272595,0.04521620629,71.81882601,71.81882601,0,109000,999000,515509.7303,89
Baychester,Condos-Walkup,BRONX,47,0.1309562722,0.02221669155,0,0.0656662679,0.07898425531,0.01960784314,0.1014541975,0.05226531503,-1,-1,-1,-1,0,-1,-1,-1,null
Clinton Hill,Condos-Walkup,BROOKLYN,88,0.02240921673,-0.09118344794,0.02048730705,0.01289209698,0.001842126969,-0.004594820384,0.01606673519,0.04256100867,64.0529701,0.004100100455,64.81598517,64.81598517,0,500000,1650000,955253.5714,14
Crotona Park,Condos-Walkup,BRONX,48,0.1678432778,-0.06928387142,0.0389612417,0.07833306333,-0.04227152865,0.04797905011,0.1339220067,0.1060549469,-1,-1,-1,-1,0,-1,-1,-1,null
Gerritsen Beach,Condos-Walkup,BROOKLYN,61,-0.03022701348,0.01230195155,0.02160288203,-0.07984187346,-0.09159095711,0.1043862794,0.009321788712,-0.01189202102,-1,-1,-1,-1,0,-1,-1,-1,null
Prospect Heights,Coops-Elevator,BROOKLYN,77,-0.1566049153,-0.06301534287,-0.04724241257,0.136370812,-0.03261375732,-0.006955161406,-0.2412393225,-0.06337821217,42.71486565,0.06941220226,75.93985608,75.93985608,0,299000,2562780,878192.3774,53
South Slope,Two_Family,BROOKLYN,72,-0.162981112,0.01480104502,-0.00900032144,0.4547459402,-0.02067103582,-6.37E-04,-0.5052296477,-0.08003189426,39.36050827,0.2106776467,100,100,0,263692,3000000,1933524.679,28
St. George,Coops-Walkup,STATEN ISLAND,120,0,-0.007894660392,0,0,0.04688049766,0.0612244898,0,0.002368398117,-1,-1,-1,-1,0,-1,-1,-1,null
Stapleton,One_Family,STATEN ISLAND,120,0.07397858418,-0.007894660392,-0.007010597761,-0.03940848545,0.04688049766,0.02944688783,0.09187254793,0.03390611156,62.30971489,-0.02443624579,59.95571236,59.95571236,0,135000,595882,326632.0263,38
Throgs Neck,Coops-Elevator,BRONX,45,0.07256819931,-0.04420403653,-0.02830188679,0.05681627579,-0.01116504854,0.01818181818,0.0454512467,0.03884142895,-1,-1,-1,-1,0,-1,-1,-1,null
Williamsburg,Coops-Elevator,BROOKLYN,90,-0.007315307005,-0.03072022028,0.002854066827,0.1187851488,-0.02937561068,0.01191388827,-0.07092000297,0.006637694637,56.81735499,0.06524447224,75.23001381,75.23001381,0,350000,675000,515000,3
Woodside,Condos-Walkup,QUEENS,108,0.05871613166,0.01272315638,5.21E-04,0.1707283231,-0.05233356211,0.04124114924,-0.02913512545,0.02273558739,60.0597662,0.1028381013,81.63291107,81.63291107,0,283920,702592,461956.7727,22
Belmont,Coops-Walkup,BRONX,48,0.1806064932,-0.06928387142,0.02112676056,0.2419766227,-0.04227152865,0.012392755,0.06782410586,0.1073397735,77.10060287,0.1246691276,85.35114262,85.35114262,0,1150000,1150000,1150000,2
Harlem,Two_Family,MANHATTAN,28,0.2007510966,-0.0374289652,-0.004226361393,-0.02248894449,0.09942238517,0.05139622676,0.2096382969,0.1005100927,75.72497974,-0.02709768388,59.50241974,59.50241974,0,850000,4300000,2374791.304,23
Highbridge,Two_Family,BRONX,44,0.1357072862,-0.06715625229,0.008632016213,0.1240913611,-0.04108725349,0.005178907721,0.07853432102,0.08337315853,72.27328651,0.06946201549,75.94834021,75.94834021,0,130000,1550000,458264.303,33
Park Slope,One_Family,BROOKLYN,78,0.0599093353,-0.04648326716,-0.03384545178,0.02426135288,1.63E-04,0.003085059498,0.04836536344,0.03244281809,62.01498071,0.01164009583,66.10018722,66.10018722,0,1500000,1.26E+07,4569444.444,18
Woodlawn,Condos-Walkup,BRONX,47,0.1242575569,0.02221669155,-0.015625,0.01161177519,0.07898425531,-0.03125,0.1191434025,0.04534464315,-1,-1,-1,-1,0,-1,-1,-1,null
Brighton Beach,Condos-Elevator,BROOKLYN,60,0.06641414171,-0.112848582,-0.03353531132,-0.02512343989,-0.1261309855,0.03950193216,0.07799609653,0.05535711054,66.63033999,0.03640923075,70.31883357,70.31883357,0,160000,2800000,806109.7765,85
Bushwick,One_Family,BROOKLYN,83,0.100924902,-0.03563333552,0.01181322202,0.1978106955,-0.00932107519,0.02918874556,0.002241223239,0.05905951208,67.37607165,0.09910832194,80.99765997,80.99765997,0,585000,1220000,913130.7692,13
Glen Oaks,One_Family,QUEENS,105,-0.1375863226,-0.05300122629,-0.02272727273,0.08395773989,-0.0514101331,0.04347826087,-0.1874334364,-0.05169529547,45.06801961,0.0640735881,75.03059037,75.03059037,0,270000,1132000,619703.7037,27
Gramercy,Coops-Elevator,MANHATTAN,13,0.2595132655,-0.06703331144,0.0173122345,-0.9129678329,-0.08380938502,0.03694277974,0.4915929204,0.1412190215,83.92450555,-0.3764570144,0,0,0,321500,1.29E+07,1075797.378,246
Norwood,Coops-Walkup,BRONX,52,0.119617741,-0.006578378845,0.04471726666,-0.1241532614,-0.05481868598,0.03010724332,0.1710746348,0.06698081377,68.97156727,-0.031896551,58.68508303,58.68508303,0,110000,110000,110000,1
South Ozone Park,One_Family,QUEENS,106,0.05159009684,-0.05380434783,-0.002406718133,0.0611822483,-0.01159383361,0.02430630243,0.02166162618,0.03875516839,63.28640398,0.03708673743,70.43422561,70.43422561,0,136000,1175000,477380.7457,232
Upper East Side,Coops-Elevator,MANHATTAN,19,-0.1017657683,0.07065973678,-0.004753820034,0.06241361407,0.07799930652,0.007631017843,-0.1372558935,-0.06818097175,41.74750168,0.006594088838,65.24075797,65.24075797,0,121806,5.50E+07,1854023.699,1560
Coney Island,Coops-Elevator,BROOKLYN,60,0.2224319865,-0.112848582,0.006024096386,-0.2008475419,-0.1261309855,0.04347826087,0.2933922058,0.1354549926,82.76352428,-0.04167253299,57.02005069,57.02005069,0,205000,560000,359473.1613,93
Rossville,Condos-Walkup,STATEN ISLAND,123,0.1540380271,-0.08360121338,0.08333333333,0.08226553377,-0.05428951547,0.08695652174,0.1177485853,0.1152308095,-1,-1,-1,-1,0,-1,-1,-1,null
SoHo,Condos-Walkup,MANHATTAN,1,0.4957060822,-0.001459987225,-0.009900990099,-0.1737886957,0.07452762329,-0.0198019802,0.5360230562,0.2210304856,100,-0.1055136951,46.14670828,46.14670828,0,995000,1450000,1222500,2
Woodhaven,Three_Family,QUEENS,102,0.1516661287,-0.1037101775,-0.02083333333,0.1056194071,-0.01849491009,0.01619433198,0.1043680721,0.09415447782,74.44484219,0.05712578922,73.84725044,73.84725044,0,350000,1100000,725187.5,16
Country Club,Condos-Walkup,BRONX,45,0.1758109371,-0.04420403653,-0.07446808511,-0.08606778486,-0.01116504854,-0.02,0.2098156456,0.07375911136,-1,-1,-1,-1,0,-1,-1,-1,null
Flushing Meadows Corona Park,Three_Family,QUEENS,110,0,-0.1103019787,0,0,-0.05773634548,0.08,0,0.03309059362,62.1454546,0.03732090364,70.47410849,70.47410849,0,700000,700000,700000,1
Howard Beach,Condos-Elevator,QUEENS,106,0.09541740726,-0.05380434783,0.01063829787,0.1482340728,-0.01159383361,0.04895104895,0.023005468,0.06173871208,67.91571172,0.08242124506,78.15553907,78.15553907,0,105000,415889,244462.878,41
Morris Park,Coops-Elevator,BRONX,49,0.09956373251,-0.005552873008,-0.05434782609,0.1236843684,0.01740845262,-0.02083333333,0.04020810535,0.03288258501,62.10355785,0.04522709668,71.82068084,71.82068084,0,115000,245000,167787.8571,14
Norwood,One_Family,BRONX,52,0.119617741,-0.006578378845,0.04471726666,-0.1241532614,-0.05481868598,0.03010724332,0.1710746348,0.06698081377,68.97156727,-0.031896551,58.68508303,58.68508303,0,210000,540000,387791.05,20
Parkchester,Two_Family,BRONX,43,0.1349344427,-0.08168790457,-0.02517247454,0.1115272615,-0.02424646445,0.04981271911,0.08384639114,0.07893375195,71.37910851,0.0699143868,76.02538749,76.02538749,0,200000,1272812,511815.6522,23
Tottenville,One_Family,STATEN ISLAND,123,0.1834368366,-0.08360121338,0.02960526316,0.05152110224,-0.05428951547,0.05921052632,0.1618455151,0.1150282563,78.64920448,0.05427398223,73.36153444,73.36153444,0,111300,1.19E+07,710891.41,100
Bay Ridge,Coops-Walkup,BROOKLYN,68,0.1540417369,0.005630113062,-0.01104724268,0.1264402038,0.04791013466,0.005139110402,0.09695087943,0.06486793699,68.54599508,0.04380982891,71.57929367,71.57929367,0,115000,650000,326528.7586,29
Bedford-Stuyvesant,Coops-Elevator,BROOKLYN,79,0,-0.02290855815,0.01765543789,0.1044849227,-0.01058801286,-0.00223915656,0,0.01128642692,-1,-1,-1,-1,0,-1,-1,-1,null
Bloomfield,Two_Family,STATEN ISLAND,121,0,-0.09269450241,-0.03618618619,0,-0.04809539468,0.06856982928,0,0.01876180418,-1,-1,-1,-1,0,-1,-1,-1,null
Civic Center,Condos-Elevator,MANHATTAN,5,0,-0.03911735206,0.09645479053,0,0.0128784765,0.09108981821,0,0.03584890325,62.70102881,0.0189089116,67.33820232,67.33820232,0,175000,4.79E+07,7218374.69,145
Concourse,Condos-Elevator,BRONX,44,0.0737093152,-0.06715625229,0.02907933721,-0.128059528,-0.04108725349,0.01858694435,0.1294504006,0.06058590183,-1,-1,-1,-1,0,-1,-1,-1,null
Huguenot,Three_Family,STATEN ISLAND,123,0.09137035118,-0.08360121338,-0.006993006993,0.1228076213,-0.05428951547,0.04081632653,0.03192697871,0.0644487703,-1,-1,-1,-1,0,-1,-1,-1,null
Kew Gardens,Coops-Elevator,QUEENS,102,0.1582567277,-0.1037101775,0.03846153846,0.03664107792,-0.01849491009,-0.0202020202,0.1425477401,0.1119439653,78.02797165,0.01698645304,67.01077172,67.01077172,0,110000,570000,259116.6714,140
Bay Terrace,Condos-Walkup,STATEN ISLAND,122,0.1670795679,-0.04834150702,-0.01960784314,0.08283759992,0.008673106486,0,0.1310903739,0.08478629686,-1,-1,-1,-1,0,-1,-1,-1,null
Bay Ridge,One_Family,BROOKLYN,68,0.1540417369,0.005630113062,-0.01104724268,0.1264402038,0.04791013466,0.005139110402,0.09695087943,0.06486793699,68.54599508,0.04380982891,71.57929367,71.57929367,0,210000,3527000,1175226.754,118
Brownsville,Three_Family,BROOKLYN,73,0.1686561308,-0.1185349213,0.05032091199,0.1290669099,-0.05114247459,0.01063734325,0.1113056115,0.1240359632,80.46352207,0.07608218766,77.07587919,77.07587919,0,575000,770000,676071.4286,7
Co-op City,Two_Family,BRONX,45,0,-0.04420403653,-0.01792114695,0,-0.01116504854,-0.007067137809,-0.303030303,0.00878092422,-1,-1,-1,-1,0,-1,-1,-1,null
Mill Basin,Coops-Walkup,BROOKLYN,63,0.02204563953,-0.08564491114,0.00182748538,0.1327815549,-0.01484015572,0.09154437456,-0.04749860741,0.03607088247,-1,-1,-1,-1,0,-1,-1,-1,null
Pelham Gardens,Coops-Elevator,BRONX,49,0.09887051507,-0.005552873008,-0.02574975418,0.008069340436,0.01740845262,0.06615687638,0.09522002626,0.03972015514,-1,-1,-1,-1,0,-1,-1,-1,null
Emerson Hill,Condos-Walkup,STATEN ISLAND,122,-0.6602086353,-0.04834150702,0.02857142857,-0.3852529943,0.008673106486,0.1111111111,-0.3920608331,-0.2754485766,-1,-1,-1,-1,0,-1,-1,-1,null
Kensington,Coops-Elevator,BROOKLYN,66,0.2112510426,-0.09430724152,0.02870660629,-0.00662025875,-0.03806974689,0.07849554981,0.21385329,0.1305317932,81.77190151,0.02806569508,68.89777359,68.89777359,0,185000,1025000,512179.5763,59
Mott Haven,Three_Family,BRONX,40,0.140741481,-0.1402715324,0.05064986865,0.06893115659,-0.03755912156,0.09366857946,0.1100695121,0.1180775933,79.26339696,0.0657039018,75.30826325,75.30826325,0,381000,705000,589782.4545,11
Bellerose,Coops-Walkup,QUEENS,105,0.09038768336,-0.05300122629,-0.0101010101,0.01899679544,-0.0514101331,0.0198019802,0.08166497202,0.05404957287,-1,-1,-1,-1,0,-1,-1,-1,null
Boerum Hill,One_Family,BROOKLYN,84,0.08195385059,0.02342607596,0.01251706873,0.08334674721,0.02594367885,0.03665158371,0.04203209624,0.03298067716,62.12331541,0.03888582852,70.74064443,70.74064443,0,2100000,4950000,3712493.727,11
Little Neck,Condos-Elevator,QUEENS,111,0.08998169487,-0.09922647185,0.04,0.06972320828,0.03992337165,0.04081632653,0.0571110744,0.08025970425,-1,-1,-1,-1,0,-1,-1,-1,null
Rosedale,Three_Family,QUEENS,105,0.09028119129,-0.05300122629,0.0206185567,-0.01232410769,-0.0514101331,0.0412371134,0.09585259628,0.06168154314,67.90419685,0.02018646982,67.55579435,67.55579435,0,450000,750000,549750,4
Schuylerville,Two_Family,BRONX,45,0.1001947103,-0.04420403653,-0.006355932203,-0.003478776492,-0.01116504854,-0.01271186441,0.1017571034,0.05675984752,66.91287698,-0.00139390096,63.8802541,63.8802541,0,162240,900000,545249.1408,71
Tremont,One_Family,BRONX,48,0.2130389634,-0.06928387142,-0.005102040816,0.02377241676,-0.04227152865,-0.006481481481,0.2035724597,0.1153771847,78.71948508,0.02175867576,67.82357039,67.82357039,0,175500,900000,476687.5,8
Arrochar,Condos-Elevator,STATEN ISLAND,122,0.03199005569,-0.04834150702,0.05769230769,0.1848611489,0.008673106486,-0.04166666667,-0.06659602784,0.04332105409,-1,-1,-1,-1,0,-1,-1,-1,null
Cobble Hill,One_Family,BROOKLYN,76,0.07689580057,-0.01335579353,0.05741469816,-0.2274137189,0.04450292171,0.1041666667,0.1711425753,0.05296352286,66.14822748,-0.08964538336,48.84937818,48.84937818,0,1490000,5581000,2534200,5
Jamaica Hills,Coops-Walkup,QUEENS,103,0.1900804734,-0.2441680086,0.02846054334,0.09619070442,-0.1401270648,0.04427083333,0.1491589746,0.1659017514,-1,-1,-1,-1,0,-1,-1,-1,null
Sheepshead Bay,One_Family,BROOKLYN,61,0.1349071908,0.01230195155,-0.002032520325,0.04743184332,-0.09159095711,0.04365079365,0.1138923308,0.05650952032,66.86245648,0.05973431504,74.29153111,74.29153111,0,135000,1320000,641150.3506,77
Soundview,Three_Family,BRONX,43,0.08308250117,-0.08168790457,0.007125890736,0.07300686865,-0.02424646445,0.03755868545,0.04834378087,0.06367496958,68.30570954,0.04951670159,72.55128069,72.55128069,0,150000,944809,521921.9016,61
Sunset Park,One_Family,BROOKLYN,72,0.1431848243,0.01480104502,-0.0203998368,0.01944770195,-0.02067103582,0.01460665238,0.1347714711,0.05489289824,66.53683911,0.01860443972,67.28634507,67.28634507,0,495000,2800000,1384499.833,18
University Heights,Coops-Elevator,BRONX,52,0.07890483173,-0.006578378845,0.00956937799,0.1086009292,-0.05481868598,0.01597444089,0.02601710818,0.03987303243,63.51156232,0.06930963417,75.92238682,75.92238682,0,102000,255000,163155.3529,34
West Brighton,Two_Family,STATEN ISLAND,120,0.1857811918,-0.007894660392,0.04697986577,-0.05784992447,0.04688049766,0.08108108108,0.2086703715,0.09771490088,75.16197678,-0.01982634504,60.74086457,60.74086457,0,115000,1500000,519218.6349,63
Bull's Head,One_Family,STATEN ISLAND,121,0.2270616224,-0.09269450241,-0.02105263158,0.2201235139,-0.04809539468,0,0.1314696457,0.1247229229,80.60188837,0.1134841996,83.44614047,83.44614047,0,150000,895000,449686.9027,113
East Village,Condos-Elevator,MANHATTAN,9,-0.6389571429,-0.1020739933,0.007013292208,0.451769183,2.38E-04,0.01402658442,-1.1172,-0.2551551932,4.087460059,0.2067313224,99.32786726,99.32786726,0,730000,4200000,1967130.111,54
Longwood,Coops-Walkup,BRONX,41,0.314701061,-0.1590577029,0.03026397441,0.1052421943,0.007973519436,0.0456950457,0.2766369011,0.1968987819,95.13943174,0.05639069302,73.72204983,73.72204983,0,110000,140000,125000,3
Lower East Side,Coops-Walkup,MANHATTAN,7,0,-0.00272629499,-0.0233688728,0,0.01897514454,0.04075999743,0,-0.005024329702,54.46840914,0.004497455997,64.88366224,64.88366224,0,250000,2150000,737058.8235,17
Ozone Park,Three_Family,QUEENS,106,0.1379228864,-0.05380434783,0.01569506726,0.01881273008,-0.01159383361,0.02696629213,0.1297368738,0.08213037005,72.02296609,0.01868545165,67.30014292,67.30014292,0,250000,1200000,780486.8421,19
Westerleigh,Condos-Walkup,STATEN ISLAND,121,0.1236206163,-0.09269450241,-0.01,0.05752361578,-0.04809539468,0.01960784314,0.09766791416,0.08093762804,-1,-1,-1,-1,0,-1,-1,-1,null
Arden Heights,Condos-Elevator,STATEN ISLAND,123,0.1443511464,-0.08360121338,-0.06692913386,0.07416161013,-0.05428951547,0.007352941176,0.111401187,0.07330609643,-1,-1,-1,-1,0,-1,-1,-1,null
Corona,Coops-Elevator,QUEENS,110,0.1267818195,-0.1103019787,-0.001393068093,0.1240372002,-0.05773634548,0.03273125342,0.06904531312,0.08979414539,73.56659118,0.08132045708,77.96805432,77.96805432,0,103000,355000,191427.6316,76
Douglaston,Two_Family,QUEENS,111,0.1065284223,-0.09922647185,-0.02397260274,0.09540481913,0.03992337165,0.006666666667,0.06177272032,0.0717125809,69.92463205,0.03262182378,69.67376741,69.67376741,0,663000,1850000,1149698.182,11
East Harlem,Three_Family,MANHATTAN,23,-0.5066003121,-0.06519871475,-0.0335728099,-0.8074417663,0.008816727693,-0.01916357576,-0.07329051678,-0.2168037285,11.81214931,-0.3707847071,0.9660998821,0.9660998821,0,190333,2500000,1606666.6,5
Far Rockaway,Coops-Elevator,QUEENS,101,0.05801359521,-0.06548924691,0.01000517166,0.02692166038,0.009584589299,0.01701262999,0.04516066506,0.04825418483,65.19968032,0.01349252788,66.415691,66.415691,0,105000,165000,132666.6667,3
Glendale,Coops-Elevator,QUEENS,104,0.1272623475,0.005564017561,0.05890337686,0.06079665262,-0.02719634703,0.09430434072,0.09990083953,0.07032469533,69.64508642,0.05909348297,74.18238544,74.18238544,0,130000,419000,228681.8182,44
Marine Park,Coops-Walkup,BROOKLYN,63,0.2219258161,-0.08564491114,-0.02894736842,0.2076844781,-0.01484015572,0.0152284264,0.1317665061,0.1183232485,79.31287642,0.1017171684,81.44199526,81.44199526,0,150000,240000,195000,2
Midland Beach,One_Family,STATEN ISLAND,122,-0.06040889209,-0.04834150702,-0.02127659574,-0.1054282887,0.008673106486,0,-0.007309437016,-0.01800069827,51.85473022,-0.05004466186,55.59412076,55.59412076,0,100700,689000,438637.3595,153
Oakwood,Three_Family,STATEN ISLAND,122,0.06572713128,-0.04834150702,-0.03191489362,0.1538944285,0.008673106486,0.02040816327,-0.01215540774,0.03610093778,-1,-1,-1,-1,0,-1,-1,-1,null
Wakefield,Coops-Elevator,BRONX,47,0.1152188286,0.02221669155,-0.003597122302,0.03023582488,0.07898425531,-0.007194244604,0.1016374624,0.04428418483,-1,-1,-1,-1,0,-1,-1,-1,null
East Elmhurst,Three_Family,QUEENS,115,0.1755877908,0.01498870714,-0.04071901422,0.1250959633,0.00299716934,0.03480924534,0.1205819678,0.06433814016,68.43928427,0.06409634402,75.03446613,75.03446613,0,475000,1325000,882308.7647,17
Flatbush,Coops-Elevator,BROOKLYN,70,0.1174837554,-0.04920125806,0.002389937107,0.0213326385,-0.05054393305,0.0460704607,0.1079690687,0.06822555164,69.22228033,0.03628048242,70.29690532,70.29690532,0,150000,1350000,448854.6379,116
