Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Richmondtown,Three_Family,STATEN ISLAND,121,0.1063636900694724,-0.09269450240992776,-0.019999999999999928,0.11710627170883177,-0.048095394679912015,0.0,0.05078412392232809,0.06930509248828647,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Sea Gate,Two_Family,BROOKLYN,60,0.29598152567589825,-0.11284858199304187,-0.06521739130434799,0.22432676942328342,-0.1261309855233854,0.040000000000000036,0.2070405047493504,0.13242861895769414,86.45445580124333,0.13896676350750337,92.88458619277084,77.91046055602206,350000.0,900000.0,612050.0,20
Woodhaven,Condo_Elevator,QUEENS,102,0.15166612866709187,-0.10371017749755511,-0.02083333333333326,0.10561940710937541,-0.01849491009418701,0.016194331983805686,0.10436807205838151,0.08935888269917089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Bronx Park,Two_Family,BRONX,52,0.0,-0.006578378845489072,-0.03518566888685742,0.0,-0.054818685983307296,0.0499220928325406,0.0,-0.006165065683518725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Civic Center,Three_Family,MANHATTAN,5,0.0,-0.03911735205616833,0.09645479052576272,0.0,0.012878476503630552,0.09108981821438172,0.0,0.03976063845390801,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Downtown Brooklyn,Coop_Walkup,BROOKLYN,84,0.01839575279966825,0.02342607595937262,0.02335833127890351,0.03980683716396773,0.025943678849610654,0.049377640213035444,-0.0015382828701783493,0.0029076659158607156,53.22915453077362,0.015899331520803306,66.29384212088956,65.63892124924782,576330.0,1250000.0,808776.6666666666,3
Eltingville,Three_Family,STATEN ISLAND,122,0.10460351755835272,-0.04834150701809471,-0.021978021978022098,0.11016797593403749,0.008673106486473918,0.062499999999999965,0.05240627628353234,0.05045332845815582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Flushing Meadows Corona Park,Condo_Elevator,QUEENS,110,0.0,-0.11030197872303142,0.0,0.0,-0.057736345476101535,0.08000000000000007,0.0,0.04412079148921257,63.80133209211419,0.04309453819044064,72.16981408894358,65.72942469363818,390000.0,509804.0,449902.0,2
Little Italy,Two_Family,MANHATTAN,5,0.0,-0.03911735205616833,0.009615384615384581,0.0,0.012878476503630552,-0.01960784313725501,-0.36812411847672777,0.018050786976313477,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Pleasant Plains,One_Family,STATEN ISLAND,123,0.058362771581203454,-0.08360121338343847,0.1304347826086956,0.040429640275491015,-0.05428951547143899,0.26086956521739124,0.038935015784604,0.0864761510589705,74.6665206895896,0.10108357158934526,84.69929911348437,68.02013019664547,310000.0,1670000.0,657320.0,24
