DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Incoming ELA Proficiency (Based on 4th Grade),Average Incoming Math Proficiency (Based on 4th Grade),Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
17K398,P.S. 398 Walter Weaver,Elementary,302,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.91,0.95,0.9,0.94,0.92,0.97,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,42705,,,0.113,0.308,0.152,0.858,0.417,0.705,0.017,0.745,0.123,0.013,4.8,0.833,0.903,0.4,0.972
17K399,P.S. 399 Stanley Eugene Clark,Elementary,470,,,,,,,Not Meeting Target,0.83,0.66,0.69,0.56,0.91,0.78,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42514,,,0.083,0.111,0.015,0.735,0.249,0.589,0.021,0.757,0.113,0.021,14.9,0.885,0.918,0.309,0.938
17K484,Ronald Edmonds Learning Center II,Middle,144,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.97,0.97,0.97,0.97,0.98,0.99,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42675,2.45,2.23,0.063,0.25,0.09,0.866,0.271,0.681,0.007,0.785,0.146,0.014,4.6,0.769,0.919,0.267,0.97
17K531,"School for Human Rights, The",Middle,79,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.89,0.96,0.75,0.94,0.83,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,41983,2.51,2.38,0.038,0.177,0,0.648,0.076,0.519,0.025,0.937,0.038,0,10,0.909,0.953,0.123,0.971
17K532,New Bridges Elementary,Elementary,403,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.78,0.88,0.83,0.94,0.95,0.97,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42040,,,0.127,0.256,0.002,0.818,0.27,0.618,0.007,0.715,0.213,0.045,4,0.395,0.923,0.251,0.977
17K533,School for Democracy and Leadership,Middle,34,,,,,,,,0.65,0.53,0.64,0.58,0.79,0.74,Well Developed,Developing,Proficient,Proficient,Proficient,,,,,,42426,2.18,2.07,0.059,0.441,0.088,0.644,0.206,0.471,0,0.882,0.118,0,5.8,0.84,0.89,0.324,0.958
17K543,"Science, Technology and Research Early College Hig",Middle,209,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.9,0.92,0.78,0.95,0.97,0.92,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42011,3.24,3.35,0.01,0.163,0,0.514,0.091,0.306,0.033,0.775,0.177,0.01,9,0.871,0.961,0.097,0.985
17K590,Medgar Evers College Preparatory School,Middle,307,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.81,0.83,0.58,0.91,0.93,0.88,Well Developed,Well Developed,Proficient,Well Developed,Proficient,,,,,,42142,3.89,3.94,0,0.01,0,0.44,0.055,0.274,0.036,0.87,0.039,0.003,15.9,0.852,0.965,0.062,0.968
17K705,Brooklyn Arts and Science Elementary School,Elementary,325,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Not Meeting Target,0.74,0.75,0.76,0.85,0.94,0.88,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42038,,,0.123,0.311,0.114,0.587,0.102,0.409,0.049,0.498,0.302,0.138,5,0.655,0.929,0.229,0.974
17K722,New Heights Middle School,Middle,250,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.81,0.77,0.75,0.86,0.88,0.9,Proficient,Developing,Proficient,Proficient,Proficient,,,,,,42059,2.4,2.24,0.052,0.284,0.08,0.759,0.288,0.624,0.008,0.808,0.124,0.012,0.8,0.75,0.907,0.331,0.959
