DBN,Weight_2015,Weight_2016,Weight_2017,Variance,Latitude,Longitude,Coordinates
07X500,1.95,2.5,2.5,0.10999999999999996,40.814857,-73.912038,"[40.814857,-73.912038]"
07X500,2.3,2.4,2.45,0.04081632653061246,40.814857,-73.912038,"[40.814857,-73.912038]"
14K034,2.45,2.45,2.45,0.0,40.726378,-73.949756,"[40.726378,-73.949756]"
84X704,2.111111111111111,2.4375,2.357142857142857,0.035143097643097754,40.822574,-73.92114,"[40.822574,-73.92114]"
31R069,2.5,2.6,2.3,-0.10869565217391305,40.59148,-74.157327,"[40.59148,-74.157327]"
24Q058,2.05,2.2,2.35,0.09574468085106387,40.728517,-73.890638,"[40.728517,-73.890638]"
21K348,2.5,2.55,2.45,-0.030612244897959072,40.593028,-73.986313,"[40.593028,-73.986313]"
18K633,2.45,2.4,2.35,-0.03191489361702116,40.640543,-73.898601,"[40.640543,-73.898601]"
03M256,2.35,2.5,2.5,0.030000000000000072,40.791395,-73.971011,"[40.791395,-73.971011]"
15K684,2.3,2.4,2.5,0.060000000000000143,40.669255,-73.97858,"[40.669255,-73.97858]"
06M293,2.1,2.25,2.35,0.07446808510638309,40.860951,-73.930082,"[40.860951,-73.930082]"
29Q295,2.1,2.3,2.25,0.022222222222222143,40.720617,-73.731398,"[40.720617,-73.731398]"
15K429,2.05,2.4,2.45,0.09183673469387776,40.685006,-73.993293,"[40.685006,-73.993293]"
09X231,2.4,2.2,2.2,-0.04545454545454529,40.845366,-73.897479,"[40.845366,-73.897479]"
15K464,2.8,2.6,2.4,-0.1250000000000001,40.669255,-73.97858,"[40.669255,-73.97858]"
29Q176,2.55,2.55,2.4,-0.062499999999999965,40.684987,-73.729226,"[40.684987,-73.729226]"
24Q077,2.45,2.55,2.5,0.0,40.699101,-73.902147,"[40.699101,-73.902147]"
28Q099,2.55,2.55,2.6,0.019230769230769332,40.711502,-73.827722,"[40.711502,-73.827722]"
07X221,2.75,2.65,2.85,0.05263157894736839,40.813612,-73.920851,"[40.813612,-73.920851]"
08X559,2.1538461538461537,2.45,2.3,-8.361204013379828E-4,40.821723,-73.902892,"[40.821723,-73.902892]"
03M860,2.2,2.35,2.3,0.010869565217391073,40.80261,-73.954152,"[40.80261,-73.954152]"
14K632,2.3,2.55,2.3076923076923075,-0.05083333333333335,40.721448,-73.953328,"[40.721448,-73.953328]"
05M362,2.5,2.6,2.5,-0.019999999999999928,40.810793,-73.955722,"[40.810793,-73.955722]"
12X316,2.75,2.75,2.45,-0.12244897959183665,40.846128,-73.886721,"[40.846128,-73.886721]"
84K357,1.9444444444444444,2.125,2.0625,0.01346801346801342,40.67229,-73.937601,"[40.67229,-73.937601]"
84M481,2.0555555555555554,2.25,2.0,-0.07638888888888884,40.814598,-73.945,"[40.814598,-73.945]"
03M492,2.6,2.5,2.6,0.019230769230769332,40.774891,-73.985608,"[40.774891,-73.985608]"
06M143,2.2,2.35,2.35,0.03191489361702116,40.849311,-73.930991,"[40.849311,-73.930991]"
10X434,2.35,2.45,2.5,0.039999999999999855,40.859466,-73.888625,"[40.859466,-73.888625]"
02M413,2.55,2.5,2.55,0.009803921568627416,40.739121,-73.985323,"[40.739121,-73.985323]"
18K285,2.3,2.5,2.5,0.040000000000000036,40.647818,-73.920784,"[40.647818,-73.920784]"
29Q095,2.75,2.65,2.8,0.03571428571428559,40.711295,-73.783283,"[40.711295,-73.783283]"
17K353,2.3,2.4,2.55,0.07843137254901968,40.674685,-73.961418,"[40.674685,-73.961418]"
21K690,1.8,2.1333333333333333,2.35,0.1631205673758865,40.60498,-73.995084,"[40.60498,-73.995084]"
10X437,2.55,2.65,2.65,0.018867924528301987,40.859466,-73.888625,"[40.859466,-73.888625]"
