DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
13K605,George Westinghouse Career and Technical Education,High School,690,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.75,0.81,0.64,0.86,0.81,0.87,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42082,2.637,2.307,0.02,0.206,0.035,0.664,0.054,0.096,0.484,0.041,0.709,0.213,0.023,8.9,0.714,0.878,0.416,0.972
13K670,Benjamin Banneker Academy,High School,896,Approaching Target,Approaching Target,Approaching Target,Approaching Target,,,Approaching Target,0.8,0.76,0.63,0.8,0.85,0.85,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,42795,3.333,3.021,0.006,0.132,0.011,0.558,0.027,0.055,0.369,0.036,0.829,0.098,0.007,1,0.933,0.88,0.41,0.968
13K674,"City Polytechnic High School of Engineering, Archi",High School,449,Approaching Target,Meeting Target,,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.82,0.88,0.82,0.95,0.81,0.94,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,42705,2.949,2.765,0.016,0.185,0.004,0.559,0.027,0.06,0.39,0.062,0.713,0.174,0.029,0.9,0.6,0.893,0.273,0.96
14K071,Juan Morel Campos Secondary School,High School,374,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.79,0.86,0.71,0.91,0.87,0.89,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42856,2.278,2.014,0.241,0.27,0.024,0.835,0.053,0.158,0.618,0.008,0.144,0.797,0.037,0.7,0.806,0.865,0.426,0.957
14K449,"Brooklyn Latin School, The",High School,724,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,0.91,0.88,0.8,0.9,0.79,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,41988,3.916,4.046,0,0.03,0,0.404,0.008,0.026,0.217,0.459,0.145,0.135,0.134,4,0.682,0.933,0.238,0.972
14K454,Green School: An Academy for Environmental Careers,High School,244,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.77,0.82,0.71,0.89,0.91,0.9,Well Developed,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,42675,2.409,2.111,0.336,0.23,0.012,0.813,0.123,0.197,0.492,0.008,0.299,0.664,0.016,5.4,0.792,0.845,0.513,0.971
14K474,PROGRESS High School for Professional Careers,High School,886,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.84,0.95,0.72,0.97,0.95,0.93,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42114,2.493,2.164,0.146,0.207,0.035,0.764,0.115,0.114,0.563,0.003,0.368,0.599,0.014,20,0.686,0.841,0.428,0.954
14K477,School for Legal Studies,High School,432,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.79,0.93,0.69,0.93,0.83,0.91,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,42795,2.486,2.142,0.243,0.192,0.002,0.828,0.167,0.178,0.581,0.007,0.435,0.532,0.012,3.3,0.9,0.774,0.61,0.964
14K478,"The High School for Enterprise, Business and Techn",High School,934,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.66,0.71,0.62,0.7,0.83,0.79,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42094,2.589,2.363,0.095,0.202,0.005,0.716,0.091,0.101,0.514,0.032,0.348,0.582,0.021,6.8,0.789,0.852,0.392,0.958
14K488,Brooklyn Preparatory High School,High School,526,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.83,0.92,0.73,0.92,0.8,0.89,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,42129,2.859,2.459,0.021,0.165,0.008,0.647,0.055,0.068,0.481,0.021,0.506,0.441,0.013,6.9,0.667,0.859,0.418,0.966
14K558,Williamsburg High School for Architecture and Desi,High School,565,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.93,0.92,0.96,0.92,0.88,0.95,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42016,2.736,2.474,0.025,0.253,0.005,0.646,0.027,0.097,0.457,0.025,0.313,0.596,0.051,8.5,0.8,0.911,0.256,0.977
14K561,Williamsburg Preparatory School,High School,686,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.77,0.87,0.72,0.89,0.81,0.92,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42061,2.855,2.545,0.034,0.179,0.003,0.673,0.045,0.06,0.496,0.025,0.169,0.706,0.093,6.6,0.909,0.9,0.305,0.963
14K586,Lyons Community School,High School,347,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.77,0.89,0.72,0.88,0.85,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42354,2.446,2.032,0.133,0.222,0.003,0.815,0.049,0.167,0.622,0.014,0.346,0.611,0.026,10,0.809,0.807,0.589,0.977
14K610,Automotive High School,High School,337,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.76,0.84,0.7,0.87,0.84,0.89,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,42826,2.37,2.106,0.104,0.318,0.089,0.72,0.139,0.142,0.558,0.036,0.49,0.421,0.03,0.9,0.444,0.805,0.509,0.966
14K614,Young Women's Leadership School of Brooklyn,High School,238,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.87,0.87,0.73,0.93,0.92,0.88,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42348,2.857,2.459,0.067,0.16,0.004,0.702,0.076,0.105,0.525,0.038,0.542,0.307,0.071,0.8,0.75,0.884,0.34,0.982
14K632,Frances Perkins Academy,High School,114,,,,,,,,0.69,0.52,0.67,0.67,0.74,0.72,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42346,2.427,2.102,0.026,0.316,0.009,0.785,0.132,0.158,0.623,0.009,0.667,0.263,0.035,0.9,0.692,0.853,0.431,0.965
14K685,El Puente Academy for Peace and Justice,High School,242,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.87,0.9,0.83,0.93,0.87,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42115,2.475,2.102,0.157,0.252,0.004,0.786,0.087,0.112,0.579,0.004,0.095,0.855,0.012,6,0.688,0.818,0.502,0.987
15K429,Digital Arts and Cinema Technology High School,High School,161,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.79,0.81,0.67,0.84,0.82,0.79,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,42705,2.663,2.268,0.031,0.248,0.006,0.765,0.043,0.075,0.609,0.037,0.59,0.342,0.031,3.8,0.85,0.891,0.448,0.959
15K448,Brooklyn Secondary School for Collaborative Studie,High School,405,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,0.81,0.89,0.71,0.9,0.91,0.93,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42382,2.737,2.265,0.057,0.299,0,0.608,0.037,0.081,0.422,0.032,0.375,0.491,0.081,2.9,0.8,0.836,0.466,0.969
15K462,John Jay School for Law,High School,421,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.79,0.75,0.69,0.82,0.77,0.81,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42095,2.735,2.332,0.031,0.143,0,0.651,0.059,0.1,0.489,0.012,0.689,0.24,0.029,7,0.538,0.854,0.473,0.949
15K463,Secondary School for Journalism,High School,236,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,0.71,0.82,0.62,0.89,0.73,0.83,Developing,Developing,Developing,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Developing,42826,2.703,2.327,0.123,0.199,0,0.664,0.11,0.106,0.458,0.072,0.487,0.373,0.055,1.7,0.75,0.835,0.528,0.954
15K464,Park Slope Collegiate,High School,414,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.69,0.79,0.67,0.86,0.86,0.87,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42137,2.584,2.273,0.087,0.196,0.002,0.63,0.027,0.075,0.454,0.06,0.423,0.423,0.063,13,0.66,0.87,0.363,0.959
15K497,The Boerum Hill School for International Studies,High School,295,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.81,0.89,0.74,0.9,0.89,0.88,Well Developed,Proficient,Well Developed,Proficient,Well Developed,,,,,,42136,2.696,2.38,0.102,0.166,0.014,0.67,0.02,0.088,0.502,0.058,0.492,0.325,0.092,4.8,0.488,0.802,0.633,0.966
15K519,Cobble Hill School of American Studies,High School,598,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.73,0.77,0.67,0.78,0.86,0.83,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42430,2.673,2.26,0.082,0.211,0.003,0.697,0.12,0.119,0.513,0.033,0.63,0.268,0.028,6.8,0.629,0.803,0.508,0.956
15K592,Khalil Gibran International Academy,High School,268,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.7,0.68,0.84,0.85,0.89,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,42115,2.539,2.245,0.381,0.142,0,0.753,0.187,0.134,0.418,0.168,0.358,0.063,0.366,5.8,0.522,0.845,0.421,0.971
15K656,Brooklyn High School of the Arts,High School,866,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.81,0.86,0.67,0.9,0.83,0.88,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42795,3.024,2.577,0.013,0.143,0.042,0.57,0.023,0.067,0.395,0.027,0.691,0.219,0.023,9,0.707,0.92,0.211,0.969
15K667,Sunset Park High School,High School,1291,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.71,0.7,0.75,0.71,0.85,0.82,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42087,2.599,2.356,0.167,0.227,0.04,0.736,0.067,0.071,0.537,0.073,0.095,0.755,0.074,2.8,0.645,0.865,0.35,0.973
15K684,Millennium Brooklyn HS,High School,654,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.89,0.91,0.85,0.92,0.84,0.94,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42411,3.647,3.411,0.002,0.139,0.002,0.378,0.006,0.018,0.225,0.087,0.234,0.248,0.343,2,0.698,0.941,0.15,0.957
16K393,Frederick Douglass Academy IV Secondary School,High School,69,,,,,,,,0.74,0.87,0.73,0.83,0.89,0.85,Proficient,Developing,Proficient,Proficient,Developing,,,,,,42495,2.376,1.935,0,0.319,0,0.789,0.087,0.232,0.652,0,0.826,0.145,0,6.6,0.625,0.803,0.536,0.991
16K455,Boys and Girls High School,High School,396,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.81,0.89,0.72,0.91,0.83,0.87,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42856,2.415,2.091,0.051,0.29,0.083,0.773,0.121,0.144,0.586,0.018,0.836,0.104,0.023,1,0.821,0.847,0.443,0.972
16K498,Brooklyn High School for Law and Technology,High School,658,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.71,0.72,0.59,0.73,0.79,0.8,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,42675,2.683,2.306,0.032,0.233,0.032,0.73,0.112,0.106,0.568,0.027,0.666,0.267,0.02,1.9,0.658,0.852,0.386,0.959
16K594,Gotham Professional Arts Academy,High School,203,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.71,0.63,0.66,0.65,0.88,0.82,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42137,2.517,2.113,0.034,0.281,0,0.741,0.172,0.212,0.522,0,0.798,0.177,0.01,10,0.882,0.779,0.65,0.954
16K688,The Brooklyn Academy of Global Finance,High School,112,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,0.83,0.95,0.73,1,0.83,0.97,Proficient,Developing,Developing,Developing,Developing,Developing,Proficient,Developing,Proficient,Developing,42856,2.301,1.967,0.08,0.25,0,0.82,0.241,0.286,0.634,0.063,0.741,0.134,0.045,4.8,0.778,0.778,0.592,0.943
16K765,Nelson Mandela High School,High School,265,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,,0.73,0.78,0.64,0.84,0.85,0.85,Proficient,Developing,Developing,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Developing,42705,2.448,2.115,0.015,0.249,0.053,0.772,0.177,0.109,0.615,0.004,0.853,0.109,0.015,3,0.722,0.78,0.63,0.977
17K122,Pathways in Technology Early College High School (,High School,573,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.84,0.89,0.72,0.94,0.89,0.92,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42521,2.794,2.472,0.014,0.157,0,0.539,0.051,0.073,0.358,0.028,0.855,0.099,0.005,6,0.923,0.925,0.189,0.973
17K382,Academy for College Preparation and Career Explora,High School,259,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.8,0.8,0.68,0.82,0.79,0.84,Proficient,Developing,Proficient,Proficient,Developing,,,,,,42353,2.482,2.127,0.116,0.178,0.004,0.677,0.174,0.147,0.417,0.023,0.807,0.116,0.023,0.4,0.913,0.835,0.424,0.978
17K408,Academy of Hospitality and Tourism,High School,191,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,0.85,0.91,0.75,0.95,0.92,0.93,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42705,2.454,2.141,0.152,0.22,0,0.653,0.23,0.11,0.372,0.042,0.796,0.115,0.037,1.3,0.733,0.821,0.416,0.993
17K524,International High School at Prospect Heights,High School,420,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.84,0.91,0.83,0.92,0.86,0.94,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,,,,,,42108,1.878,1.956,0.888,0.057,0.005,0.903,0.252,0.24,0.338,0.179,0.221,0.474,0.117,7.4,0.724,0.883,0.314,0.97
17K528,The High School for Global Citizenship,High School,214,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.82,0.93,0.68,0.92,0.83,0.91,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42081,2.601,2.233,0.173,0.182,0,0.656,0.173,0.126,0.393,0.033,0.776,0.136,0.037,6.9,0.643,0.897,0.319,0.955
17K531,"School for Human Rights, The",High School,278,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.89,0.96,0.75,0.94,0.83,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,41983,2.571,2.206,0.054,0.191,0.004,0.614,0.09,0.108,0.406,0.007,0.878,0.086,0.014,10,0.909,0.92,0.215,0.971
17K533,School for Democracy and Leadership,High School,212,,,,,,,,0.65,0.53,0.64,0.58,0.79,0.74,Well Developed,Developing,Proficient,Proficient,Proficient,,,,,,42426,2.45,2.137,0.061,0.236,0.033,0.622,0.245,0.203,0.358,0.009,0.915,0.038,0.024,5.8,0.84,0.736,0.661,0.958
17K537,High School for Youth and Community Development at,High School,432,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.76,0.69,0.85,0.86,0.88,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42117,2.573,2.176,0.104,0.229,0,0.692,0.171,0.146,0.486,0.016,0.794,0.139,0.025,12.3,0.9,0.877,0.355,0.955
17K539,High School for Service & Learning at Erasmus,High School,362,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.68,0.73,0.64,0.85,0.84,0.81,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,42856,2.569,2.168,0.127,0.188,0.003,0.673,0.213,0.097,0.409,0.028,0.782,0.138,0.028,1,0.727,0.839,0.374,0.958
17K543,"Science, Technology and Research Early College Hig",High School,350,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.92,0.78,0.95,0.97,0.92,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42011,3.372,3.219,0.006,0.069,0,0.511,0.009,0.037,0.354,0.051,0.84,0.08,0.011,9,0.871,0.963,0.105,0.985
17K546,High School for Public Service: Heroes of Tomorrow,High School,460,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.83,0.87,0.71,0.93,0.81,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42018,3.131,2.769,0.022,0.146,0.026,0.619,0.041,0.065,0.428,0.046,0.754,0.172,0.011,4.4,0.931,0.934,0.157,0.962
17K547,Brooklyn Academy of Science and the Environment,High School,386,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.79,0.78,0.67,0.75,0.85,0.86,Well Developed,Proficient,Proficient,Proficient,Proficient,,,,,,42138,2.582,2.256,0.052,0.181,0.023,0.656,0.135,0.122,0.477,0.049,0.829,0.091,0.021,14,0.885,0.901,0.287,0.987
17K548,Brooklyn School for Music & Theatre,High School,312,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.76,0.89,0.62,0.93,0.88,0.92,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,42795,2.57,2.118,0.016,0.199,0.006,0.7,0.119,0.173,0.538,0.01,0.808,0.154,0.019,10,0.708,0.832,0.437,0.969
17K590,Medgar Evers College Preparatory School,High School,945,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.81,0.83,0.58,0.91,0.93,0.88,Well Developed,Well Developed,Proficient,Well Developed,Proficient,,,,,,42142,3.476,3.246,0.005,0.081,0,0.472,0.015,0.043,0.293,0.025,0.886,0.053,0.007,15.9,0.852,0.894,0.347,0.968
17K600,Clara Barton High School,High School,1244,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.73,0.75,0.58,0.78,0.77,0.78,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42705,2.723,2.302,0.086,0.184,0.084,0.6,0.045,0.101,0.396,0.01,0.881,0.068,0.007,10.4,0.846,0.886,0.315,0.967
17K745,Brooklyn Institute for Liberal Arts,High School,359,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.81,0.89,0.75,0.9,0.87,0.9,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42075,2.621,2.207,0.056,0.198,0,0.611,0.106,0.123,0.435,0.011,0.891,0.064,0.014,5,0.24,0.928,0.199,0.985
17K751,Academy for Health Careers,High School,399,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.76,0.83,0.62,0.84,0.82,0.86,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Proficient,42795,2.643,2.277,0.048,0.16,0.04,0.72,0.093,0.148,0.546,0.035,0.815,0.095,0.015,7,0.643,0.825,0.573,0.961
18K563,It Takes a Village Academy,High School,732,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.79,0.91,0.65,0.94,0.91,0.87,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42060,2.709,2.356,0.182,0.137,0.003,0.67,0.128,0.097,0.374,0.014,0.869,0.07,0.016,10,0.688,0.909,0.207,0.966
18K566,Brooklyn Generation School,High School,227,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.81,0.72,0.86,0.88,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,42856,2.531,2.126,0.057,0.211,0.004,0.605,0.145,0.123,0.419,0.013,0.872,0.079,0.009,5.8,0.957,0.905,0.237,0.973
18K567,Brooklyn Theatre Arts High School,High School,372,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.75,0.74,0.63,0.72,0.8,0.8,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42348,2.529,2.137,0.024,0.169,0.013,0.674,0.116,0.11,0.497,0.008,0.815,0.113,0.019,4.9,0.889,0.823,0.617,0.962
18K569,Kurt Hahn Expeditionary Learning School,High School,382,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.79,0.86,0.68,0.91,0.83,0.89,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42139,2.501,2.099,0.031,0.228,0.01,0.616,0.128,0.118,0.419,0.005,0.927,0.06,0.003,2.9,0.655,0.889,0.35,0.97
18K576,Victory Collegiate High School,High School,340,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.65,0.77,0.61,0.82,0.8,0.83,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42137,2.546,2.203,0.018,0.241,0.006,0.618,0.065,0.115,0.444,0.006,0.859,0.065,0.006,1.3,0.792,0.878,0.386,0.967
18K589,Arts & Media Preparatory Academy,High School,184,,,,,,,,0.74,0.77,0.61,0.82,0.74,0.86,Developing,Developing,Developing,Proficient,Proficient,,,,,,42124,2.54,2.095,0.125,0.201,0.016,0.724,0.158,0.12,0.554,0.027,0.793,0.114,0.06,3,0.6,0.814,0.526,0.961
18K617,High School for Innovation in Advertising and Medi,High School,282,Meeting Target,Meeting Target,Approaching Target,Meeting Target,,,Meeting Target,0.74,0.81,0.65,0.88,0.85,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,42644,2.521,2.185,0.082,0.17,0.021,0.594,0.113,0.074,0.387,0.011,0.848,0.11,0.021,9,0.714,0.864,0.456,0.98
18K629,Cultural Academy for the Arts and Sciences,High School,332,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.74,0.74,0.68,0.77,0.84,0.85,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,42856,2.506,2.181,0.09,0.214,0.003,0.559,0.133,0.102,0.34,0.012,0.87,0.087,0.015,0.8,0.769,0.865,0.337,0.969
18K633,High School for Medical Professions,High School,428,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.86,0.67,0.91,0.85,0.9,Well Developed,Proficient,Proficient,Proficient,Proficient,,,,,,42446,2.853,2.492,0.035,0.157,0.002,0.585,0.037,0.072,0.411,0.03,0.818,0.131,0.016,3.8,0.75,0.905,0.3,0.969
18K637,Academy for Conservation and the Environment,High School,284,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.82,0.92,0.71,0.97,0.97,0.94,Well Developed,Developing,Proficient,Well Developed,Proficient,,,,,,42353,2.534,2.22,0.113,0.19,0.007,0.659,0.211,0.127,0.419,0.053,0.782,0.088,0.067,5.8,0.45,0.822,0.53,0.974
18K642,Urban Action Academy,High School,310,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.75,0.86,0.65,0.86,0.81,0.86,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42795,2.417,2.097,0.119,0.223,0.052,0.607,0.213,0.094,0.4,0.013,0.79,0.113,0.065,4,0.5,0.805,0.554,0.988
19K404,Academy for Young Writers,High School,375,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.74,0.81,0.68,0.84,0.89,0.89,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,41976,2.884,2.296,0.011,0.208,0,0.653,0.04,0.069,0.483,0.011,0.712,0.243,0.011,0.8,0.58,0.879,0.442,0.975
19K409,East New York Family Academy,High School,286,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.82,0.88,0.72,0.87,0.89,0.88,Proficient,Developing,Developing,Proficient,Proficient,,,,,,42332,2.674,2.416,0.049,0.213,0.014,0.705,0.038,0.07,0.524,0.042,0.587,0.353,0.007,3.6,0.718,0.882,0.414,0.985
19K422,Spring Creek Community School,High School,173,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,,0.78,0.91,0.73,0.96,0.88,0.92,Proficient,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42027,2.619,2.305,0.035,0.254,0,0.658,0.029,0.069,0.445,0,0.74,0.22,0.012,5,0.441,0.917,0.297,0.968
