DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
10X237,"The Marie Curie School for Medicine, Nursing, and",High School,533,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.71,0.67,0.6,0.66,0.8,0.81,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,41995,2.543,2.188,0.126,0.205,0.019,0.765,0.124,0.15,0.597,0.032,0.325,0.587,0.032,13,0.794,0.82,0.531,0.952
10X243,West Bronx Academy for the Future,High School,333,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.78,0.86,0.67,0.9,0.79,0.88,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,42767,2.542,2.219,0.099,0.276,0.03,0.815,0.048,0.114,0.652,0.018,0.159,0.799,0.021,13,0.733,0.836,0.467,0.964
10X264,Bronx Academy for Software Engineering (BASE),High School,436,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,0.76,0.86,0.72,0.86,0.8,0.92,Proficient,Proficient,Proficient,Proficient,Well Developed,,,,,,42146,2.716,2.538,0.062,0.278,0.076,0.683,0.048,0.122,0.466,0.069,0.289,0.592,0.025,4,0.452,0.882,0.313,0.976
10X268,Kingsbridge International High School,High School,487,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.77,0.87,0.74,0.87,0.82,0.92,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,42795,1.866,1.895,0.877,0.043,0.002,0.95,0.216,0.437,0.478,0.064,0.033,0.862,0.037,0.4,0.833,0.871,0.397,0.96
10X284,Bronx School of Law and Finance,High School,394,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.78,0.82,0.58,0.88,0.82,0.87,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,42856,2.528,2.194,0.168,0.244,0.051,0.805,0.15,0.16,0.609,0.015,0.277,0.678,0.02,5,0.68,0.802,0.556,0.962
10X342,International School for Liberal Arts,High School,387,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.85,0.89,0.83,0.92,0.87,0.92,Proficient,Proficient,Developing,Proficient,Well Developed,,,,,,42081,2.171,2.146,0.664,0.07,0.003,0.906,0.09,0.349,0.522,0,0.003,0.995,0.003,5.3,0.732,0.914,0.199,0.972
10X351,Bronx Collaborative High School,High School,488,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.85,0.95,0.78,0.95,0.88,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,42644,2.583,2.277,0.201,0.217,0.006,0.802,0.164,0.184,0.557,0.02,0.309,0.607,0.035,4,0.571,0.802,0.555,0.998
10X353,World View High School,High School,449,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.86,0.96,0.75,0.98,0.86,0.93,Proficient,Proficient,Proficient,Proficient,Well Developed,,,,,,42011,2.601,2.312,0.316,0.18,0.022,0.802,0.125,0.183,0.535,0.009,0.238,0.717,0.013,3.3,0.323,0.887,0.344,0.989
10X368,In-Tech Academy (M.S. / High School 368),High School,486,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.73,0.77,0.69,0.83,0.82,0.85,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42433,2.807,2.346,0.101,0.202,0.019,0.694,0.006,0.111,0.521,0.029,0.101,0.807,0.051,2,0.828,0.905,0.263,0.966
10X374,Knowledge and Power Preparatory Academy Internatio,High School,473,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.83,0.87,0.82,0.91,0.86,0.92,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42116,2.707,2.412,0.133,0.254,0.008,0.776,0.101,0.131,0.567,0.03,0.294,0.632,0.023,9.9,0.5,0.878,0.361,0.984
10X433,High School for Teaching and the Professions,High School,462,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.83,0.85,0.71,0.88,0.86,0.87,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,42795,2.499,2.151,0.201,0.249,0.009,0.825,0.13,0.147,0.626,0.022,0.173,0.762,0.028,2.9,0.943,0.817,0.512,0.953
10X434,Belmont Preparatory High School,High School,412,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.83,0.87,0.73,0.9,0.83,0.91,Proficient,Proficient,Developing,Proficient,Developing,,,,,,42018,2.638,2.329,0.09,0.211,0.051,0.748,0.058,0.097,0.541,0.029,0.265,0.687,0.012,10,0.862,0.892,0.335,0.969
10X437,Fordham High School for the Arts,High School,375,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.87,0.76,0.84,0.81,0.87,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42444,2.864,2.473,0.027,0.187,0.003,0.747,0.04,0.125,0.563,0.013,0.349,0.592,0.019,13,0.241,0.909,0.261,0.962
10X438,Fordham Leadership Academy for Business and Techno,High School,349,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.7,0.76,0.6,0.78,0.86,0.84,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Developing,42795,2.35,2.091,0.201,0.287,0.037,0.819,0.123,0.163,0.628,0.02,0.261,0.685,0.032,2,0.484,0.902,0.276,0.96
