DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,,,,,,,,
02M393,BUSINESS OF SPORTS SCHOOL,High School,449,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.73,0.77,0.85,0.79,0.79,0.86,Well Developed,Proficient,Well Developed,Proficient,Proficient,42026,2.22,2.16,0.073,0.223,0,0.714,0.114,0.546,0.022,0.354,0.595,0.016,6,0.543,0.847,0.475,0.973,,,,,,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,High School,437,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.85,0.87,0.8,0.84,0.67,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,41759,2.44,2.4,0.121,0.174,0.002,0.703,0.13,0.533,0.311,0.204,0.403,0.057,1.9,0.483,0.869,0.382,0.978,,,,,,,,
02M400,High School for Environmental Studies,High School,1301,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.85,0.84,0.76,0.68,0.87,Proficient,Proficient,Proficient,Proficient,Proficient,"October 22-23, 2013",2.6,2.55,0.071,0.166,0.049,0.69,0.058,0.547,0.151,0.147,0.629,0.066,14.4,0.833,0.891,0.296,0.971,,,,,,,,
02M407,Institute for Collaborative Education,High School,482,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.98,0.9,0.98,0.89,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 19 - 20, 2013",2.87,2.38,0,0.062,0,0.258,0.036,0.13,0.058,0.141,0.149,0.565,3.4,0.696,0.917,0.204,0.978,,,,,,,,
02M408,Professional Performing Arts High School,High School,536,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.9,0.86,0.84,0.85,0.75,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",3.05,2.71,0.002,0.126,0.005,0.33,0.079,0.151,0.025,0.262,0.223,0.429,10,0.833,0.944,0.133,0.967,,,,,,,,
02M411,Baruch College Campus High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,0.91,0.94,0.9,0.92,0.7,0.95,Well Developed,Proficient,Well Developed,Well Developed,Proficient,42124,3.26,3.29,0.002,0.1,0.002,0.459,0.04,0.333,0.548,0.062,0.149,0.228,11.2,0.692,0.975,0.044,0.963,,,,,,,,
02M412,N.Y.C. Lab School for Collaborative Studies,High School,587,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.86,0.91,0.89,0.89,0.79,0.94,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,42011,3.28,3.17,0.002,0.15,0,0.325,0.037,0.206,0.276,0.06,0.155,0.46,8.8,0.811,0.942,0.153,0.964,,,,,,,,
02M413,School of the Future High School,High School,713,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.96,0.88,0.91,0.76,0.92,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41989,3.05,2.77,0.005,0.148,0,0.358,0.062,0.218,0.144,0.117,0.304,0.359,7.9,0.848,0.941,0.164,0.967,,,,,,,,
02M414,N.Y.C. Museum School,High School,471,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Exceeding Target,0.86,0.79,0.84,0.6,0.64,0.81,Proficient,Proficient,Proficient,Well Developed,Proficient,42142,3.18,3.13,0.006,0.076,0,0.593,0.032,0.444,0.342,0.127,0.397,0.121,10,0.96,0.948,0.145,0.95,,,,,,,,
02M416,Eleanor Roosevelt High School,High School,541,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.8,0.92,0.75,0.76,0.86,Proficient,Well Developed,Proficient,Well Developed,Developing,41963,3.61,3.61,0,0.059,0,0.204,0.011,0.113,0.201,0.044,0.109,0.614,7,0.935,0.965,0.072,0.975,,,,,,,,
02M418,Millennium High School,High School,659,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.87,0.88,0.89,0.82,0.71,0.89,Proficient,Proficient,Developing,Proficient,Proficient,41976,3.37,3.22,0.005,0.094,0.005,0.402,0.036,0.27,0.384,0.076,0.182,0.328,3,0.816,0.964,0.068,0.973,,,,,,,,
02M419,Landmark High School,High School,355,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.88,0.83,0.86,0.78,0.92,Proficient,Proficient,Proficient,Proficient,Proficient,42110,2.23,2.07,0.104,0.245,0.006,0.804,0.099,0.687,0.037,0.242,0.685,0.017,3,0.679,0.819,0.534,0.967,,,,,,,,
02M420,High School for Health Professions and Human Servi,High School,1664,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.87,0.87,0.87,0.83,0.69,0.91,Proficient,Proficient,Proficient,Proficient,Well Developed,April 7-8 2014,2.71,2.61,0.043,0.124,0.004,0.67,0.056,0.521,0.224,0.189,0.509,0.073,5.8,0.762,0.916,0.222,0.97,,,,,,,,
02M422,Quest to Learn,High School,564,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,N/A,0.83,0.79,0.82,0.74,0.8,0.86,Proficient,Proficient,Developing,Proficient,Proficient,42018,2.56,2.27,0.03,0.362,0.011,0.406,0.128,0.313,0.087,0.219,0.415,0.242,0.9,0.447,0.89,0.337,0.968,,,,,,,,
02M425,Leadership and Public Service High School,High School,699,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.86,0.81,0.83,0.84,0.75,0.89,Proficient,Proficient,Proficient,Well Developed,Proficient,"April 2-3, 2014",2.33,2.18,0.067,0.203,0.043,0.751,0.089,0.597,0.039,0.279,0.619,0.044,4,0.732,0.792,0.583,0.972,,,,,,,,
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High School,334,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.9,0.94,0.83,0.89,0.78,0.92,Proficient,Proficient,Proficient,Proficient,Proficient,41989,1.83,2.07,0.784,0.033,0.003,0.75,0.263,0.449,0.024,0.048,0.913,0.015,5,0.542,0.851,0.442,0.965,,,,,,,,
02M429,Legacy School for Integrated Studies,High School,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87,0.87,0.68,0.87,0.78,0.88,N/A,N/A,N/A,N/A,N/A,,2.19,2.03,0,0.474,0,0.729,0,0.632,0,0.368,0.632,0,2.9,1,0.828,0.55,0.962,,,,,,,,
02M437,Hudson High School of Learning Technologies,High School,483,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.85,0.92,0.82,0.93,0.75,0.92,Proficient,Proficient,Proficient,Proficient,Well Developed,42059,2.28,2.23,0.087,0.222,0.004,0.754,0.143,0.594,0.064,0.292,0.594,0.033,5,0.543,0.826,0.506,0.97,,,,,,,,
02M438,International High School at Union Square,High School,353,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.89,0.91,0.85,0.88,0.79,0.91,Developing,Developing,Developing,Proficient,Proficient,42067,1.76,2.17,0.864,0.048,0,0.742,0.385,0.448,0.306,0.142,0.453,0.099,1,0.76,0.835,0.402,0.971,,,,,,,,
02M439,Manhattan Village Academy,High School,415,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.87,0.9,0.85,0.8,0.87,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,41982,2.68,2.78,0.027,0.113,0,0.596,0.036,0.436,0.072,0.096,0.672,0.072,15.8,0.593,0.983,0.01,0.979,,,,,,,,
02M449,Vanguard High School,High School,486,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.98,0.89,0.97,0.75,0.96,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,42136,2.35,2.21,0.078,0.218,0.012,0.685,0.068,0.527,0.076,0.274,0.57,0.047,3.8,0.903,0.872,0.429,0.973,,,,,,,,
02M459,Manhattan International High School,High School,343,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.81,0.78,0.9,0.77,0.77,0.87,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42095,1.87,2.26,0.767,0.041,0.006,0.681,0.184,0.464,0.294,0.166,0.411,0.122,2.8,0.905,0.903,0.299,0.973,,,,,,,,
02M460,Washington Irving High School,High School,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9,0.83,0.88,0.7,0.78,0.85,N/A,N/A,N/A,N/A,N/A,,2.16,2.04,0.172,0.343,0.152,0.713,0.061,0.566,0.03,0.333,0.566,0.071,3,1,0.727,0.726,0.972,,,,,,,,
02M475,Stuyvesant High School,High School,3296,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.84,0.8,0.87,0.77,0.7,0.87,Well Developed,Proficient,Proficient,Well Developed,Proficient,42117,4.01,4.17,0.001,0.005,0,0.316,0.019,0.182,0.734,0.008,0.026,0.204,2.9,0.912,0.965,0.076,0.963,,,,,,,,
02M489,High School of Economics and Finance,High School,796,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.86,0.82,0.83,0.8,0.68,0.85,Well Developed,Proficient,Proficient,Proficient,Proficient,"November 20-21, 2013",2.55,2.55,0.06,0.143,0.023,0.668,0.072,0.523,0.217,0.229,0.471,0.072,7.9,0.884,0.887,0.3,0.959,,,,,,,,
02M500,Unity Center for Urban Technologies,High School,284,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.8,0.88,0.73,0.85,0.87,Proficient,Developing,Proficient,Proficient,Proficient,42130,2.25,2.15,0.067,0.239,0.007,0.771,0.077,0.609,0.06,0.275,0.588,0.049,7.9,0.615,0.864,0.338,0.961,,,,,,,,
02M507,Urban Assembly Gateway School for Technology,High School,472,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.82,0.93,0.85,0.89,0.77,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41718,2.49,2.4,0.021,0.191,0.006,0.636,0.085,0.462,0.078,0.303,0.538,0.057,4,0.375,0.896,0.333,0.973,,,,,,,,
