DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,,,,,,,,
08X293,Renaissance High School for Musical Theater & Tech,High School,444,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.93,0.84,0.92,0.68,0.93,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42116,2.28,2.09,0.036,0.241,0.005,0.73,0.077,0.597,0.032,0.279,0.61,0.072,7,0.714,0.831,0.496,0.975,,,,,,,,
08X295,Gateway School for Environmental Research and Tech,High School,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9,0.85,0.82,0.86,0.85,0.9,N/A,N/A,N/A,N/A,N/A,,2.11,1.97,0.171,0.371,0.014,0.707,0.086,0.543,0.014,0.314,0.643,0.029,0.9,0.889,0.814,0.676,0.953,,,,,,,,
08X305,Pablo Neruda Academy,High School,315,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.82,0.91,0.78,0.9,0.75,0.93,Developing,Developing,Developing,Proficient,Proficient,41956,2.05,1.96,0.184,0.356,0.022,0.803,0.156,0.619,0.044,0.26,0.676,0.013,1.3,0.633,0.842,0.447,0.97,,,,,,,,
08X312,Millennium Art Academy,High School,487,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.85,0.86,0.81,0.84,0.75,0.93,Developing,Developing,Developing,Proficient,Proficient,41978,2.26,2.11,0.047,0.294,0.006,0.785,0.092,0.641,0.023,0.3,0.651,0.018,3,0.813,0.855,0.436,0.962,,,,,,,,
08X320,Pelham Lab High School,High School,211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.79,0.75,0.76,0.77,0.77,0.84,Proficient,Developing,Developing,Proficient,Proficient,41967,2.17,2.15,0.147,0.246,0.005,0.783,0.104,0.63,0.076,0.332,0.526,0.052,2,0.471,0.903,0.345,0.984,,,,,,,,
08X332,Holcombe L. Rucker School of Community Research,High School,236,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.85,0.94,0.84,0.84,0.74,0.91,Developing,Developing,Developing,Proficient,Proficient,42108,2.06,1.99,0.11,0.297,0.081,0.836,0.186,0.661,0.004,0.432,0.547,0.004,9,0.824,0.85,0.45,0.948,,,,,,,,
08X348,Schuylerville Preparatory High School,High School,177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.91,0.95,0.87,0.95,0.76,0.96,Proficient,Developing,Developing,Proficient,Developing,42095,2.32,2.14,0.147,0.22,0.006,0.75,0.113,0.616,0.04,0.22,0.667,0.062,2,0.833,0.9,0.348,0.962,,,,,,,,
08X349,Bronx River High School,High School,204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.93,0.9,0.81,0.88,0.76,0.87,Proficient,Proficient,Well Developed,Proficient,Well Developed,42109,2.18,2.06,0.147,0.24,0.01,0.758,0.157,0.603,0.029,0.299,0.608,0.025,2,0.533,0.875,0.441,0.97,,,,,,,,
08X367,"Archimedes Academy for Math, Science and Technolog",High School,637,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.81,0.78,0.8,0.66,0.71,0.83,Proficient,Proficient,Proficient,Well Developed,Proficient,41977,2.25,2.16,0.063,0.287,0.124,0.723,0.091,0.537,0.055,0.309,0.606,0.022,8,0.712,0.877,0.365,0.967,,,,,,,,
08X376,Antonia Pantoja Preparatory Academy: A College Boa,High School,450,N/A,N/A,Approaching Target,N/A,Approaching Target,Approaching Target,Approaching Target,0.84,0.71,0.74,0.61,0.74,0.85,Developing,Developing,Developing,Proficient,Developing,42129,2.2,2.05,0.143,0.253,0.013,0.756,0.16,0.54,0.063,0.262,0.654,0.013,0.5,0.703,0.809,0.521,0.957,,,,,,,,
08X405,Herbert H. Lehman High School,High School,1535,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,N/A,N/A,Approaching Target,0.82,0.72,0.73,0.58,0.7,0.78,Proficient,Proficient,Proficient,Proficient,Proficient,42095,2.25,2.13,0.103,0.253,0.116,0.707,0.078,0.545,0.092,0.236,0.549,0.106,3.8,0.927,0.794,0.521,0.944,,,,,,,,
08X432,BRONX BRIDGES HIGH SCHOOL,High School,333,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.8,0.8,0.82,0.68,0.72,0.83,Developing,Developing,Proficient,Well Developed,Proficient,42012,1.8,1.98,0.823,0.117,0.006,0.834,0.27,0.631,0.078,0.066,0.829,0.018,0.8,0.387,0.832,0.54,0.967,,,,,,,,
08X452,Bronx Guild,High School,326,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.87,0.94,0.8,0.88,0.78,0.92,Proficient,Proficient,Proficient,Well Developed,Proficient,42132,2.17,1.98,0.104,0.307,0.006,0.821,0.135,0.663,0.04,0.322,0.617,0.012,9,0.636,0.742,0.728,0.977,,,,,,,,
08X519,Felisa Rincon de Gautier Institute for Law and Pub,High School,307,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.8,0.82,0.71,0.77,0.8,0.84,Proficient,Developing,Developing,Proficient,Proficient,74912,2.13,1.98,0.101,0.274,0.062,0.821,0.205,0.651,0.02,0.254,0.678,0.029,9.9,0.522,0.793,0.569,0.965,,,,,,,,
08X530,Banana Kelly High School,High School,325,Approaching Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.78,0.59,0.77,0.47,0.7,0.65,Developing,Developing,Developing,Developing,Developing,42080,2.02,1.94,0.114,0.317,0.148,0.851,0.185,0.702,0,0.372,0.606,0.012,2.6,0.4,0.715,0.746,0.979,,,,,,,,
08X558,Westchester Square Academy,High School,396,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87,0.93,0.84,0.94,0.78,0.93,Proficient,Proficient,Well Developed,Proficient,Proficient,41983,2.37,2.19,0.068,0.225,0.013,0.701,0.093,0.553,0.045,0.268,0.566,0.088,3,0.323,0.865,0.423,0.973,,,,,,,,
08X559,School for Tourism and Hospitality,High School,240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87,0.83,0.77,0.81,0.8,0.91,Proficient,Developing,Proficient,Proficient,Proficient,41991,2.13,2.06,0.154,0.171,0.025,0.847,0.158,0.675,0.013,0.354,0.604,0,2.4,0.619,0.831,0.489,0.982,,,,,,,,
08X561,Bronx Compass High School,High School,332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.83,0.89,0.86,0.88,0.75,0.94,Proficient,Developing,Proficient,Well Developed,Proficient,42076,2.26,2.1,0.081,0.283,0.009,0.788,0.163,0.617,0.024,0.346,0.602,0.009,3,0.28,0.802,0.606,0.964,,,,,,,,
08X650,Jane Addams High School for Academic Careers,High School,147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.87,0.84,0.83,0.74,0.82,0.92,N/A,N/A,N/A,N/A,N/A,,2.03,2.07,0.088,0.313,0.007,0.843,0.041,0.714,0,0.327,0.639,0.027,3.4,1,0.707,0.757,0.947,,,,,,,,
09X227,Bronx Collegiate Academy,High School,382,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.85,0.94,0.86,0.94,0.79,0.94,Proficient,Developing,Proficient,Well Developed,Proficient,42128,2.09,2.01,0.272,0.23,0.081,0.833,0.168,0.673,0.01,0.285,0.691,0.003,4.3,0.826,0.801,0.576,0.945,,,,,,,,
09X231,Eagle Academy for Young Men,High School,608,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.82,0.86,0.77,0.83,0.85,0.89,Proficient,Developing,Developing,Well Developed,Proficient,42139,2.24,2.15,0.022,0.279,0.07,0.705,0.081,0.482,0.003,0.607,0.36,0.005,4.9,0.829,0.861,0.397,0.952,,,,,,,,
09X241,Urban Assembly School for Applied Math and Science,High School,619,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.82,0.8,0.79,0.77,0.86,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"May 2-3, 2013",2.33,2.42,0.051,0.202,0.006,0.822,0.074,0.598,0.014,0.33,0.641,0.011,2.9,0.558,0.896,0.337,0.967,,,,,,,,
09X250,Eximius College Preparatory Academy: A College Boa,High School,449,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.9,0.92,0.86,0.88,0.86,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42019,2.33,2.23,0.089,0.2,0.007,0.796,0.127,0.621,0.011,0.452,0.521,0.007,3.8,0.667,0.893,0.346,0.974,,,,,,,,
09X252,Mott Hall Bronx High School,High School,402,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.75,0.84,0.82,0.78,0.76,0.89,Proficient,Proficient,Proficient,Well Developed,Proficient,42139,2.26,2.28,0.109,0.234,0.104,0.84,0.09,0.692,0.012,0.201,0.756,0.012,3.7,0.37,0.859,0.413,0.971,,,,,,,,
09X260,Bronx Center for Science and Mathematics,High School,457,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.83,0.91,0.86,0.87,0.75,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42121,2.74,2.64,0.033,0.177,0.039,0.753,0.066,0.58,0.063,0.254,0.659,0.015,10,0.643,0.92,0.268,0.971,,,,,,,,
09X263,Validus Preparatory Academy: An Expeditionary Lear,High School,375,Approaching Target,Meeting Target,N/A,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.77,0.81,0.82,0.78,0.76,0.89,Developing,Developing,Developing,Proficient,Proficient,42129,2.17,2.17,0.115,0.224,0.075,0.837,0.101,0.667,0.016,0.269,0.707,0.008,1,0.593,0.843,0.435,0.959,,,,,,,,
09X276,Leadership Institute,High School,207,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,Exceeding Target,Approaching Target,0.84,0.85,0.79,0.74,0.86,0.93,Proficient,Developing,Proficient,Developing,Proficient,41990,2.02,1.95,0.213,0.3,0.048,0.902,0.164,0.758,0,0.343,0.633,0.019,7.9,0.625,0.749,0.631,0.974,,,,,,,,
09X297,Morris Academy for Collaborative Studies,High School,471,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.87,0.82,0.83,0.87,0.74,0.88,Well Developed,Proficient,Well Developed,Proficient,Well Developed,41983,2.14,2,0.187,0.253,0.051,0.85,0.149,0.686,0.008,0.263,0.72,0.004,2.5,0.829,0.796,0.565,0.964,,,,,,,,
09X324,Bronx Early College Academy for Teaching & Learnin,High School,503,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.9,0.94,0.84,0.88,0.74,0.9,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42123,2.41,2.23,0.068,0.151,0.007,0.819,0.082,0.599,0.036,0.287,0.674,0.004,3.8,0.438,0.858,0.444,0.959,,,,,,,,
09X327,Comprehensive Model School Project M.S. 327,High School,628,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,0.93,0.94,0.85,0.91,0.79,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42089,2.49,2.76,0.057,0.215,0.063,0.862,0.063,0.703,0,0.233,0.76,0.006,0.9,0.614,0.903,0.274,0.972,,,,,,,,
09X329,DreamYard Preparatory School,High School,336,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.96,0.97,0.88,0.94,0.85,0.96,Developing,Developing,Developing,Proficient,Proficient,42116,2.17,2.04,0.214,0.196,0.03,0.859,0.244,0.682,0.015,0.336,0.607,0.012,3.2,0.565,0.792,0.523,0.969,,,,,,,,
09X365,Academy for Language and Technology,High School,322,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.86,0.89,0.91,0.85,0.77,0.89,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"May 20-21, 2013",1.81,2.06,0.745,0.043,0,0.831,0.22,0.612,0,0.003,0.997,0,1.7,0.25,0.917,0.298,0.981,,,,,,,,
09X403,Bronx International High School,High School,409,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.92,0.91,0.87,0.8,0.8,0.93,Proficient,Proficient,Proficient,Proficient,Well Developed,41961,1.78,1.91,0.883,0.049,0,0.826,0.249,0.582,0.034,0.2,0.741,0.017,9,0.8,0.843,0.407,0.961,,,,,,,,
09X404,School for Excellence,High School,421,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.91,0.84,0.79,0.86,0.74,0.89,Developing,Developing,Proficient,Proficient,Proficient,42081,2.12,2.07,0.271,0.278,0.05,0.875,0.233,0.724,0.007,0.266,0.708,0.01,5.2,0.963,0.753,0.639,0.954,,,,,,,,
09X412,Bronx High School of Business,High School,339,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.81,0.74,0.78,0.59,0.72,0.77,Developing,Developing,Developing,Developing,Proficient,42109,2.07,2.01,0.298,0.263,0.091,0.825,0.186,0.596,0.015,0.333,0.631,0.012,3.3,0.816,0.789,0.517,0.962,,,,,,,,
09X413,Bronx High School for Medical Science,High School,472,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.9,0.92,0.82,0.81,0.81,0.91,Developing,Developing,Developing,Developing,Developing,42144,2.51,2.48,0.014,0.095,0.048,0.801,0.082,0.605,0.071,0.367,0.534,0.007,13,0.633,0.928,0.224,0.981,,,,,,,,
09X414,Jonathan Levin High School for Media and Communica,High School,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.84,0.9,0.8,0.9,0.89,0.92,Proficient,Developing,Developing,Proficient,Developing,42145,2.05,1.98,0.4,0.269,0.106,0.846,0.213,0.638,0.013,0.206,0.769,0.013,0.8,1,0.753,0.698,0.96,,,,,,,,
09X505,"Bronx School for Law, Government and Justice",High School,778,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.82,0.8,0.8,0.76,0.71,0.85,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41984,2.58,2.47,0.039,0.193,0.037,0.803,0.075,0.639,0.022,0.231,0.72,0.01,11,0.593,0.902,0.3,0.965,,,,,,,,
09X517,Frederick Douglass Academy III Secondary School,High School,427,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.85,0.84,0.85,0.76,0.82,0.83,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42020,2.13,2.03,0.117,0.218,0.089,0.836,0.204,0.656,0.007,0.504,0.454,0.023,11,0.586,0.798,0.638,0.96,,,,,,,,
09X525,Bronx Leadership Academy High School,High School,686,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.78,0.74,0.73,0.7,0.73,0.85,Proficient,Proficient,Proficient,Proficient,Proficient,"February 6-7, 2014",2.16,2.07,0.098,0.246,0.111,0.827,0.09,0.688,0.004,0.357,0.617,0.006,0.8,0.595,0.817,0.492,0.955,,,,,,,,
09X543,High School for Violin and Dance,High School,384,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.78,0.71,0.74,0.7,0.74,0.83,Proficient,Developing,Developing,Developing,Proficient,41964,2.15,2.07,0.117,0.26,0.005,0.858,0.219,0.703,0.005,0.341,0.646,0.003,4.3,0.696,0.792,0.609,0.96,,,,,,,,
09X564,Claremont International HS,High School,257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.79,0.88,0.84,0.78,0.82,0.87,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,42109,1.81,1.9,0.903,0.023,0.008,0.856,0.416,0.549,0.047,0.206,0.728,0.012,3,0.222,0.889,0.321,0.983,,,,,,,,
10X141,Riverdale / Kingsbridge Academy (Middle School / H,High School,1381,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.81,0.82,0.75,0.75,0.86,Proficient,Proficient,Proficient,Well Developed,Well Developed,41976,2.56,2.48,0.054,0.207,0.066,0.418,0.037,0.316,0.077,0.123,0.557,0.237,8,0.864,0.91,0.294,0.966,,,,,,,,
10X213,Bronx Engineering and Technology Academy,High School,417,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.85,0.85,0.76,0.74,0.7,0.86,Developing,Developing,Developing,Proficient,Proficient,42039,2.22,2.23,0.098,0.209,0.005,0.753,0.106,0.595,0.067,0.343,0.559,0.014,4.2,0.741,0.835,0.502,0.967,,,,,,,,
10X225,Theatre Arts Production Company School,High School,632,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.87,0.81,0.8,0.76,0.91,Proficient,Proficient,Developing,Proficient,Proficient,42123,2.39,2.21,0.052,0.186,0.01,0.806,0.079,0.631,0.012,0.292,0.666,0.007,3.3,0.791,0.889,0.38,0.964,,,,,,,,
10X237,"The Marie Curie School for Medicine, Nursing, and",High School,583,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.78,0.79,0.7,0.74,0.85,Well Developed,Proficient,Proficient,Well Developed,Proficient,41995,2.35,2.24,0.096,0.189,0.026,0.759,0.105,0.597,0.027,0.357,0.569,0.033,11,0.714,0.86,0.349,0.964,,,,,,,,
10X243,West Bronx Academy for the Future,High School,599,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.85,0.81,0.82,0.74,0.89,Developing,Developing,Developing,Proficient,Proficient,42137,2.23,2.08,0.095,0.25,0.036,0.851,0.06,0.673,0.027,0.211,0.72,0.03,11,0.75,0.875,0.373,0.973,,,,,,,,
10X264,Bronx Academy for Software Engineering (BASE),High School,226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.81,0.89,0.87,0.87,0.81,0.95,Proficient,Proficient,Proficient,Proficient,Well Developed,42146,2.41,2.39,0.071,0.288,0.106,0.709,0.15,0.518,0.075,0.288,0.606,0.027,2,0.294,0.888,0.303,0.976,,,,,,,,
10X268,Kingsbridge International High School,High School,461,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.83,0.87,0.84,0.86,0.77,0.91,Developing,Developing,Developing,Proficient,Proficient,42109,1.78,1.99,0.885,0.035,0,0.827,0.371,0.525,0.065,0.052,0.859,0.02,10,0.923,0.868,0.362,0.981,,,,,,,,
10X284,Bronx School of Law and Finance,High School,426,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.86,0.74,0.77,0.75,0.8,0.88,Proficient,Developing,Proficient,Proficient,Proficient,"January 15-16, 2014",2.24,2.13,0.089,0.246,0.063,0.819,0.129,0.66,0.021,0.303,0.648,0.026,3,0.704,0.82,0.544,0.965,,,,,,,,
10X342,International School for Liberal Arts,High School,561,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.91,0.93,0.87,0.88,0.82,0.92,Proficient,Proficient,Developing,Proficient,Well Developed,42081,1.94,2.09,0.672,0.069,0.003,0.857,0.259,0.613,0,0,0.995,0.005,3.3,0.805,0.931,0.197,0.975,,,,,,,,
10X351,Bronx Collaborative High School,High School,223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.97,0.99,0.86,0.97,0.8,0.95,Proficient,Developing,Developing,Proficient,Proficient,41967,2.25,2.18,0.161,0.229,0,0.855,0.197,0.668,0.013,0.296,0.623,0.049,2,0.235,0.716,0.965,0.977,,,,,,,,
10X353,World View High School,High School,173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.97,0.97,0.84,0.96,0.77,0.93,Proficient,Proficient,Proficient,Proficient,Well Developed,42011,2.21,2.14,0.347,0.225,0.052,0.809,0.185,0.59,0.012,0.277,0.688,0.012,1.3,0.455,0.896,0.36,0.984,,,,,,,,
10X368,In-Tech Academy (M.S. / High School 368),High School,1022,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.77,0.73,0.81,0.64,0.71,0.84,Proficient,Proficient,Developing,Proficient,Proficient,41576,2.46,2.23,0.092,0.172,0.019,0.749,0.08,0.598,0.028,0.108,0.828,0.034,4.7,0.758,0.927,0.213,0.969,,,,,,,,
10X374,Knowledge and Power Preparatory Academy Internatio,High School,487,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.95,0.88,0.92,0.77,0.93,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42116,2.31,2.23,0.15,0.224,0.035,0.766,0.113,0.571,0.025,0.322,0.614,0.021,7.9,0.395,0.851,0.484,0.976,,,,,,,,
10X433,High School for Teaching and the Professions,High School,486,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.83,0.94,0.84,0.91,0.85,0.92,Proficient,Developing,Developing,Well Developed,Proficient,42144,2.18,2.09,0.212,0.247,0.012,0.807,0.121,0.617,0.019,0.204,0.745,0.027,0.9,0.848,0.822,0.487,0.962,,,,,,,,
10X434,Belmont Preparatory High School,High School,416,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.86,0.86,0.84,0.78,0.67,0.88,Proficient,Proficient,Developing,Proficient,Developing,42018,2.36,2.3,0.063,0.154,0.053,0.735,0.075,0.543,0.022,0.3,0.656,0.019,8,0.839,0.898,0.314,0.966,,,,,,,,
10X437,Fordham High School for the Arts,High School,401,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.86,0.85,0.89,0.8,0.67,0.89,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"December 4-5, 2013",2.47,2.26,0.04,0.195,0.005,0.754,0.082,0.606,0.01,0.309,0.651,0.025,11,0.364,0.926,0.23,0.967,,,,,,,,
10X438,Fordham Leadership Academy for Business and Techno,High School,438,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.85,0.86,0.79,0.78,0.75,0.86,Developing,Developing,Developing,Proficient,Developing,42088,2.11,2.03,0.167,0.288,0.116,0.855,0.174,0.699,0.018,0.276,0.678,0.027,4,0.848,0.834,0.505,0.969,,,,,,,,
10X439,Bronx High School for Law and Community Service,High School,398,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.86,0.93,0.81,0.92,0.73,0.93,Proficient,Proficient,Proficient,Well Developed,Well Developed,42067,2.16,2.06,0.151,0.271,0.028,0.863,0.186,0.724,0.013,0.244,0.709,0.018,4.8,0.833,0.834,0.515,0.966,,,,,,,,
10X440,DeWitt Clinton High School,High School,2109,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,0.8,0.8,0.79,0.7,0.63,0.83,Developing,Developing,Developing,Developing,Developing,42095,2.32,2.22,0.217,0.186,0.093,0.749,0.145,0.549,0.086,0.316,0.545,0.036,2,0.985,0.812,0.458,0.953,,,,,,,,
10X442,"Celia Cruz Bronx High School of Music, The",High School,430,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.81,0.81,0.79,0.77,0.77,0.86,Developing,Proficient,Developing,Proficient,Developing,"March 3-4, 2014",2.51,2.33,0.026,0.14,0,0.741,0.105,0.565,0.014,0.253,0.7,0.012,2.3,0.821,0.896,0.341,0.956,,,,,,,,
10X445,Bronx High School of Science,High School,3015,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.8,0.83,0.87,0.81,0.68,0.89,Well Developed,Proficient,Proficient,Well Developed,Proficient,42125,3.85,3.98,0,0.013,0,0.298,0.01,0.179,0.628,0.026,0.055,0.221,1.8,0.759,0.97,0.055,0.974,,,,,,,,
10X477,Marble Hill High School for International Studies,High School,449,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,0.85,0.87,0.89,0.81,0.73,0.93,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42110,2.45,2.55,0.296,0.091,0,0.76,0.136,0.599,0.089,0.245,0.61,0.051,7.8,0.897,0.939,0.161,0.964,,,,,,,,
10X524,Crotona International High School,High School,336,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.78,0.78,0.83,0.84,0.77,0.88,Proficient,Developing,Proficient,Proficient,Proficient,42020,1.73,1.93,0.872,0.048,0.012,0.832,0.313,0.557,0.018,0.104,0.857,0.018,4,0.875,0.878,0.405,0.963,,,,,,,,
10X546,Bronx Theatre High School,High School,428,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.79,0.87,0.75,0.74,0.97,0.84,Proficient,Developing,Proficient,Proficient,Proficient,42357,2.23,2.06,0.1,0.238,0.028,0.788,0.147,0.607,0.005,0.301,0.671,0.016,0.4,0.724,0.809,0.616,0.959,,,,,,,,
10X549,Discovery High School,High School,530,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.91,0.96,0.84,0.94,0.83,0.96,Proficient,Proficient,Proficient,Proficient,Proficient,41939,2.2,2.09,0.209,0.255,0.111,0.787,0.111,0.617,0.025,0.174,0.772,0.023,8,0.621,0.856,0.362,0.975,,,,,,,,
10X565,High School for Energy and Technology,High School,311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.86,0.92,0.84,0.94,0.75,0.95,Well Developed,Proficient,Proficient,Well Developed,Proficient,42115,2.25,2.22,0.077,0.212,0.006,0.818,0.106,0.672,0.013,0.267,0.701,0.01,3,0.2,0.859,0.397,0.978,,,,,,,,
10X660,Grace Dodge Career and Technical Education High Sc,High School,178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73,0.76,0.8,0.71,0.72,0.81,N/A,N/A,N/A,N/A,N/A,,2.03,1.99,0.27,0.399,0.152,0.801,0.067,0.652,0.022,0.213,0.753,0.011,3.3,0.941,0.732,0.676,0.953,,,,,,,,
