DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 4 English Proficiency,Average Grade 4 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
10X308,Bronx Dance Academy School,Middle,268,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.89,0.86,0.86,0.74,0.73,0.86,Proficient,Developing,Proficient,Proficient,Proficient,11-Dec-14,2.45,2.53,0.112,0.172,0.007,0.824,0.175,0.672,0.034,0.254,0.705,0.007,7.7,0.667,0.939,0.177,0.938
10X310,P.S. 310 Marble Hill,Elementary,768,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.93,0.84,0.92,0.74,0.82,0.86,Well Developed,Proficient,Proficient,Proficient,Well Developed,22-Jan-15,2.36,2.63,0.181,0.205,0.015,0.874,0.306,0.751,0.015,0.09,0.862,0.029,8.4,0.696,0.933,0.208,0.957
10X315,P.S. 315 Lab School,K-8,283,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.95,0.93,0.8,0.9,0.87,0.89,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,6-May-15,2.35,2.61,0.194,0.223,0.117,0.868,0.141,0.71,0.007,0.141,0.82,0.011,3.8,0.81,0.937,0.189,0.951
10X331,The Bronx School of Young Leaders,Middle,394,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.85,0.86,0.85,0.81,0.84,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,31-Mar-15,2.19,2.34,0.206,0.239,0.079,0.894,0.272,0.695,0.013,0.239,0.741,0.005,6.9,0.563,0.937,0.199,0.968
10X340,P.S. 340,Elementary,645,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.9,0.95,0.93,0.86,0.83,0.97,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"February 3rd, 2015",2.35,2.45,0.25,0.268,0.116,0.909,0.334,0.755,0.041,0.094,0.833,0.019,0.8,0.88,0.918,0.297,0.967
10X342,International School for Liberal Arts,Middle,561,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.91,0.93,0.87,0.88,0.82,0.92,Proficient,Proficient,Developing,Proficient,Well Developed,18-Mar-15,2.13,2.4,0.69,0.164,0.023,0.857,0.386,0.719,0,0.006,0.988,0.006,0,0,0.969,0.078,
10X344,Ampark Neighborhood,Elementary,378,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.95,0.95,0.94,0.91,0.91,0.96,Proficient,Proficient,Proficient,Proficient,Proficient,2-Dec-14,2.99,2.95,0.05,0.138,0.026,0.421,0.066,0.257,0.061,0.108,0.608,0.201,2.9,0.905,0.944,0.107,0.958
10X360,P.S. 360,Elementary,485,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.88,0.82,0.9,0.67,0.79,0.86,Proficient,Developing,Developing,Proficient,Proficient,7-Jan-15,2.32,2.21,0.138,0.209,0.112,0.794,0.239,0.622,0.018,0.119,0.839,0.021,0.8,0.757,0.912,0.312,0.963
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Middle,409,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.92,0.91,0.87,0.9,0.8,0.93,Proficient,Developing,Proficient,Proficient,Proficient,12-Nov-14,2.13,2.3,0.333,0.252,0.098,0.886,0.232,0.733,0.022,0.132,0.834,0.01,5,0.614,0.921,0.268,0.966
10X368,In-Tech Academy (M.S. / High School 368),Middle,1022,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.77,0.73,0.81,0.64,0.71,0.84,Proficient,Proficient,Developing,Proficient,Proficient,29-Oct-13,2.46,2.71,0.21,0.19,0.057,0.749,0.197,0.584,0.044,0.094,0.803,0.037,0,0,0.935,0.217,
10X382,"Elementary School for Math, Science, and Technolog",Elementary,283,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,0.91,0.89,0.9,0.85,0.78,0.93,Proficient,Proficient,Proficient,Proficient,Proficient,18-May-15,2.18,2.35,0.269,0.124,0.011,0.918,0.286,0.742,0,0.254,0.742,0,7,0.889,0.937,0.199,0.967
10X386,School for Environmental Citizenship,Elementary,553,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.83,0.83,0.89,0.72,0.83,0.86,Proficient,Developing,Proficient,Proficient,Proficient,11-Mar-15,2.2,2.41,0.311,0.186,0.054,0.931,0.345,0.772,0.004,0.178,0.806,0.01,1.6,0.837,0.931,0.23,0.959
10X390,M.S. 390,Middle,397,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.84,0.84,0.82,0.8,0.77,0.86,Proficient,Proficient,Proficient,Proficient,Developing,"February 25-26, 2014",2.22,2.3,0.285,0.249,0.071,0.911,0.307,0.733,0.008,0.166,0.819,0.005,15.8,0.857,0.928,0.239,0.968
10X391,The Angelo Patri Middle School,Middle,514,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.84,0.82,0.78,0.8,0.88,Developing,Developing,Proficient,Proficient,Developing,13-May-15,2.07,2.2,0.368,0.27,0.13,0.911,0.3,0.761,0.012,0.253,0.728,0.006,4.8,0.647,0.902,0.353,0.963
10X396,P.S. 396,Elementary,373,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.87,0.87,0.81,0.87,0.9,Proficient,Proficient,Well Developed,Well Developed,Well Developed,4-Mar-15,2.4,2.26,0.221,0.268,0.003,0.893,0.301,0.746,0,0.23,0.749,0.021,4.6,0.5,0.933,0.229,0.956
10X447,Creston Academy,Middle,479,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.91,0.93,0.86,0.9,0.87,0.93,Proficient,Proficient,Well Developed,Well Developed,Well Developed,16-Mar-15,2.15,2.39,0.317,0.217,0.01,0.898,0.286,0.724,0.019,0.14,0.835,0.006,0,0.525,0.92,0.261,0.964
10X459,East Fordham Academy for the Arts,Middle,364,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.77,0.78,0.83,0.71,0.78,0.83,Proficient,Developing,Proficient,Proficient,Proficient,14-Jan-15,2.2,2.35,0.264,0.231,0.082,0.881,0.209,0.706,0.014,0.157,0.824,0.005,0,0.5,0.917,0.273,0.969
11X016,P.S. 016 Wakefield,Elementary,570,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.9,0.87,0.9,0.81,0.85,0.88,Proficient,Proficient,Well Developed,Well Developed,Proficient,6-Jan-15,2.32,2.86,0.059,0.194,0.089,0.772,0.255,0.648,0.032,0.542,0.317,0.027,7,0.895,0.9,0.367,0.958
11X019,P.S. 019 Judith K. Weiss,K-8,504,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.96,0.96,0.89,0.94,0.83,0.95,Proficient,Developing,Proficient,Proficient,Well Developed,12-Feb-15,2.71,3.05,0.077,0.173,0.01,0.35,0.067,0.274,0.044,0.073,0.28,0.597,7,0.971,0.946,0.094,0.968
11X021,P.S. 021 Philip H. Sheridan,Elementary,707,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.88,0.91,0.86,0.76,0.79,0.93,Developing,Developing,Developing,Proficient,Developing,14-Jan-15,2.19,2.29,0.062,0.205,0.102,0.783,0.147,0.653,0.021,0.716,0.235,0.006,12.9,0.956,0.9,0.391,0.956
11X041,P.S. 041 Gun Hill Road,Elementary,933,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.97,0.95,0.94,0.92,0.87,0.96,Proficient,Developing,Well Developed,Proficient,Proficient,"October 28-29, 2013",2.37,2.64,0.091,0.183,0.042,0.833,0.21,0.704,0.012,0.566,0.398,0.014,9.1,0.781,0.904,0.391,0.973
11X068,P.S. 068 Bronx,Elementary,749,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,0.87,0.81,0.87,0.7,0.82,0.8,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,24-Mar-15,2.33,2.48,0.011,0.201,0.047,0.617,0.064,0.482,0.014,0.798,0.156,0.014,4.8,0.725,0.929,0.23,0.962
11X076,P.S. 076 The Bennington School,Elementary,1049,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.88,0.79,0.88,0.67,0.83,0.85,Proficient,Proficient,Proficient,Proficient,Proficient,"November 25-26, 2013",2.34,2.6,0.112,0.182,0.052,0.716,0.123,0.573,0.028,0.461,0.423,0.072,11.5,0.685,0.927,0.252,0.967
11X078,P.S. 078 Anne Hutchinson,Elementary,800,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.89,0.9,0.91,0.77,0.8,0.89,Proficient,Developing,Developing,Proficient,Proficient,20-Mar-15,2.25,2.35,0.042,0.186,0.087,0.759,0.107,0.645,0.009,0.719,0.207,0.057,15.8,0.86,0.909,0.336,0.962
11X083,P.S. 083 Donald Hertz,K-8,1680,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.85,0.87,0.84,0.76,0.77,0.87,Proficient,Proficient,Proficient,Well Developed,Well Developed,4-May-15,2.64,2.91,0.113,0.194,0.038,0.611,0.06,0.482,0.089,0.098,0.494,0.312,1.8,0.851,0.953,0.108,0.963
11X087,P.S. 087 Bronx,Elementary,630,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.91,0.85,0.84,0.82,0.82,0.92,Proficient,Developing,Developing,Proficient,Proficient,3-Mar-15,2.48,2.6,0.016,0.186,0.029,0.688,0.162,0.554,0.054,0.733,0.151,0.005,6.7,0.73,0.938,0.178,0.959
11X089,P.S. 089 Bronx,K-8,1472,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.88,0.85,0.82,0.82,0.78,0.87,Proficient,Proficient,Proficient,Well Developed,Proficient,31-Mar-15,2.31,2.49,0.202,0.216,0.076,0.737,0.09,0.612,0.061,0.233,0.53,0.166,4.8,0.663,0.933,0.219,0.981
11X096,P.S. 096 Richard Rodgers,Elementary,985,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.95,0.94,0.96,0.86,0.82,0.94,Proficient,Proficient,Developing,Proficient,Developing,"May 27 - 28, 2014",2.39,2.86,0.086,0.193,0.035,0.774,0.16,0.627,0.049,0.232,0.608,0.099,12.9,0.722,0.914,0.315,0.962
11X097,P.S. 097 Bronx,Elementary,738,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.93,0.81,0.92,0.68,0.87,0.86,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,31-Mar-15,2.56,2.73,0.044,0.186,0.038,0.541,0.047,0.451,0.162,0.297,0.377,0.143,8.8,0.941,0.936,0.199,0.965
11X103,P.S. 103 Hector Fontanez,Elementary,1154,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.94,0.94,0.94,0.88,0.81,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,"January 14-15, 2014",2.31,2.34,0.175,0.198,0.065,0.813,0.12,0.673,0.023,0.53,0.386,0.023,5.1,0.763,0.91,0.349,0.964
11X105,P.S. 105 Sen Abraham Bernstein,Elementary,1368,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,0.88,0.77,0.88,0.64,0.73,0.8,Developing,Developing,Proficient,Proficient,Proficient,"October 23-24, 2013",2.45,2.6,0.202,0.194,0.024,0.802,0.197,0.651,0.089,0.125,0.64,0.125,8.9,0.89,0.933,0.226,0.948
11X106,P.S. 106 Parkchester,Elementary,1217,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.94,0.92,0.92,0.85,0.82,0.94,Developing,Developing,Proficient,Developing,Proficient,22-Jan-15,2.41,2.78,0.145,0.15,0.05,0.706,0.128,0.594,0.332,0.263,0.362,0.03,23.1,0.872,0.931,0.232,0.949
11X108,P.S. 108 Philip J. Abinanti,Elementary,579,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.92,0.8,0.93,0.67,0.79,0.84,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,29-Apr-13,2.6,3.03,0.111,0.168,0.022,0.55,0.079,0.396,0.114,0.071,0.461,0.342,9,0.85,0.943,0.166,0.959
11X111,P.S. 111 Seton Falls,Elementary,689,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,0.78,0.64,0.79,0.5,0.77,0.73,Developing,Developing,Developing,Proficient,Proficient,14-May-15,2.18,2.29,0.084,0.294,0.149,0.779,0.137,0.668,0.002,0.635,0.338,0.008,2,0.873,0.91,0.343,0.955
11X112,P.S. 112 Bronxwood,Elementary,406,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.9,0.94,0.91,0.87,0.85,0.96,Developing,Developing,Developing,Developing,Developing,23-Mar-15,2.09,2.23,0.027,0.247,0.104,0.904,0.203,0.789,0,0.488,0.504,0.008,12,0.914,0.906,0.435,0.965
11X121,P.S. 121 Throop,Elementary,980,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.91,0.83,0.95,0.66,0.8,0.85,Proficient,Developing,Proficient,Proficient,Proficient,5-May-15,2.66,2.93,0.046,0.164,0.029,0.666,0.091,0.501,0.059,0.631,0.271,0.029,0.9,0.839,0.929,0.261,0.955
11X127,J.H.S. 127 The Castle Hill,Middle,733,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.9,0.93,0.84,0.89,0.76,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,6-Feb-15,2.58,2.94,0.177,0.119,0.03,0.716,0.195,0.553,0.315,0.241,0.398,0.03,9.8,0.686,0.942,0.17,0.951
11X142,MS 142 John Philip Sousa,Middle,113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.82,0.86,0.73,0.7,0.79,0.87,N/A,N/A,N/A,N/A,N/A,,2.14,2.24,0.071,0.221,0.106,0.748,0.177,0.575,0.035,0.549,0.354,0.018,2,1,0.897,0.358,0.941
11X144,J.H.S. 144 Michelangelo,Middle,558,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.89,0.91,0.83,0.84,0.73,0.86,Proficient,Proficient,Well Developed,Well Developed,Proficient,"November 8-9, 2012",2.23,2.31,0.081,0.253,0.134,0.691,0.111,0.545,0.022,0.654,0.29,0.027,0,0.837,0.901,0.327,0.96
11X153,P.S. 153 Helen Keller,Elementary,700,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.9,0.91,0.9,0.84,0.85,0.96,Well Developed,Well Developed,Proficient,Well Developed,Proficient,4-May-15,2.8,2.96,0.021,0.127,0.044,0.443,0.049,0.324,0.091,0.59,0.249,0.054,0.8,0.86,0.949,0.146,0.954
11X160,P.S. 160 Walt Disney,Elementary,398,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,0.91,0.9,0.93,0.82,0.83,0.94,Proficient,Developing,Proficient,Proficient,Proficient,30-Apr-15,2.46,2.41,0.073,0.33,0.192,0.512,0.121,0.383,0.025,0.577,0.346,0.017,11,0.694,0.94,0.178,0.961
11X169,BAYCHESTER ACADEMY,Elementary,444,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.96,0.93,0.96,0.88,0.86,0.91,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,24-Nov-14,2.6,2.93,0.034,0.25,0.076,0.672,0.066,0.551,0.017,0.735,0.201,0.017,6,0.519,0.936,0.207,0.962
11X175,P.S. 175 City Island,K-8,324,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.93,0.96,0.85,0.88,0.87,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,"January 7-8, 2014",2.84,3.11,0.022,0.167,0.012,0.247,0.028,0.21,0.052,0.068,0.284,0.583,10,0.583,0.948,0.132,0.974
11X178,P.S. 178 - Dr. Selman Waksman,Elementary,491,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.93,0.83,0.88,0.75,0.78,0.88,Proficient,Proficient,Proficient,Developing,Proficient,16-Jan-15,2.36,2.73,0.043,0.275,0.124,0.535,0.134,0.422,0.02,0.625,0.273,0.059,3.8,0.7,0.948,0.154,0.967
11X180,M.S. 180 Dr. Daniel Hale Williams,Middle,876,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.87,0.94,0.86,0.9,0.94,0.94,Proficient,Proficient,Proficient,Well Developed,Proficient,"May 13-14, 2014",2.78,3.04,0.014,0.185,0.099,0.504,0.054,0.374,0.039,0.676,0.25,0.024,12.9,0.764,0.95,0.13,0.952
11X181,I.S. 181 Pablo Casals,Middle,873,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.87,0.9,0.86,0.84,0.77,0.91,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,13-Mar-15,2.65,2.82,0.018,0.237,0.09,0.534,0.062,0.404,0.049,0.66,0.246,0.033,9,0.731,0.932,0.211,0.96
11X189,Cornerstone Academy for Social Action,Elementary,406,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.92,0.84,0.88,0.84,0.94,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,22-Dec-14,2.37,2.7,0.051,0.202,0.051,0.742,0.189,0.623,0.008,0.547,0.399,0.024,4,0.871,0.923,0.298,0.95
11X194,PS/MS 194,K-8,1384,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Meeting Target,0.92,0.87,0.85,0.79,0.76,0.88,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,3-Mar-15,2.56,2.74,0.163,0.152,0.034,0.764,0.11,0.616,0.313,0.074,0.548,0.048,0,0.798,0.945,0.157,0.954
11X272,Globe School for Environmental Research,Middle,238,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.88,0.82,0.79,0.7,0.77,0.8,Developing,Developing,Developing,Proficient,Proficient,"March 14 - 15, 2013",2.18,2.26,0.092,0.315,0.13,0.837,0.349,0.622,0.029,0.706,0.235,0.017,0,0.765,0.9,0.305,0.967
11X287,The Forward School,Middle,248,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.86,0.84,0.78,0.84,0.73,0.88,Proficient,Developing,Proficient,Proficient,Proficient,8-May-15,2.22,2.32,0.056,0.266,0.113,0.737,0.177,0.589,0.016,0.625,0.286,0.012,1,0.789,0.893,0.388,0.96
11X289,The Young Scholars Academy of The Bronx,Middle,318,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.9,0.9,0.74,0.82,0.75,0.88,Proficient,Developing,Proficient,Proficient,Developing,27-May-15,2.23,2.29,0.075,0.258,0.104,0.731,0.16,0.553,0.025,0.711,0.236,0.009,5.8,0.833,0.905,0.33,0.955
11X326,Bronx Green Middle School,Middle,414,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.91,0.92,0.85,0.88,0.78,0.93,Well Developed,Developing,Proficient,Proficient,Proficient,27-Apr-15,2.25,2.43,0.174,0.249,0.085,0.778,0.167,0.618,0.08,0.225,0.597,0.089,4.6,0.821,0.92,0.274,0.968
11X355,Bronx Alliance Middle School,Middle,203,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.84,0.89,0.82,0.82,0.84,0.92,Developing,Developing,Proficient,Developing,Developing,6-Mar-15,2.16,2.25,0.089,0.251,0.118,0.729,0.103,0.586,0.03,0.621,0.305,0.02,2,0.3,0.928,0.258,0.975
11X370,School of Diplomacy,Middle,234,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.93,0.88,0.81,0.88,0.77,0.91,Proficient,Developing,Proficient,Proficient,Proficient,18-Mar-15,2.15,2.17,0.175,0.316,0.081,0.771,0.214,0.641,0.051,0.543,0.35,0.038,3,0.778,0.876,0.461,0.977
11X462,Cornerstone Academy for Social Action Middle Schoo,Middle,253,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.91,0.84,0.86,0.79,0.78,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,9-Jan-15,2.36,2.46,0.043,0.19,0.004,0.631,0.095,0.51,0.004,0.636,0.336,0.016,6,0.842,0.932,0.223,0.982
11X468,Pelham Academy of Academics and Community Engageme,Middle,337,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.93,0.9,0.89,0.83,0.9,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,12-Jan-15,2.48,2.63,0.107,0.205,0.077,0.705,0.116,0.543,0.086,0.199,0.617,0.092,6,0.536,0.932,0.169,0.968
11X498,PS/MS 11X498 - VAN NEST ACADEMY,K-8,582,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.91,0.88,0.87,0.86,0.82,0.9,Well Developed,Proficient,Proficient,Well Developed,Proficient,30-Jan-15,2.59,2.86,0.05,0.194,0.014,0.647,0.064,0.495,0.076,0.115,0.672,0.129,5,0.795,0.954,0.098,0.966
11X529,One World Middle School at Edenwald,Middle,331,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.89,0.9,0.84,0.88,0.79,0.93,Proficient,Developing,Proficient,Proficient,Proficient,"March 3-4, 2014",2.21,2.32,0.073,0.239,0.003,0.701,0.091,0.562,0.018,0.598,0.335,0.015,4,0.576,0.93,0.244,0.966
11X532,Baychester Middle School,Middle,287,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.85,0.83,0.89,0.8,0.8,0.84,Well Developed,Developing,Proficient,Proficient,Proficient,"March 27-28, 2014",2.21,2.32,0.049,0.237,0.094,0.702,0.084,0.568,0.031,0.659,0.282,0.003,4,0.37,0.925,0.259,0.965
11X556,Bronx Park Middle School,Middle,405,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.89,0.88,0.8,0.83,0.84,0.9,Proficient,Proficient,Well Developed,Well Developed,Well Developed,1-Apr-15,2.32,2.48,0.153,0.21,0.062,0.77,0.131,0.617,0.049,0.323,0.558,0.062,3,0.394,0.919,0.272,0.968
11X566,Pelham Gardens Middle School,Middle,464,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.91,0.87,0.88,0.78,0.94,Proficient,Proficient,Well Developed,Well Developed,Proficient,18-May-15,2.31,2.37,0.071,0.231,0.095,0.714,0.108,0.571,0.03,0.664,0.276,0.013,3,0.694,0.918,0.312,0.973
12X006,P.S. 006 West Farms,Elementary,619,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.89,0.88,0.83,0.67,0.82,0.88,Developing,Developing,Developing,Developing,Developing,23-Jan-15,2.07,2.41,0.115,0.223,0.101,0.932,0.314,0.803,0.009,0.274,0.704,0.004,3.9,0.83,0.889,0.454,0.939
12X044,P.S. 044 David C. Farragut,Elementary,325,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.94,0.73,0.72,0.51,0.81,0.74,Developing,Proficient,Developing,Proficient,Proficient,18-Nov-14,2.4,2.53,0.125,0.237,0.024,0.919,0.407,0.773,0.007,0.329,0.647,0.007,3.8,0.69,0.903,0.404,0.946
12X047,P.S. 047 John Randolph,Elementary,1136,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.97,0.94,0.96,0.84,0.85,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,15-Dec-14,2.14,2.14,0.257,0.148,0.04,0.856,0.131,0.717,0.099,0.187,0.671,0.018,11.5,0.827,0.93,0.24,0.964
12X050,P.S. 050 Clara Barton,Elementary,109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.95,0.93,0.9,0.93,0.86,0.96,Developing,Developing,Proficient,Proficient,Proficient,15-Jan-15,2.12,2.21,0.128,0.385,0.183,0.882,0.119,0.761,0,0.394,0.587,0.018,2.8,0.857,0.95,0.162,0.962
12X057,P.S. 057 Crescent,Elementary,543,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.95,0.95,0.95,0.88,0.84,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,"March 4-5, 2014",2.19,2.12,0.13,0.231,0.079,0.899,0.264,0.775,0.004,0.264,0.704,0.004,2.9,0.667,0.904,0.416,0.967
12X061,P.S. 061 Francisco Oller,Elementary,357,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Meeting Target,0.94,0.87,0.92,0.71,0.89,0.77,Proficient,Developing,Developing,Proficient,Proficient,14-Nov-14,2.23,2.52,0.064,0.232,0.104,0.87,0.18,0.719,0.006,0.226,0.761,0,15.8,0.893,0.943,0.169,0.96
12X066,P.S. 066 School of Higher Expectations,Elementary,723,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.87,0.85,0.87,0.69,0.82,0.87,Proficient,Proficient,Proficient,Proficient,Proficient,2-Dec-14,2.26,2.47,0.146,0.239,0.058,0.892,0.261,0.735,0.002,0.265,0.713,0.015,7.9,0.862,0.918,0.308,0.961
