DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - Dates of Review,Average Grade 5 English Proficiency,Average Grade 5 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
28Q680,Queens Gateway to Health Sciences Secondary School,Middle,275,Exceeding Target,Meeting Target,Exceeding Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,0.8,0.68,0.67,0.65,0.78,0.71,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42509,3.81,3.93,0.007,0.098,0.033,0.426,0.055,0.302,0.553,0.284,0.076,0.018,4.2,0.875,0.982,0.011,0.962
28Q896,"Young Women's Leadership School, Queens",Middle,238,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.77,0.82,0.7,0.85,0.81,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42460,3.37,3.31,0.029,0.097,0,0.503,0.08,0.399,0.353,0.437,0.126,0.025,3,0.657,0.97,0.046,0.949
29Q015,P.S. 015 Jackie Robinson,Elementary,432,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,0.76,0.75,0.73,0.66,0.97,0.79,Proficient,Developing,Proficient,Well Developed,Proficient,42130,,,0.019,0.139,0.051,0.491,0.079,0.398,0.007,0.938,0.051,0,9.9,0.645,0.935,0.221,0.966
29Q033,P.S. 033 Edward M. Funk,Elementary,1053,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.92,0.95,0.91,0.96,0.92,0.98,Proficient,Proficient,Proficient,Proficient,Proficient,42060,,,0.151,0.117,0.051,0.465,0.028,0.334,0.463,0.167,0.262,0.042,0.4,0.968,0.948,0.16,0.96
29Q034,P.S. 034 John Harvard,Elementary,534,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.9,0.85,0.89,0.89,0.88,0.91,Well Developed,Proficient,Well Developed,Well Developed,Proficient,41977,,,0.103,0.163,0.101,0.524,0.103,0.367,0.079,0.734,0.157,0.015,12.3,0.556,0.938,0.201,0.937
29Q035,P.S. 035 Nathaniel Woodhull,Elementary,618,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.82,0.75,0.75,0.71,0.9,0.83,Proficient,Developing,Proficient,Well Developed,Proficient,42047,,,0.149,0.176,0.061,0.588,0.07,0.474,0.243,0.358,0.29,0.037,10.2,0.886,0.94,0.21,0.959
29Q036,P.S. 036 Saint Albans School,Elementary,487,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.87,0.8,0.82,0.85,0.91,0.82,Proficient,Proficient,Proficient,Well Developed,Proficient,42513,,,0.035,0.203,0.07,0.606,0.166,0.483,0.002,0.877,0.09,0.002,10.6,0.882,0.929,0.213,0.967
29Q037,Cynthia Jenkins School,Elementary,500,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.79,0.66,0.87,0.92,0.88,Well Developed,Proficient,Well Developed,Proficient,Well Developed,41949,,,0.038,0.222,0.102,0.632,0.14,0.512,0.018,0.898,0.07,0.002,1.3,0.705,0.94,0.186,0.967
29Q038,P.S. 038 Rosedale,Elementary,218,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.82,0.78,0.75,0.87,0.92,0.87,Proficient,Developing,Proficient,Proficient,Proficient,42068,,,0.018,0.202,0.092,0.465,0.037,0.372,0.014,0.885,0.073,0.018,1.9,1,0.938,0.191,0.963
29Q052,P.S. 052 Queens,Elementary,479,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.91,0.74,0.92,0.92,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,41957,,,0.048,0.23,0.079,0.68,0.303,0.541,0.013,0.856,0.098,0.008,13,0.943,0.921,0.255,0.961
29Q059,I.S. 059 Springfield Gardens,Middle,548,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.82,0.86,0.68,0.88,0.83,0.85,Proficient,Developing,Proficient,Proficient,Proficient,42068,2.68,2.44,0.022,0.195,0.084,0.46,0.113,0.339,0.013,0.914,0.046,0.011,11.8,0.943,0.935,0.17,0.959
29Q095,P.S. 095 Eastwood,Elementary,1517,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.94,0.94,0.93,0.97,0.97,0.97,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41939,,,0.239,0.103,0.024,0.687,0.162,0.486,0.388,0.108,0.434,0.016,4.7,0.874,0.933,0.231,0.959
29Q109,Jean Nuzzi Intermediate School,Middle,964,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.81,0.8,0.72,0.82,0.84,0.85,Proficient,Proficient,Proficient,Proficient,Developing,42125,2.84,2.76,0.095,0.148,0.062,0.44,0.062,0.315,0.329,0.4,0.206,0.037,4.6,0.86,0.941,0.185,0.966
29Q116,P.S./I.S. 116 William C. Hughley,K-8,709,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.75,0.69,0.78,0.9,0.84,Proficient,Proficient,Proficient,Proficient,Proficient,42516,,,0.121,0.227,0.114,0.693,0.2,0.522,0.052,0.595,0.319,0.021,4.8,0.8,0.921,0.312,0.957
29Q118,P.S. 118 Lorraine Hansberry,Elementary,494,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,0.58,0.66,0.73,0.49,0.84,0.7,Developing,Developing,Proficient,Proficient,Proficient,42143,,,0.045,0.206,0.105,0.591,0.134,0.478,0.03,0.826,0.117,0.002,3.9,0.943,0.919,0.288,0.958
29Q131,P.S. 131 Abigail Adams,Elementary,829,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.78,0.75,0.87,0.85,0.91,0.89,Well Developed,Proficient,Proficient,Well Developed,Proficient,42514,,,0.205,0.117,0.046,0.573,0.129,0.376,0.739,0.077,0.117,0.039,1,0.9,0.952,0.105,0.95
29Q132,P.S. 132 Ralph Bunche,Elementary,345,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.87,0.93,0.88,0.96,0.93,0.96,Proficient,Developing,Proficient,Proficient,Proficient,42065,,,0.003,0.241,0.055,0.594,0.275,0.414,0.003,0.933,0.032,0.012,12.7,0.897,0.928,0.191,0.948
29Q134,P.S. 134 Hollis,Elementary,406,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.72,0.59,0.56,0.68,0.84,0.74,Proficient,Developing,Proficient,Developing,Proficient,42481,,,0.103,0.219,0.103,0.582,0.086,0.478,0.027,0.857,0.091,0.012,4.9,0.943,0.921,0.279,0.948
29Q135,The Bellaire School,Elementary,919,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.64,0.59,0.69,0.63,0.9,0.8,Proficient,Developing,Developing,Proficient,Proficient,42136,,,0.12,0.157,0.069,0.466,0.06,0.358,0.376,0.297,0.192,0.038,1.3,0.866,0.951,0.137,0.953
29Q136,P.S. 136 Roy Wilkins,Elementary,584,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.87,0.81,0.8,0.85,0.91,0.86,Proficient,Proficient,Proficient,Proficient,Proficient,42132,,,0.029,0.193,0.084,0.555,0.094,0.45,0.01,0.901,0.062,0.012,9.4,0.85,0.929,0.211,0.977
29Q138,P.S./M.S. 138 Sunrise,K-8,748,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.81,0.66,0.87,0.91,0.86,Proficient,Proficient,Proficient,Proficient,Proficient,42128,,,0.047,0.189,0.122,0.533,0.107,0.41,0.028,0.842,0.078,0.023,5.2,0.793,0.939,0.179,0.961
29Q147,P.S./M.S. 147 Ronald McNair,K-8,605,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.87,0.83,0.88,0.85,0.83,0.9,Proficient,Developing,Proficient,Developing,Proficient,41758,,,0.035,0.187,0.117,0.433,0.056,0.347,0.012,0.94,0.026,0.012,13.9,0.889,0.922,0.258,0.964
29Q156,P.S. 156 Laurelton,Elementary,273,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.9,0.94,0.84,0.94,0.89,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,42040,,,0.044,0.147,0.081,0.548,0.117,0.436,0.022,0.912,0.051,0.004,2.4,0.963,0.922,0.296,0.966
29Q176,P.S. 176 Cambria Heights,Elementary,683,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.96,0.91,0.87,0.94,0.92,0.94,Proficient,Proficient,Well Developed,Proficient,Proficient,42095,,,0.015,0.12,0.015,0.358,0.029,0.288,0.048,0.867,0.032,0.003,14,1,0.959,0.072,0.966
