DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - Dates of Review,Average Grade 5 English Proficiency,Average Grade 5 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
08X376,Antonia Pantoja Preparatory Academy: A College Boa,Middle,182,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.73,0.74,0.63,0.78,0.76,0.89,Developing,Developing,Developing,Proficient,Developing,42129,2.55,2.52,0.038,0.297,0.06,0.773,0.11,0.621,0.06,0.192,0.725,0.011,1.5,0.794,0.921,0.284,0.961
08X424,The Hunts Point School,Middle,316,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.57,0.6,0.59,0.68,0.77,0.78,Developing,Developing,Developing,Developing,Proficient,42502,2.38,2.32,0.266,0.31,0.149,0.911,0.367,0.747,0,0.209,0.769,0.013,0.7,0.719,0.918,0.278,0.96
08X448,Soundview Academy for Culture and Scholarship,Middle,362,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.87,0.82,0.76,0.83,0.88,0.85,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42138,2.53,2.45,0.11,0.243,0.075,0.801,0.141,0.649,0.022,0.309,0.649,0.014,7,0.643,0.922,0.246,0.971
08X467,Mott Hall Community School,Middle,249,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.81,0.72,0.7,0.83,0.83,0.88,Developing,Developing,Developing,Proficient,Developing,42493,2.57,2.58,0.056,0.293,0.076,0.595,0.104,0.45,0.032,0.1,0.691,0.177,1,0.778,0.913,0.332,0.935
08X562,Blueprint Middle School,Middle,301,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.88,0.86,0.74,0.91,0.8,0.89,Proficient,Developing,Proficient,Proficient,Proficient,42019,2.51,2.6,0.153,0.213,0.043,0.782,0.113,0.608,0.229,0.183,0.558,0.01,4,0.167,0.916,0.304,0.973
09X004,P.S./M.S. 004 Crotona Park West,K-8,569,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.77,0.86,0.82,0.84,0.88,Proficient,Proficient,Proficient,Proficient,Well Developed,42040,,,0.13,0.264,0.116,0.906,0.515,0.738,0.005,0.527,0.45,0.009,9,0.184,0.887,0.442,0.974
09X011,P.S. 011 Highbridge,Elementary,698,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.8,0.75,0.77,0.88,0.83,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42013,,,0.252,0.222,0.102,0.928,0.312,0.774,0.001,0.295,0.689,0.004,4.3,0.789,0.916,0.315,0.967
09X022,J.H.S. 022 Jordan L. Mott,Middle,425,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.79,0.75,0.85,0.9,0.88,Developing,Developing,Developing,Proficient,Proficient,42431,2.23,2.15,0.372,0.235,0.082,0.892,0.332,0.706,0.009,0.245,0.727,0.012,3.3,0.48,0.92,0.216,0.976
09X028,P.S. 028 Mount Hope,Elementary,714,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.82,0.73,0.81,0.78,0.87,0.79,Proficient,Proficient,Proficient,Proficient,Proficient,42033,,,0.34,0.227,0.122,0.909,0.326,0.734,0.006,0.182,0.805,0.006,3.8,0.732,0.916,0.328,0.967
09X035,P.S. 035 Franz Siegel,Elementary,696,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.87,0.8,0.78,0.85,0.86,0.91,Proficient,Developing,Developing,Proficient,Well Developed,41949,,,0.247,0.244,0.085,0.812,0.168,0.675,0.01,0.289,0.681,0.009,15.8,0.679,0.934,0.226,0.961
09X042,P.S. 042 Claremont,Elementary,414,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.77,0.81,0.72,0.91,0.9,0.92,Proficient,Developing,Proficient,Proficient,Well Developed,42039,,,0.167,0.275,0.031,0.928,0.309,0.766,0.002,0.406,0.565,0.022,3.3,0.7,0.923,0.297,0.977
09X053,P.S. 053 Basheer Quisim,Elementary,1205,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.87,0.87,0.79,0.86,0.81,0.86,Proficient,Proficient,Proficient,Proficient,Proficient,42089,,,0.275,0.157,0.051,0.913,0.367,0.752,0.007,0.332,0.641,0.015,14,0.846,0.906,0.373,0.96
09X055,P.S. 055 Benjamin Franklin,Elementary,656,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.76,0.74,0.7,0.8,0.87,0.88,Proficient,Developing,Developing,Developing,Proficient,42062,,,0.125,0.212,0.046,0.932,0.177,0.811,0,0.479,0.511,0.002,10.8,0.796,0.914,0.317,0.965
09X058,P.S. 058,Elementary,473,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.81,0.82,0.79,0.76,0.85,0.84,Proficient,Developing,Developing,Proficient,Proficient,42067,,,0.209,0.226,0.142,0.901,0.304,0.727,0.002,0.262,0.71,0.011,11,0.784,0.895,0.382,0.965
09X063,P.S. 063 Author's Academy,Elementary,599,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.91,0.87,0.8,0.93,0.93,0.96,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42046,,,0.212,0.227,0.083,0.891,0.277,0.741,0.002,0.357,0.609,0.028,12,0.646,0.913,0.342,0.971
09X064,P.S. 064 Pura Belpre,Elementary,138,,,,,,,,0.79,0.74,0.68,0.87,0.83,0.87,Proficient,Developing,Proficient,Proficient,Proficient,42131,,,0.413,0.254,0.087,0.905,0.333,0.732,0,0.138,0.848,0,2.9,1,0.933,0.257,0.932
09X070,P.S. 070 Max Schoenfeld,Elementary,1356,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.8,0.78,0.7,0.87,0.85,0.87,Well Developed,Proficient,Proficient,Proficient,Proficient,41982,,,0.246,0.181,0.064,0.907,0.291,0.757,0.008,0.246,0.735,0.007,9.8,0.744,0.907,0.367,0.964
09X073,P.S. 073 Bronx,Elementary,744,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.74,0.76,0.65,0.76,0.87,0.84,Developing,Developing,Developing,Proficient,Proficient,42093,,,0.23,0.228,0.102,0.909,0.304,0.737,0,0.249,0.739,0.009,3.8,0.902,0.899,0.409,0.942
09X109,P.S. 109 Sedgwick,Elementary,718,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.7,0.68,0.63,0.72,0.9,0.81,Proficient,Developing,Developing,Well Developed,Proficient,42080,,,0.266,0.209,0.085,0.867,0.177,0.721,0.003,0.196,0.795,0.006,4,0.419,0.914,0.334,0.961
09X110,P.S. 110 Theodore Schoenfeld,Elementary,441,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.81,0.75,0.71,0.8,0.89,0.85,Proficient,Developing,Well Developed,Well Developed,Proficient,41957,,,0.125,0.27,0.118,0.917,0.245,0.769,0,0.433,0.515,0.041,9.9,0.824,0.936,0.21,0.968
09X114,P.S. X114 - Luis Llorens Torres Schools,Elementary,790,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.78,0.72,0.71,0.72,0.83,0.8,Proficient,Proficient,Developing,Proficient,Proficient,41991,,,0.333,0.199,0.07,0.893,0.347,0.725,0.042,0.222,0.708,0.019,13,0.966,0.924,0.29,0.967
09X117,I.S. 117 Joseph H. Wade,Middle,575,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.74,0.71,0.67,0.8,0.85,0.84,Proficient,Developing,Developing,Proficient,Proficient,42480,2.21,2.11,0.41,0.278,0.132,0.901,0.323,0.715,0.021,0.165,0.802,0.007,12.8,0.755,0.91,0.306,0.95
09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,636,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.76,0.7,0.68,0.8,0.81,0.8,Proficient,Developing,Developing,Proficient,Proficient,42327,,,0.25,0.153,0.075,0.917,0.281,0.756,0.006,0.267,0.708,0.016,10,0.66,0.912,0.329,0.954
09X128,Mott Hall III,Middle,371,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.91,0.88,0.8,0.92,0.9,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,41956,2.92,2.89,0.051,0.154,0.057,0.862,0.146,0.693,0.013,0.447,0.531,0.005,12,0.708,0.95,0.142,0.972
09X132,P.S. 132 Garret A. Morgan,Elementary,442,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,0.66,0.69,0.52,0.69,0.79,0.73,Developing,Developing,Proficient,Proficient,Developing,42072,,,0.131,0.244,0.081,0.917,0.224,0.756,0.005,0.441,0.545,0.005,10.5,0.786,0.898,0.405,0.981
09X145,J.H.S. 145 Arturo Toscanini,Middle,299,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.77,0.63,0.7,0.61,0.82,0.81,Developing,Developing,Developing,Developing,Developing,42438,2.25,2.16,0.435,0.274,0.144,0.841,0.194,0.669,0.013,0.288,0.692,0.007,1.9,1,0.917,0.257,0.961
09X163,P.S. 163 Arthur A. Schomburg,Elementary,531,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.7,0.63,0.69,0.7,0.86,0.77,Well Developed,Developing,Proficient,Proficient,Proficient,42125,,,0.333,0.22,0.147,0.926,0.258,0.787,0.013,0.358,0.606,0.011,12.8,0.727,0.94,0.192,0.961
09X199,P.S. 199X - The Shakespeare School,Elementary,753,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.79,0.75,0.75,0.8,0.87,0.84,Proficient,Developing,Proficient,Proficient,Proficient,41977,,,0.308,0.236,0.098,0.904,0.317,0.741,0.004,0.297,0.676,0.015,16,0.745,0.905,0.355,0.955
09X204,P.S. 204 Morris Heights,Elementary,584,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.87,0.92,0.8,0.92,0.92,0.92,Well Developed,Proficient,Well Developed,Proficient,Well Developed,41975,,,0.108,0.238,0.079,0.871,0.18,0.683,0.015,0.281,0.678,0.015,1.9,0.78,0.942,0.177,0.968
09X215,Kappa,Middle,269,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.81,0.82,0.74,0.88,0.85,0.89,Well Developed,Proficient,Proficient,Well Developed,Proficient,42069,2.61,2.56,0.152,0.182,0.063,0.845,0.167,0.639,0.063,0.45,0.472,0.004,11,0.833,0.949,0.123,0.971
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,K-8,1005,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.74,0.74,0.75,0.75,0.85,0.84,Proficient,Proficient,Proficient,Well Developed,Well Developed,42083,,,0.313,0.184,0.001,0.881,0.173,0.726,0.042,0.053,0.892,0.006,1.9,0.595,0.943,0.181,0.965
09X219,I.S. 219 New Venture School,Middle,331,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.73,0.69,0.65,0.75,0.83,0.79,Proficient,Proficient,Developing,Proficient,Proficient,42440,2.23,2.15,0.311,0.317,0.145,0.935,0.396,0.707,0.006,0.36,0.613,0.012,12,0.793,0.91,0.325,0.961
09X229,I.S. 229 Roland Patterson,Middle,266,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.68,0.56,0.7,0.64,0.85,0.76,Developing,Developing,Proficient,Proficient,Proficient,42114,2.27,2.14,0.203,0.38,0.244,0.892,0.252,0.752,0.008,0.353,0.632,0.004,13.9,0.759,0.894,0.378,0.964
09X230,P.S. 230 Dr Roland N. Patterson,Elementary,76,,,,,,,,0.92,0.91,0.79,0.87,0.84,0.85,Developing,Developing,Developing,Proficient,Developing,42095,,,0.132,0.276,0.158,0.965,0.224,0.895,0.026,0.421,0.513,0,1,1,0.891,0.451,0.971
09X231,Eagle Academy for Young Men,Middle,231,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.7,0.65,0.63,0.68,0.87,0.79,Proficient,Developing,Developing,Well Developed,Proficient,42139,2.49,2.48,0.061,0.221,0.03,0.715,0.104,0.563,0.004,0.537,0.442,0,0.8,0.767,0.932,0.171,0.962
09X232,I.S. 232,Middle,511,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.77,0.58,0.68,0.67,0.82,0.78,Proficient,Proficient,Proficient,Proficient,Proficient,42138,2.36,2.3,0.386,0.202,0.074,0.871,0.227,0.699,0.002,0.204,0.785,0.006,10,0.563,0.935,0.198,0.976
09X236,P.S. 236 Langston Hughes,Elementary,314,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.85,0.81,0.77,0.86,0.91,0.88,Proficient,Proficient,Proficient,Well Developed,Proficient,42026,,,0.118,0.28,0.01,0.903,0.258,0.736,0,0.29,0.682,0.016,0.8,0.844,0.938,0.222,0.947
09X241,Urban Assembly School for Applied Math and Science,Middle,261,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.8,0.76,0.7,0.82,0.8,0.87,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42383,2.44,2.39,0.172,0.264,0.042,0.836,0.142,0.782,0,0.337,0.648,0.004,3.9,0.527,0.918,0.274,0.964
09X274,The New American Academy at Roberto Clemente State,Elementary,622,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,,0.87,0.92,0.75,0.95,0.9,0.94,Proficient,Well Developed,Proficient,Well Developed,Well Developed,42124,,,0.193,0.219,0.088,0.933,0.31,0.796,0.005,0.373,0.601,0.011,3,0.442,0.883,0.492,0.993
09X294,The Walton Avenue School,Elementary,425,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,,0.92,0.93,0.85,0.93,0.94,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,42067,,,0.28,0.259,0.094,0.903,0.346,0.744,0.014,0.219,0.732,0.026,3,0.657,0.925,0.269,0.968
09X303,I.S. X303 Leadership & Community Service,Middle,319,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.91,0.93,0.81,0.97,0.88,0.93,Proficient,Proficient,Well Developed,Well Developed,Well Developed,42076,2.5,2.44,0.163,0.329,0.182,0.878,0.179,0.715,0.003,0.229,0.752,0.009,16.7,0.464,0.93,0.239,0.969
09X311,Lucero Elementary School,Elementary,313,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,,0.71,0.81,0.73,0.81,0.88,0.86,Proficient,Developing,Well Developed,Well Developed,Proficient,42074,,,0.543,0.227,0.013,0.92,0.323,0.751,0.01,0.093,0.875,0.01,3,0.375,0.916,0.311,0.958
09X313,I.S. 313 School of Leadership Development,Middle,309,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.75,0.66,0.65,0.64,0.76,0.75,Proficient,Developing,Proficient,Proficient,Developing,42496,2.26,2.18,0.324,0.249,0.123,0.893,0.269,0.725,0.01,0.324,0.667,0,2,0.958,0.909,0.287,0.968
09X323,Bronx Writing Academy,Middle,464,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.74,0.72,0.67,0.81,0.84,0.87,Proficient,Proficient,Proficient,Well Developed,Well Developed,42018,2.37,2.29,0.272,0.194,0.06,0.901,0.315,0.754,0.032,0.304,0.647,0.011,0.9,0.65,0.875,0.424,0.982
09X324,Bronx Early College Academy for Teaching & Learnin,Middle,218,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.87,0.92,0.71,0.94,0.84,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,42459,2.4,2.4,0.225,0.257,0.092,0.816,0.128,0.771,0.009,0.294,0.67,0.023,4.8,0.531,0.928,0.193,0.971
09X325,Urban Science Academy,Middle,301,Not Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.66,0.51,0.67,0.69,0.92,0.78,Developing,Developing,Developing,Under Developed,Developing,42500,2.28,2.15,0.355,0.256,0.076,0.874,0.292,0.678,0.013,0.309,0.664,0.007,11.3,0.692,0.901,0.379,0.95
09X327,Comprehensive Model School Project M.S. 327,Middle,296,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.88,0.72,0.94,0.83,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42089,2.55,2.5,0.162,0.223,0.095,0.853,0.179,0.706,0.003,0.199,0.784,0.01,1.9,0.625,0.936,0.218,0.963
09X328,New Millennium Business Academy Middle School,Middle,187,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.87,0.89,0.79,0.91,0.86,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,42461,2.26,2.21,0.246,0.305,0.139,0.924,0.262,0.807,0.016,0.326,0.652,0,10,0.6,0.918,0.265,0.948
09X339,I.S. 339,Middle,514,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.81,0.78,0.67,0.84,0.83,0.83,Proficient,Developing,Proficient,Proficient,Proficient,42437,2.24,2.2,0.276,0.274,0.121,0.905,0.265,0.735,0.012,0.274,0.704,0.01,4.8,0.712,0.918,0.276,0.978
09X361,The Highbridge Green School,Middle,390,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.87,0.78,0.95,0.9,0.89,Proficient,Proficient,Well Developed,Well Developed,Proficient,41967,2.39,2.22,0.2,0.272,0.041,0.873,0.167,0.705,0.005,0.254,0.731,0.01,3,0.412,0.947,0.137,0.984
09X413,Bronx High School for Medical Science,Middle,164,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.75,0.77,0.69,0.78,0.77,0.87,Developing,Developing,Developing,Developing,Developing,42144,2.69,2.69,0.091,0.177,0.079,0.836,0.122,0.75,0.055,0.354,0.579,0.012,14,0.656,0.956,0.104,0.961
09X443,The Family School,Elementary,509,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,0.75,0.75,0.75,0.76,0.88,0.94,Proficient,Proficient,Proficient,Well Developed,Proficient,42018,,,0.346,0.206,0.031,0.901,0.275,0.743,0.041,0.279,0.662,0.012,0.9,0.694,0.921,0.285,0.958
09X449,Grant Avenue Elementary School,Elementary,442,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.86,0.89,0.77,0.93,0.93,0.93,Proficient,Proficient,Proficient,Well Developed,Well Developed,42444,,,0.231,0.303,0.149,0.88,0.217,0.717,0.054,0.301,0.622,0.014,7,0.684,0.928,0.252,0.958
09X454,Science and Technology Academy: A Mott Hall School,Middle,432,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.93,0.94,0.91,0.95,0.86,0.95,Proficient,Developing,Proficient,Well Developed,Proficient,42016,2.59,2.53,0.194,0.225,0.086,0.851,0.208,0.699,0.023,0.259,0.701,0.009,7,0.5,0.917,0.278,0.978
09X457,Sheridan Academy for Young Leaders,Elementary,597,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.76,0.74,0.67,0.72,0.86,0.83,Proficient,Proficient,Proficient,Well Developed,Proficient,42086,,,0.188,0.221,0.092,0.902,0.236,0.755,0.012,0.303,0.668,0.013,7,0.711,0.914,0.335,0.968
09X505,"Bronx School for Law, Government and Justice",Middle,286,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.84,0.7,0.68,0.84,0.78,0.87,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41984,2.64,2.74,0.084,0.224,0.028,0.812,0.15,0.72,0.003,0.241,0.72,0.017,0.9,0.537,0.953,0.107,0.964
09X555,Mount Eden Children's Academy,Elementary,304,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,,0.94,0.93,0.92,0.98,0.94,0.98,Proficient,Proficient,Well Developed,Well Developed,Well Developed,42135,,,0.26,0.171,0.069,0.826,0.135,0.645,0,0.217,0.776,0.007,4,0.6,0.958,0.092,0.973
09X568,Young Women's Leadership School of the Bronx,Middle,251,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.83,0.92,0.68,0.98,0.9,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42033,2.93,2.79,0.056,0.183,0.016,0.782,0.1,0.602,0.016,0.382,0.582,0.004,4,0.423,0.947,0.127,0.976
10X003,P.S. 3 Raul Julia Micro Society,K-8,314,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.95,0.93,0.81,0.95,0.87,0.91,Proficient,Proficient,Proficient,Well Developed,Well Developed,42405,,,0.111,0.229,0.041,0.877,0.318,0.672,0.019,0.29,0.682,0.003,13,0.759,0.919,0.305,0.973
10X007,Milton Fein School,Elementary,731,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.89,0.91,0.96,0.94,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42047,,,0.202,0.146,0.067,0.735,0.216,0.535,0.045,0.064,0.791,0.086,5.8,0.896,0.963,0.059,0.981
10X008,P.S. 008 Isaac Varian,Elementary,1074,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.85,0.86,0.81,0.89,0.89,0.92,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42131,,,0.247,0.25,0.074,0.798,0.204,0.636,0.047,0.11,0.765,0.068,0.7,0.821,0.926,0.281,0.944
10X009,P.S. 9 Ryer Avenue Elementary School,Elementary,808,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.81,0.82,0.77,0.79,0.86,0.85,Proficient,Proficient,Proficient,Proficient,Proficient,42079,,,0.293,0.243,0.089,0.922,0.324,0.802,0.01,0.161,0.8,0.012,6.8,0.742,0.91,0.352,0.962
10X015,P.S. X015 Institute for Environmental Learning,K-8,497,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.81,0.74,0.71,0.83,0.86,0.87,Proficient,Developing,Proficient,Proficient,Proficient,42458,,,0.07,0.221,0.036,0.841,0.131,0.65,0.01,0.135,0.847,0.002,6.4,0.967,0.953,0.114,0.948
10X020,"P.S./M.S. 20 P.O.George J. Werdann, III",K-8,1084,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.75,0.64,0.66,0.67,0.83,0.78,Proficient,Proficient,Developing,Well Developed,Proficient,41964,,,0.188,0.276,0.11,0.8,0.112,0.631,0.092,0.083,0.732,0.076,3.8,0.848,0.926,0.239,0.961
10X023,P.S. 023 The New Children's School,Elementary,497,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.86,0.92,0.78,0.93,0.9,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,42325,,,0.143,0.316,0.185,0.931,0.342,0.781,0.004,0.374,0.614,0.006,6.8,0.878,0.915,0.306,0.962
10X024,P.S. 024 Spuyten Duyvil,Elementary,1011,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,0.56,0.6,0.71,0.48,0.91,0.7,Proficient,Developing,Developing,Developing,Proficient,42507,,,0.033,0.153,0.013,0.228,0.041,0.127,0.091,0.057,0.42,0.395,0.7,0.839,0.943,0.149,0.964
10X032,P.S. 032 Belmont,Elementary,821,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.89,0.81,0.89,0.89,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,41985,,,0.14,0.251,0.127,0.903,0.257,0.743,0.006,0.256,0.702,0.024,1.3,0.681,0.923,0.308,0.97
10X033,P.S. 033 Timothy Dwight,Elementary,982,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.77,0.7,0.69,0.74,0.82,0.78,Proficient,Proficient,Well Developed,Proficient,Proficient,42087,,,0.264,0.218,0.097,0.889,0.237,0.735,0.016,0.106,0.836,0.017,11,0.849,0.919,0.295,0.953
10X037,P.S. X037 - Multiple Intelligence School,K-8,646,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.92,0.79,0.96,0.92,0.93,Proficient,Proficient,Proficient,Proficient,Proficient,42069,,,0.152,0.252,0.098,0.78,0.195,0.672,0.017,0.224,0.723,0.02,9,0.822,0.924,0.264,0.954
10X045,Thomas C. Giordano Middle School 45,Middle,730,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.87,0.78,0.7,0.78,0.82,0.85,Proficient,Developing,Proficient,Developing,Developing,42124,2.56,2.6,0.168,0.212,0.064,0.875,0.185,0.712,0.012,0.162,0.778,0.044,11,0.873,0.914,0.291,0.971
10X046,P.S. 046 Edgar Allan Poe,Elementary,1099,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.77,0.72,0.7,0.74,0.87,0.85,Proficient,Proficient,Developing,Proficient,Proficient,42066,,,0.397,0.268,0.103,0.915,0.328,0.732,0.028,0.15,0.795,0.018,7.6,0.837,0.919,0.319,0.96
