Name,OBJECTID,Long_Lat,Borough,Precinct,longitude, latitude
Todt Hill,206,-74.11132881800887 40.59706851814676,Staten Island,122,-74.11132882,40.59706852
South Beach,207,-74.07955292539827 40.5802474135096,Staten Island,122,-74.07955293,40.58024741
Port Richmond,208,-74.12943426797015 40.63366930554369,Staten Island,121,-74.12943427,40.63366931
Mariner's Harbor,209,-74.15008537046988 40.63254639048117,Staten Island,121,-74.15008537,40.63254639
Port Ivory,210,-74.17464532993549 40.63968297845546,Staten Island,121,-74.17464533,40.63968298
Castleton Corners,211,-74.1191805853485 40.613335937667465,Staten Island,121,-74.11918059,40.61333594
New Springville,212,-74.16496031329834 40.59425237916174,Staten Island,121,-74.16496031,40.59425238
Travis,213,-74.19073717538123 40.58631375103285,Staten Island,121,-74.19073718,40.58631375
New Dorp,214,-74.11647943606387 40.57257231820636,Staten Island,122,-74.11647944,40.57257232
Oakwood,215,-74.12156593771904 40.558462243288844,Staten Island,122,-74.12156594,40.55846224
Great Kills,216,-74.14932381490999 40.54948022871365,Staten Island,122,-74.14932381,40.54948023
Eltingville,217,-74.16433080419367 40.54223074745079,Staten Island,122,-74.1643308,40.54223075
Annadale,218,-74.17854866165885 40.538114174745104,Staten Island,122,-74.17854866,40.53811417
Woodrow,219,-74.22135055371616 40.53745265012707,Staten Island,123,-74.22135055,40.53745265
Tottenville,220,-74.24656934235291 40.505333761156464,Staten Island,123,-74.24656934,40.50533376
Tompkinsville,221,-74.08055351790122 40.63731606711036,Staten Island,120,-74.08055352,40.63731607
Silver Lake,222,-74.09629029235465 40.619193107926804,Staten Island,120,-74.09629029,40.61919311
Sunnyside,223,-74.09712552178537 40.612760157564935,Staten Island,120,-74.09712552,40.61276016
Ditmas Park,224,-73.96101312466787 40.64367518334101,Brooklyn,70,-73.96101312,40.64367518
Wingate,225,-73.93718680559321 40.660946561881154,Brooklyn,71,-73.93718681,40.66094656
Rugby,226,-73.92688212616963 40.65557231328081,Brooklyn,70,-73.92688213,40.65557231
Park Hill,227,-74.08015734936303 40.60919044434562,Staten Island,120,-74.08015735,40.60919044
Westerleigh,228,-74.13304143951713 40.62109047275413,Staten Island,121,-74.13304144,40.62109047
Graniteville,229,-74.1531524638777 40.62017151223193,Staten Island,121,-74.15315246,40.62017151
Arlington,230,-74.16510420241131 40.63532509911496,Staten Island,121,-74.1651042,40.6353251
Arrochar,231,-74.06712363225581 40.596312571276776,Staten Island,122,-74.06712363,40.59631257
Grasmere,232,-74.07667436279057 40.59826835959995,Staten Island,122,-74.07667436,40.59826836
Old Town,233,-74.08751118005587 40.596328913795176,Staten Island,122,-74.08751118,40.59632891
Dongan Hills,234,-74.09639905312528 40.58867294819932,Staten Island,122,-74.09639905,40.58867295
Midland Beach,235,-74.09348266303599 40.573526905742874,Staten Island,122,-74.09348266,40.57352691
Grant City,236,-74.10585598545441 40.57621558711792,Staten Island,122,-74.10585599,40.57621559
New Dorp Beach,237,-74.10432707469131 40.56425549307338,Staten Island,122,-74.10432707,40.56425549
Bay Terrace,238,-74.13916622175775 40.55398800858466,Staten Island,122,-74.13916622,40.55398801
Huguenot,239,-74.19174105747821 40.53191192048964,Staten Island,123,-74.19174106,40.53191192
Pleasant Plains,240,-74.21983106616784 40.52469937611818,Staten Island,123,-74.21983107,40.52469938
Butler Manor,241,-74.22950350260034 40.506081653463085,Staten Island,123,-74.2295035,40.50608165
Charleston,242,-74.23215775896533 40.530531482833176,Staten Island,123,-74.23215776,40.53053148
Rossville,243,-74.21572851113959 40.549404006500765,Staten Island,123,-74.21572851,40.54940401
Arden Heights,244,-74.185886745839 40.549285822783254,Staten Island,123,-74.18588675,40.54928582
Greenridge,245,-74.19150620964295 40.559712496342954,Staten Island,123,-74.19150621,40.5597125
Heartland Village,246,-74.15902208156608 40.589138948752854,Staten Island,121,-74.15902208,40.58913895
Chelsea,247,-74.18956045519697 40.59472602746298,Staten Island,121,-74.18956046,40.59472603
Bloomfield,248,-74.18725638381574 40.60577868452362,Staten Island,121,-74.18725638,40.60577868
Bulls Head,249,-74.15940948657129 40.60959180042034,Staten Island,121,-74.15940949,40.6095918
Carnegie Hill,250,-73.95325646837121 40.78268256712574,Manhattan,19,-73.95325647,40.78268257
Noho,251,-73.98843368023604 40.72325901885772,Manhattan,9,-73.98843368,40.72325902
Civic Center,252,-74.00541529873362 40.715228920462856,Manhattan,5,-74.0054153,40.71522892
Midtown South,253,-73.98871313285254 40.748509664312245,Manhattan,14,-73.98871313,40.74850966
Richmond Town,254,-74.13405729862578 40.56960594275509,Staten Island,121,-74.1340573,40.56960594
Shore Acres,255,-74.06667766061778 40.609719340792886,Staten Island,120,-74.06667766,40.60971934
Clifton,256,-74.07264244548406 40.61917845202847,Staten Island,120,-74.07264245,40.61917845
Concord,257,-74.08402364740365 40.604473189687944,Staten Island,120,-74.08402365,40.60447319
Emerson Hill,258,-74.09776206972529 40.606794394801035,Staten Island,122,-74.09776207,40.60679439
Randall Manor,259,-74.09805062373894 40.63563000681155,Staten Island,120,-74.09805062,40.63563001
Howland Hook,260,-74.1862233174983 40.638432837947995,Staten Island,121,-74.18622332,40.63843284
Elm Park,261,-74.14181678968897 40.63014674119387,Staten Island,121,-74.14181679,40.63014674
Remsen Village,262,-73.91665331978055 40.65211745179353,Brooklyn,67,-73.91665332,40.65211745
New Lots,263,-73.885117763793 40.66274427969663,Brooklyn,75,-73.88511776,40.66274428
Paerdegat Basin,264,-73.90233474295843 40.63131755039671,Brooklyn,63,-73.90233474,40.63131755
Mill Basin,265,-73.9151539155041 40.615974239623405,Brooklyn,63,-73.91515392,40.61597424
Jamaica Hills,266,-73.796464620816 40.71145964370486,Queens,103,-73.79646462,40.71145964
Utopia,267,-73.79671678028357 40.7335002542976,Queens,107,-73.79671678,40.73350025
Pomonok,268,-73.80486120040544 40.73493618075482,Queens,107,-73.8048612,40.73493618
Astoria Heights,269,-73.89467996270581 40.770317392998244,Queens,114,-73.89467996,40.77031739
Claremont Village,270,-73.90119903387674 40.83142834161551,Bronx,42,-73.90119903,40.83142834
Concourse Village,271,-73.91584652759016 40.82478049084294,Bronx,42,-73.91584653,40.82478049
Mount Eden,272,-73.91655551964426 40.843826176716576,Bronx,44,-73.91655552,40.84382618
Mount Hope,273,-73.90829930881995 40.84884160724669,Bronx,46,-73.90829931,40.84884161
Sutton Place,274,-73.9635561409431 40.76028033131378,Manhattan,17,-73.96355614,40.76028033
Hunters Point,275,-73.95386782130753 40.74341409007358,Queens,108,-73.95386782,40.74341409
Turtle Bay,276,-73.96770824581843 40.75204236950726,Manhattan,17,-73.96770825,40.75204237
Tudor City,277,-73.97121928722272 40.74691741074023,Manhattan,17,-73.97121929,40.74691741
Stuyvesant Town,278,-73.9740517046921 40.73099955477065,Manhattan,13,-73.9740517,40.73099955
Flatiron,279,-73.99094710528267 40.73967304763847,Manhattan,13,-73.99094711,40.73967305
Sunnyside Gardens,280,-73.9181928643169 40.745651806080794,Queens,108,-73.91819286,40.74565181
Blissville,281,-73.93244235260185 40.73725071694501,Queens,108,-73.93244235,40.73725072
Fulton Ferry,282,-73.99550751888422 40.70328109093018,Brooklyn,84,-73.99550752,40.70328109
Vinegar Hill,283,-73.981116035924 40.703321498828785,Brooklyn,84,-73.98111604,40.7033215
Weeksville,284,-73.93053108817347 40.67503986503241,Brooklyn,77,-73.93053109,40.67503987
Broadway Junction,285,-73.90331684852606 40.67786104769535,Brooklyn,73,-73.90331685,40.67786105
Dumbo,286,-73.98875280745047 40.70317632822696,Brooklyn,84,-73.98875281,40.70317633
Manor Heights,287,-74.12059399718008 40.60180957631448,Staten Island,121,-74.120594,40.60180958
Willowbrook,288,-74.13208447484305 40.60370692627375,Staten Island,121,-74.13208447,40.60370693
Sandy Ground,289,-74.21776636068574 40.5411399220918,Staten Island,122,-74.21776636,40.54113992
Egbertville,290,-74.12727240604953 40.579118742961256,Staten Island,122,-74.12727241,40.57911874
Roxbury,291,-73.89213760232829 40.567375889570364,Queens,100,-73.8921376,40.56737589
Homecrest,292,-73.9591845942871 40.59852509513729,Brooklyn,61,-73.95918459,40.5985251
Middle Village,293,-73.8811431920061 40.71641451115823,Queens,104,-73.88114319,40.71641451
Prince's Bay,294,-74.20152556457666 40.526264067348166,Staten Island,123,-74.20152556,40.52626407
Lighthouse Hill,295,-74.13792663771576 40.576506293794935,Staten Island,122,-74.13792664,40.57650629
Richmond Valley,296,-74.22957080626948 40.519541457489126,Staten Island,123,-74.22957081,40.51954146
Malba,297,-73.8266775713865 40.790601556701525,Queens,109,-73.82667757,40.79060156
Highland Park,298,-73.8902809854761 40.68248551101694,Brooklyn,75,-73.89028099,40.68248551
Madison,299,-73.948415153289 40.609377701137696,Brooklyn,63,-73.94841515,40.6093777
